Tract Code,State,County,Latitude,Longitude,Total Cash Rent,Total Cash Rent MG,Less than $100,Less than $100 MG,$100 to $149,$100 to $149 MG,$150 to $199,$150 to $199 MG,$200 to $249,$200 to $249 MG,$250 to $299,$250 to $299 MG,$300 to $349,$300 to $349 MG,$350 to $399,$350 to $399 MG,$400 to $449,$400 to $449 MG,$450 to $499,$450 to $499 MG,$500 to $549,$500 to $549 MG,$550 to $599,$550 to $599 MG,$600 to $649,$600 to $649 MG,$650 to $699,$650 to $699 MG,$700 to $749,$700 to $749 MG,$750 to $799,$750 to $799 MG,$800 to $899,$800 to $899 MG,$900 to $999,$900 to $999 MG,"$1,000 to $1,249","$1,000 to $1,249 MG","$1,250 to $1,499","$1,250 to $1,499 MG","$1,500 to $1,999","$1,500 to $1,999 MG","$2,000 to $2,499","$2,000 to $2,499 MG","$2,500 to $2,999","$2,500 to $2,999 MG","$3,000 to $3,499","$3,000 to $3,499 MG","$3,500 or more","$3,500 or more MG",No Cash Rent,No Cash Rent MG
100,Vermont,Chittenden County,44.514447,-73.24829,408,140,0,10,16,25,0,10,0,10,0,10,0,10,12,18,0,10,0,10,0,10,24,28,0,10,0,10,0,10,0,10,20,23,18,29,74,77,83,51,75,51,49,72,37,33,0,10,0,10,0,10
200,Vermont,Chittenden County,44.509741,-73.25778,815,195,0,15,0,15,18,29,36,43,18,28,0,15,0,15,36,40,0,15,0,15,24,38,10,18,19,31,0,15,19,32,9,14,61,60,60,53,74,64,320,139,94,67,17,29,0,15,0,15,13,20
300,Vermont,Chittenden County,44.487146,-73.214168,1812,263,10,16,144,80,0,10,26,28,0,10,0,10,0,10,17,28,0,10,0,10,36,39,8,12,154,158,21,33,0,10,28,44,36,29,245,97,333,201,528,144,222,92,4,15,0,10,0,10,36,45
600,Vermont,Chittenden County,44.48376,-73.194861,1429,229,9,14,0,10,0,10,0,10,0,10,38,44,0,10,14,24,0,10,29,32,0,10,8,13,88,82,0,10,0,10,55,42,27,30,93,55,276,134,377,125,279,137,69,48,45,36,22,33,0,10
800,Vermont,Chittenden County,44.462925,-73.209436,373,84,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,29,41,0,10,20,22,78,53,67,53,115,72,26,20,38,35,0,10,0,10,0,10
900,Vermont,Chittenden County,44.471771,-73.208928,785,141,0,10,0,10,0,10,0,10,38,31,0,10,0,10,26,29,0,10,0,10,0,10,77,78,0,10,87,87,14,22,22,37,15,25,62,59,137,73,150,120,112,75,7,13,24,36,14,25,13,21
1000,Vermont,Chittenden County,44.472671,-73.215976,1159,179,0,10,0,10,0,10,19,24,26,24,58,42,27,30,30,22,0,10,0,10,0,10,0,10,24,37,8,14,0,10,44,41,97,99,175,82,186,90,293,157,95,66,33,34,44,42,0,10,18,22
1100,Vermont,Chittenden County,44.451348,-73.217546,312,107,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,10,16,0,10,0,10,0,10,0,10,10,16,23,35,17,18,43,42,123,58,39,65,32,37,0,10,15,21,43,56
2101,Vermont,Chittenden County,44.660149,-73.151389,47,53,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,33,51,0,10,0,10,6,10,0,10,0,10,0,10,8,13,0,10,0,10,0,10
2103,Vermont,Chittenden County,44.626791,-73.105432,94,65,10,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,58,54,26,30,0,10,0,10,0,10,0,10,0,10
