"Label (Grouping)","Census Tract 1, Queens County, New York!!Estimate","Census Tract 1, Queens County, New York!!Margin of Error"
"Total:","3,891","±438"
"    With cash rent:","3,806","±428"
"        Less than $100","0","±17"
"        $100 to $149","0","±17"
"        $150 to $199","0","±17"
"        $200 to $249","0","±17"
"        $250 to $299","0","±17"
"        $300 to $349","0","±17"
"        $350 to $399","29","±34"
"        $400 to $449","0","±17"
"        $450 to $499","0","±17"
"        $500 to $549","0","±17"
"        $550 to $599","0","±17"
"        $600 to $649","0","±17"
"        $650 to $699","33","±40"
"        $700 to $749","0","±17"
"        $750 to $799","0","±17"
"        $800 to $899","100","±90"
"        $900 to $999","0","±17"
"        $1,000 to $1,249","27","±39"
"        $1,250 to $1,499","17","±28"
"        $1,500 to $1,999","52","±50"
"        $2,000 to $2,499","480","±183"
"        $2,500 to $2,999","892","±239"
"        $3,000 to $3,499","1,253","±297"
"        $3,500 or more","923","±259"
"    No cash rent","85","±86"
