STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
02,013,000100,3420,+54.672887,-163.763729
02,016,000100,978,+54.679437,-175.485205
02,016,000200,4254,+53.874085,-166.495271
02,020,000101,5650,+61.412687,-149.417948
02,020,000102,5215,+61.379096,-149.508232
02,020,000201,4318,+61.332823,-149.575812
02,020,000202,6384,+61.323333,-149.552698
02,020,000204,3582,+61.276128,-149.440509
02,020,000205,7421,+61.304179,-149.521802
02,020,000206,3413,+61.315815,-149.514018
02,020,000500,2124,+61.229700,-149.865394
02,020,000601,4328,+61.226718,-149.819310
02,020,000602,2716,+61.227380,-149.799888
02,020,000701,6986,+61.216493,-149.767579
02,020,000702,5435,+61.219393,-149.744938
02,020,000703,5555,+61.217865,-149.725642
02,020,000801,6814,+61.217935,-149.794978
02,020,000802,4759,+61.202229,-149.793749
02,020,000901,5090,+61.213990,-149.844010
02,020,000902,3158,+61.204613,-149.856005
02,020,001000,3942,+61.211047,-149.876974
02,020,001100,1657,+61.217823,-149.885448
02,020,001200,3749,+61.210902,-149.904667
02,020,001300,3227,+61.198913,-149.938924
02,020,001401,2928,+61.198669,-149.902459
02,020,001402,2168,+61.200797,-149.886581
02,020,001500,5165,+61.190825,-149.851776
02,020,001601,3824,+61.204532,-149.822860
02,020,001602,4191,+61.187140,-149.790064
02,020,001701,6824,+61.187753,-149.764744
02,020,001702,4940,+61.202308,-149.763443
02,020,001731,6119,+61.202206,-149.732475
02,020,001732,6111,+61.186882,-149.731778
02,020,001801,4372,+61.171960,-149.847899
02,020,001802,5379,+61.176623,-149.826220
02,020,001900,3873,+61.184512,-149.883505
02,020,002000,3315,+61.186523,-149.904787
02,020,002100,3686,+61.187833,-149.922643
02,020,002201,4742,+61.189379,-149.953832
02,020,002202,2931,+61.188827,-149.937834
02,020,002301,7653,+61.149393,-149.972611
02,020,002302,4641,+61.158185,-149.937862
02,020,002304,6312,+61.144500,-149.938504
02,020,002305,2647,+61.146570,-149.917258
02,020,002400,3039,+61.177363,-149.920058
02,020,002501,4928,+61.154532,-149.898776
02,020,002502,4947,+61.157023,-149.872408
02,020,002601,5035,+61.153600,-149.845080
02,020,002602,5746,+61.159296,-149.820897
02,020,002603,6434,+61.145156,-149.820464
02,020,002711,6817,+61.129334,-149.948365
02,020,002712,9027,+61.130645,-149.892947
02,020,002713,4903,+61.101744,-149.855683
02,020,002714,4593,+61.110601,-149.892255
02,020,002811,6519,+61.131578,-149.845158
02,020,002812,8359,+61.121244,-149.810449
02,020,002813,4796,+61.127751,-149.740843
02,020,002821,5080,+61.101297,-149.825234
02,020,002822,4135,+61.095580,-149.782477
02,020,002823,5720,+61.072655,-149.763877
02,020,002900,2503,+60.962894,-149.163668
02,020,980000,5,+61.152914,-149.768280
02,020,980100,4592,+61.238137,-149.822690
02,020,980200,6725,+61.249766,-149.704298
02,050,000100,10885,+60.466253,-162.769494
02,050,000200,6325,+60.796253,-161.803590
02,050,000300,1456,+61.613579,-159.266246
02,060,000100,844,+58.733456,-156.833611
02,063,000200,2632,+60.547422,-145.723173
02,063,000300,4470,+61.078002,-146.484108
02,066,000100,2617,+62.060769,-145.032939
02,068,000100,1619,+63.864310,-149.027498
02,070,000100,2505,+59.200012,-158.961177
02,070,000200,2352,+59.052963,-158.528771
02,090,000100,1563,+64.841199,-147.717630
02,090,000200,3244,+64.839301,-147.746170
02,090,000300,4709,+64.827561,-147.727389
02,090,000400,4582,+64.846079,-147.683242
02,090,000500,2467,+64.855559,-147.725429
02,090,000600,3753,+64.856498,-147.777006
02,090,000700,4094,+64.834487,-147.795068
02,090,000800,5010,+64.841973,-147.851472
02,090,000900,6002,+64.812533,-147.964976
02,090,001000,1348,+64.818726,-147.796638
02,090,001200,6743,+64.897390,-147.613150
02,090,001300,5630,+64.890416,-147.784578
02,090,001401,2776,+64.830449,-147.469282
02,090,001402,4658,+64.806743,-147.485146
02,090,001501,4442,+64.777072,-147.287025
02,090,001502,5097,+64.766097,-147.310539
02,090,001600,4716,+64.751335,-147.346219
02,090,001700,1345,+64.531379,-146.979593
02,090,001901,5700,+64.899939,-147.967113
02,090,001902,5255,+64.929828,-147.333066
02,090,980000,9798,+64.832008,-147.653071
02,090,980100,2723,+64.679771,-147.080129
02,100,000100,2080,+59.234185,-135.497336
02,105,000400,2365,+58.123876,-135.423534
02,110,000100,5212,+58.398909,-134.661500
02,110,000200,7064,+58.388696,-134.579773
02,110,000300,5983,+58.382508,-134.565123
02,110,000400,5148,+58.363270,-134.481060
02,110,000500,3283,+58.303928,-134.402094
02,110,000600,5565,+58.293995,-134.444634
02,122,000100,214,+61.075218,-151.266934
02,122,000200,5692,+60.679579,-151.283852
02,122,000300,975,+60.548370,-149.575869
02,122,000400,7022,+60.515465,-150.841156
02,122,000500,6560,+60.498203,-151.070265
02,122,000600,7424,+60.559984,-151.232031
02,122,000701,5876,+60.383403,-151.217983
02,122,000702,4814,+60.503730,-151.181894
02,122,000800,4003,+59.870089,-151.706661
02,122,000900,2494,+59.676719,-151.573752
02,122,001000,4370,+59.649997,-151.531152
02,122,001100,3459,+59.733429,-151.293622
02,122,001200,957,+59.419522,-151.725973
02,122,001300,4939,+60.136930,-149.405813
02,130,000101,2894,+55.444790,-131.792760
02,130,000102,484,+55.457136,-131.705775
02,130,000200,4414,+55.358440,-131.686975
02,130,000300,3782,+55.345668,-131.647388
02,130,000400,2374,+55.316063,-131.567433
02,150,000100,1611,+57.621560,-152.870274
02,150,000200,6833,+57.809534,-152.368993
02,150,000300,2032,+57.794289,-152.400984
02,150,000400,952,+57.790611,-152.395255
02,150,000500,1673,+57.746316,-152.502197
02,158,000100,8368,+62.076819,-164.340490
02,164,000100,1476,+58.617154,-156.273390
02,170,000101,700,+62.287688,-150.389536
02,170,000102,2607,+62.182076,-150.001379
02,170,000200,1741,+61.770235,-148.568306
02,170,000300,7636,+61.662467,-149.221161
02,170,000401,1975,+61.603777,-149.762937
02,170,000402,2193,+61.758303,-150.022968
02,170,000501,2007,+61.526199,-149.839342
02,170,000502,2276,+61.551494,-149.879466
02,170,000601,5880,+61.545240,-149.456425
02,170,000603,7887,+61.534972,-149.619730
02,170,000604,7470,+61.473845,-149.714092
02,170,000701,3830,+61.596449,-149.668907
02,170,000703,4671,+61.595588,-149.576230
02,170,000705,4279,+61.606401,-149.449713
02,170,000706,5702,+61.631321,-149.444080
02,170,000800,5621,+61.590221,-149.466911
02,170,000900,3020,+61.569181,-149.443874
02,170,001001,4391,+61.625181,-149.318093
02,170,001003,4128,+61.603273,-149.354668
02,170,001004,5182,+61.585928,-149.317899
02,170,001100,7354,+61.589203,-149.249728
02,170,001201,5621,+61.589546,-149.114214
02,170,001202,5025,+61.595524,-149.146410
02,170,001300,5885,+61.561026,-149.016146
02,180,000100,6140,+64.383705,-165.191469
02,180,000200,3906,+64.506967,-165.391687
02,185,000100,4934,+71.296675,-156.752761
02,185,000200,3367,+69.503704,-157.869656
02,185,000300,2730,+70.211396,-149.517334
02,188,000100,4691,+66.896528,-160.920681
02,188,000200,3102,+66.897841,-162.584548
02,195,000200,3398,+56.795070,-132.943575
02,198,000100,2069,+56.020559,-133.168189
02,198,000200,2051,+55.504290,-133.102340
02,198,000300,71,+55.923458,-130.032759
02,198,940100,1562,+55.119910,-131.576068
02,220,000100,3230,+57.068121,-135.324950
02,220,000200,5228,+57.059475,-135.342805
02,230,000100,1240,+59.465893,-135.310551
02,240,000100,2113,+63.408846,-142.776333
02,240,000400,4695,+64.065293,-145.584243
02,275,000300,2127,+56.426145,-132.355422
02,282,000100,662,+59.545059,-139.714907
02,290,000100,1086,+66.722770,-145.418302
02,290,000200,1478,+65.038574,-149.953184
02,290,000300,1708,+65.150192,-156.484493
02,290,000400,1071,+62.790982,-157.622504

