STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
05,001,480100,1224,+34.413734,-091.245130
05,001,480200,1527,+34.400982,-091.570571
05,001,480300,2698,+34.491185,-091.537857
05,001,480400,2216,+34.512907,-091.556618
05,001,480500,3821,+34.488217,-091.557481
05,001,480600,1700,+34.293243,-091.351101
05,001,480700,2727,+34.299083,-091.325846
05,001,480800,1236,+34.128886,-091.350596
05,003,960100,1488,+33.253798,-091.583427
05,003,960200,2449,+33.288725,-091.900400
05,003,960300,4303,+33.220098,-091.817450
05,003,960400,1507,+33.070299,-091.766761
05,003,960500,2447,+33.164181,-091.940362
05,003,960600,5089,+33.121794,-091.962253
05,003,960700,1779,+33.148414,-092.006123
05,005,950100,4528,+36.319698,-092.372681
05,005,950200,4761,+36.340920,-092.361490
05,005,950300,5087,+36.356893,-092.393105
05,005,950400,3384,+36.332350,-092.408279
05,005,950500,5110,+36.215869,-092.306953
05,005,950600,3811,+36.313894,-092.308864
05,005,950700,3356,+36.397095,-092.288286
05,005,950801,4236,+36.396716,-092.495865
05,005,950802,1847,+36.445502,-092.363863
05,005,950900,5507,+36.302382,-092.491566
05,007,020102,7651,+36.405551,-094.125970
05,007,020103,5061,+36.458394,-094.115460
05,007,020104,1710,+36.477224,-093.985196
05,007,020201,4999,+36.351957,-094.116497
05,007,020203,3031,+36.331470,-094.090284
05,007,020205,6353,+36.309246,-094.100234
05,007,020206,7335,+36.302500,-094.114324
05,007,020301,4305,+36.342902,-094.133806
05,007,020302,4298,+36.340509,-094.155671
05,007,020304,4380,+36.363006,-094.150240
05,007,020305,4068,+36.345278,-094.166933
05,007,020401,7286,+36.324102,-094.158252
05,007,020402,4687,+36.321698,-094.135963
05,007,020404,4953,+36.301588,-094.135140
05,007,020405,5479,+36.295249,-094.162669
05,007,020501,5336,+36.380279,-094.188946
05,007,020503,4727,+36.349338,-094.194720
05,007,020504,2819,+36.363026,-094.192389
05,007,020604,4571,+36.362062,-094.230352
05,007,020605,4485,+36.390621,-094.212853
05,007,020606,4299,+36.386428,-094.229783
05,007,020607,9451,+36.336967,-094.225070
05,007,020608,3259,+36.345838,-094.246859
05,007,020701,5783,+36.481985,-094.215926
05,007,020703,5103,+36.458768,-094.214783
05,007,020704,4670,+36.440841,-094.194412
05,007,020801,4604,+36.472897,-094.334888
05,007,020803,4653,+36.481435,-094.279339
05,007,020805,4873,+36.450339,-094.256181
05,007,020806,6750,+36.421842,-094.279746
05,007,020903,5310,+36.362824,-094.260705
05,007,020904,6043,+36.369258,-094.284854
05,007,020905,3071,+36.418554,-094.411795
05,007,020906,5514,+36.371802,-094.318774
05,007,021001,5265,+36.414714,-094.501565
05,007,021003,3291,+36.306927,-094.484330
05,007,021004,4006,+36.244936,-094.511315
05,007,021101,5151,+36.194383,-094.529650
05,007,021102,3498,+36.167656,-094.532688
05,007,021201,4894,+36.191732,-094.551850
05,007,021202,3521,+36.174157,-094.551670
05,007,021304,12149,+36.336107,-094.260292
05,007,021305,7458,+36.313224,-094.328905
05,007,021306,4625,+36.297923,-094.209023
05,007,021308,6511,+36.280661,-094.197052
05,007,021312,4051,+36.233484,-094.439025
05,007,021313,3304,+36.154937,-094.479835
05,007,021314,3751,+36.218634,-094.152469
05,007,021315,6275,+36.262909,-094.150666
05,007,021316,7193,+36.260209,-094.200432
05,007,021317,3681,+36.227108,-094.218504
05,007,021404,3813,+36.400002,-094.038846
05,007,021405,2020,+36.409282,-093.937961
05,007,021406,5918,+36.248425,-094.123759
05,007,021407,4587,+36.316621,-094.048631
05,007,021408,5920,+36.223857,-094.093384
05,007,021409,2534,+36.303349,-093.959716
05,009,790100,6858,+36.361814,-093.168307
05,009,790200,6047,+36.353466,-092.977313
05,009,790300,5538,+36.175873,-093.011308
05,009,790400,6158,+36.214828,-093.182575
05,009,790501,4030,+36.250971,-093.131849
05,009,790502,3938,+36.243369,-093.103183
05,009,790600,4804,+36.224505,-093.114396
05,011,950100,2615,+33.632586,-092.056788
05,011,950200,1914,+33.625336,-092.104181
05,011,950300,1975,+33.581774,-092.103064
05,011,950400,1586,+33.599594,-092.053473
05,011,950500,2455,+33.450597,-092.175702
05,013,480100,2242,+33.574679,-092.427635
05,013,480200,2497,+33.596145,-092.566288
05,015,950100,2978,+36.398469,-093.735277
05,015,950201,3496,+36.412382,-093.778925
05,015,950202,2921,+36.470657,-093.707824
05,015,950301,3517,+36.372125,-093.581616
05,015,950302,3661,+36.369144,-093.550261
05,015,950400,4260,+36.412419,-093.432799
05,015,950501,2181,+36.247226,-093.537092
05,015,950502,5246,+36.316261,-093.416946
05,017,080100,3331,+33.328522,-091.302184
05,017,080200,2144,+33.526432,-091.439105
05,017,080300,2634,+33.330567,-091.284776
05,017,080400,2099,+33.111298,-091.263245
05,019,953601,4915,+34.128712,-093.070487
05,019,953602,4129,+34.146087,-093.074525
05,019,953700,4115,+34.163950,-093.313529
05,019,953800,3544,+34.112216,-093.072016
05,019,953901,1831,+34.033123,-093.013783
05,019,953902,2912,+33.918031,-093.149062
05,021,950100,1874,+36.359156,-090.192123
05,021,950200,2047,+36.369107,-090.345215
05,021,950300,1699,+36.402849,-090.631921
05,021,950400,3182,+36.410833,-090.587996
05,021,950500,2028,+36.264671,-090.293140
05,021,950600,3722,+36.384558,-090.195319
05,023,480100,3913,+35.562572,-091.886193
05,023,480201,1452,+35.614646,-092.171153
05,023,480203,2423,+35.561824,-092.061414
05,023,480204,934,+35.651774,-092.021545
05,023,480301,2060,+35.506338,-091.995050
05,023,480302,2994,+35.504204,-092.034886
05,023,480400,4319,+35.481402,-092.030298
05,023,480501,2944,+35.412346,-092.015110
05,023,480502,3672,+35.442327,-092.188101
05,025,970100,4135,+33.991308,-092.135940
05,025,970200,3415,+33.818110,-092.136899
05,027,950100,3907,+33.213110,-093.154819
05,027,950200,4110,+33.350757,-093.244433
05,027,950301,1298,+33.097948,-093.339877
05,027,950302,3460,+33.208882,-093.358554
05,027,950401,4604,+33.286362,-093.228509
05,027,950402,2189,+33.277911,-093.240459
05,027,950500,3233,+33.262685,-093.236911
05,029,950100,4975,+35.297134,-092.600318
05,029,950200,3341,+35.313220,-092.756478
05,029,950300,5453,+35.167635,-092.744659
05,029,950400,2429,+35.148440,-092.744675
05,029,950500,2613,+35.159191,-092.644540
05,029,950600,1904,+35.103325,-092.816635
05,031,000101,3700,+35.834566,-090.706686
05,031,000102,3718,+35.828530,-090.686602
05,031,000200,4115,+35.834535,-090.726273
05,031,000300,7044,+35.820117,-090.719627
05,031,000401,6540,+35.782884,-090.660205
05,031,000403,4797,+35.807534,-090.674852
05,031,000404,4832,+35.790842,-090.682118
05,031,000501,8250,+35.870091,-090.634196
05,031,000502,6517,+35.834464,-090.639261
05,031,000601,7054,+35.866685,-090.686274
05,031,000602,6117,+35.844890,-090.683767
05,031,000701,4002,+35.880927,-090.740647
05,031,000702,3763,+35.858025,-090.745835
05,031,000803,6004,+35.791982,-090.751946
05,031,000804,2870,+35.812928,-090.750571
05,031,000805,3566,+35.796543,-090.701313
05,031,000806,3984,+35.778815,-090.713807
05,031,000900,5713,+35.774867,-090.512045
05,031,001000,4008,+35.832045,-090.339383
05,031,001101,4785,+35.935747,-090.645790
05,031,001102,5014,+35.910620,-090.564056
05,031,001200,4838,+35.884501,-090.817248
05,033,020101,2678,+35.657283,-094.170013
05,033,020102,2703,+35.579962,-094.151801
05,033,020204,5343,+35.484408,-094.325095
05,033,020205,3215,+35.594116,-094.393478
05,033,020206,2068,+35.580060,-094.311762
05,033,020207,4032,+35.486714,-094.394055
05,033,020208,3838,+35.471700,-094.368824
05,033,020301,4484,+35.450014,-094.343403
05,033,020302,3925,+35.453359,-094.367231
05,033,020401,4817,+35.433936,-094.254032
05,033,020402,4474,+35.511690,-094.107485
05,033,020501,4101,+35.427639,-094.312765
05,033,020502,4588,+35.442902,-094.331326
05,033,020601,2574,+35.535716,-094.223026
05,033,020602,7293,+35.489700,-094.221126
05,035,030101,1991,+35.151400,-090.151233
05,035,030102,2805,+35.153662,-090.166715
05,035,030201,5355,+35.158168,-090.193187
05,035,030202,3400,+35.156639,-090.210421
05,035,030301,3034,+35.138923,-090.201877
05,035,030302,2741,+35.136401,-090.189603
05,035,030503,1400,+35.141286,-090.157858
05,035,030601,759,+35.077243,-090.331212
05,035,030602,3696,+35.089672,-090.207228
05,035,030701,886,+35.351382,-090.334618
05,035,030702,879,+35.228736,-090.218179
05,035,030703,906,+35.181067,-090.204946
05,035,030803,1975,+35.189953,-090.183060
05,035,030804,4335,+35.194823,-090.206024
05,035,030805,3396,+35.207293,-090.205258
05,035,030806,4209,+35.212907,-090.180487
05,035,030807,1682,+35.305165,-090.223761
05,035,031000,1211,+35.201330,-090.354968
05,035,031100,2080,+35.270231,-090.462361
05,035,031200,1423,+35.140491,-090.170280
05,037,950100,1058,+35.267113,-090.560736
05,037,950200,3150,+35.344755,-090.751492
05,037,950300,1355,+35.296461,-090.958594
05,037,950400,2451,+35.195425,-090.776031
05,037,950500,4408,+35.223467,-090.795922
05,037,950600,4411,+35.227158,-090.774545
05,039,970100,1185,+33.986609,-092.549412
05,039,970200,1573,+33.890867,-092.762540
05,039,970300,3724,+33.815171,-092.417375
05,041,950100,1342,+33.789147,-091.247952
05,041,950200,4119,+33.885778,-091.468764
05,041,950300,1247,+33.885227,-091.502303
05,041,950400,2792,+33.614516,-091.381782
05,041,950500,1895,+33.646192,-091.409229
05,043,490100,2230,+33.646774,-091.606223
05,043,490200,2195,+33.646291,-091.767048
05,043,490300,5952,+33.625411,-091.806180
05,043,490400,3076,+33.608246,-091.774311
05,043,490500,3897,+33.623513,-091.869400
05,045,030101,3310,+35.315288,-092.380895
05,045,030102,5990,+35.214095,-092.369203
05,045,030103,3741,+35.190091,-092.429884
05,045,030104,5576,+35.236109,-092.431059
05,045,030201,3235,+35.251961,-092.268116
05,045,030202,2847,+35.214858,-092.179321
05,045,030301,5944,+35.079988,-092.329928
05,045,030302,6189,+35.083048,-092.207456
05,045,030303,4810,+35.015829,-092.244548
05,045,030401,2580,+35.130169,-092.431840
05,045,030402,4136,+35.117393,-092.346559
05,045,030403,3954,+35.099326,-092.403310
05,045,030404,2631,+35.080533,-092.402848
05,045,030502,4989,+35.108745,-092.453006
05,045,030503,4825,+35.106069,-092.485517
05,045,030504,7257,+35.093714,-092.510520
05,045,030600,5336,+35.098413,-092.471834
05,045,030701,3541,+35.097659,-092.442778
05,045,030702,3660,+35.086672,-092.438403
05,045,030800,6249,+35.080888,-092.464920
05,045,030900,3908,+35.075543,-092.445061
05,045,031001,4033,+35.081541,-092.487594
05,045,031003,2441,+35.065049,-092.480656
05,045,031006,4066,+35.051976,-092.440936
05,045,031007,3797,+35.062869,-092.461707
05,045,031008,4773,+35.042577,-092.470315
05,045,031101,4780,+35.013514,-092.388993
05,045,031102,4900,+34.969905,-092.455025
05,047,950100,3520,+35.563827,-093.903756
05,047,950201,3112,+35.468036,-093.765841
05,047,950202,3570,+35.493985,-093.843579
05,047,950301,3867,+35.377194,-093.909349
05,047,950302,3028,+35.295967,-094.037161
05,049,550101,3338,+36.325147,-091.658326
05,049,550102,2406,+36.451889,-091.526218
05,049,550201,3379,+36.348984,-091.845306
05,049,550202,2952,+36.401159,-091.995641
05,051,010301,4163,+34.547619,-093.165667
05,051,010302,1875,+34.526074,-093.235949
05,051,010401,3903,+34.619060,-092.954105
05,051,010402,3762,+34.577785,-093.065906
05,051,010501,4299,+34.468230,-092.940624
05,051,010502,2196,+34.546336,-092.937377
05,051,010601,1537,+34.528361,-093.009023
05,051,010602,2253,+34.509665,-093.039384
05,051,010700,1552,+34.529901,-093.049304
05,051,010800,2248,+34.514017,-093.065433
05,051,010900,3356,+34.494597,-093.092682
05,051,011001,3728,+34.494983,-093.144619
05,051,011002,1887,+34.511188,-093.127330
05,051,011101,4832,+34.426534,-093.232137
05,051,011102,4131,+34.479436,-093.240310
05,051,011201,5244,+34.444467,-093.144776
05,051,011202,3891,+34.466044,-093.143359
05,051,011300,4726,+34.481458,-093.074770
05,051,011400,3373,+34.495349,-093.069459
05,051,011500,2135,+34.500822,-093.049371
05,051,011601,6242,+34.486846,-093.018333
05,051,011602,5178,+34.460756,-093.018236
05,051,011701,3316,+34.457040,-093.060212
05,051,011702,1206,+34.485054,-093.051822
05,051,011801,2014,+34.463112,-093.077482
05,051,011802,2265,+34.453523,-093.096498
05,051,011901,3538,+34.424139,-093.107666
05,051,011902,2564,+34.418972,-093.037480
05,051,012001,4952,+34.686911,-093.070308
05,051,012002,3814,+34.662908,-093.017151
05,053,470100,5035,+34.335666,-092.296886
05,053,470200,3230,+34.281065,-092.403772
05,053,470300,3774,+34.317819,-092.579891
05,053,470401,3585,+34.304539,-092.407029
05,053,470402,2334,+34.303284,-092.412317
05,055,480100,2929,+36.175298,-090.396173
05,055,480200,4615,+36.149018,-090.500978
05,055,480300,3177,+36.125522,-090.618075
05,055,480401,4506,+36.072321,-090.528694
05,055,480402,3083,+36.059249,-090.495703
05,055,480501,3680,+36.078689,-090.485154
05,055,480502,3542,+36.058484,-090.472113
05,055,480601,3231,+36.013083,-090.676846
05,055,480602,4528,+36.011938,-090.546367
05,055,480700,2092,+36.046803,-090.483330
05,055,480801,5213,+36.053438,-090.538286
05,055,480802,5140,+36.037696,-090.509129
05,057,480101,2052,+33.781854,-093.536924
05,057,480102,2785,+33.890427,-093.695019
05,057,480200,2156,+33.717880,-093.762887
05,057,480301,2121,+33.674182,-093.585472
05,057,480302,3064,+33.656953,-093.572435
05,057,480400,3730,+33.586113,-093.609925
05,057,480500,4157,+33.661034,-093.602264
05,059,020101,4071,+34.451750,-092.835530
05,059,020102,3411,+34.413216,-092.739459
05,059,020200,2903,+34.376103,-092.816004
05,059,020300,1914,+34.350105,-092.814524
05,059,020400,5350,+34.355873,-092.795102
05,059,020500,5701,+34.296727,-092.823865
05,059,020600,3577,+34.317769,-092.970152
