STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
04,001,942600,1549,+36.768406,-109.844932
04,001,942700,4491,+36.770349,-109.354374
04,001,944000,5348,+35.783142,-109.088013
04,001,944100,5495,+36.378035,-109.278056
04,001,944201,4021,+36.175207,-109.601796
04,001,944202,3608,+36.167155,-109.527622
04,001,944301,3789,+36.348590,-109.701943
04,001,944302,2685,+36.000982,-109.680933
04,001,944901,3369,+35.667656,-109.462596
04,001,944902,4201,+35.677582,-109.700399
04,001,945001,4133,+35.671613,-109.077947
04,001,945002,3589,+35.411465,-109.166882
04,001,945100,2132,+35.145303,-109.317670
04,001,970201,2569,+34.430512,-109.532451
04,001,970202,2610,+34.485814,-109.718985
04,001,970300,3216,+34.422935,-109.358500
04,001,970501,4449,+34.112638,-109.283847
04,001,970502,4767,+34.089292,-109.463159
04,003,000101,1071,+32.273953,-109.362743
04,003,000102,745,+31.994721,-109.618973
04,003,000201,3098,+32.313031,-109.890930
04,003,000202,3382,+32.256712,-109.836053
04,003,000203,2540,+31.986968,-109.856170
04,003,000301,4029,+31.963249,-110.299470
04,003,000303,3400,+32.013104,-110.349828
04,003,000304,2328,+31.925824,-110.330521
04,003,000305,2681,+31.933323,-110.224029
04,003,000400,2084,+31.744871,-110.064510
04,003,000501,1924,+31.735274,-109.559958
04,003,000502,921,+31.482176,-109.715096
04,003,000503,2063,+31.464622,-109.591844
04,003,000600,2600,+31.379174,-109.576455
04,003,000700,4833,+31.350955,-109.521706
04,003,000800,5130,+31.352301,-109.536014
04,003,000901,3305,+31.339666,-109.549615
04,003,000902,2684,+31.349614,-109.549164
04,003,001000,1464,+31.452688,-109.916663
04,003,001100,3103,+31.392242,-109.896604
04,003,001200,2753,+31.408304,-109.946562
04,003,001301,2333,+31.700371,-110.322783
04,003,001302,2788,+31.654275,-110.345654
04,003,001401,3437,+31.562110,-110.342964
04,003,001402,1802,+31.547853,-110.363838
04,003,001501,3329,+31.544483,-110.297023
04,003,001502,3633,+31.561943,-110.298456
04,003,001601,5280,+31.562842,-110.283081
04,003,001602,3038,+31.550578,-110.272495
04,003,001701,4355,+31.545655,-110.250147
04,003,001702,3658,+31.563786,-110.242785
04,003,001703,5039,+31.542543,-110.237945
04,003,001801,5649,+31.522872,-110.271132
04,003,001802,3372,+31.537635,-110.277050
04,003,001900,7114,+31.492509,-110.268854
04,003,002001,5453,+31.477518,-110.242910
04,003,002002,4295,+31.474248,-110.179837
04,003,002100,4734,+31.403218,-110.191545
04,005,000100,3873,+35.225591,-111.665004
04,005,000200,4097,+35.213968,-111.642630
04,005,000301,3957,+35.217128,-111.619148
04,005,000302,2819,+35.206056,-111.618817
04,005,000400,5343,+35.218283,-111.605131
04,005,000500,5007,+35.230255,-111.578024
04,005,000601,2010,+35.199922,-111.586514
04,005,000602,3395,+35.200473,-111.576294
04,005,000700,4143,+35.204061,-111.596990
04,005,000800,6313,+35.189573,-111.642209
04,005,000901,5033,+35.158377,-111.668048
04,005,000902,3539,+35.162669,-111.652443
04,005,001000,10422,+35.184097,-111.654956
04,005,001101,5229,+35.174545,-111.676723
04,005,001103,5208,+35.192719,-111.671923
04,005,001104,4937,+35.182603,-111.672416
04,005,001201,2738,+35.200559,-111.649723
04,005,001301,5375,+35.274635,-111.537730
04,005,001302,5547,+35.266615,-111.483280
04,005,001500,3528,+34.911647,-111.443049
04,005,001601,1787,+34.845902,-111.769350
04,005,001602,1223,+34.899567,-111.756859
04,005,001700,3347,+35.251418,-112.191851
04,005,002000,1918,+36.954692,-112.246990
04,005,002101,3870,+36.919742,-111.453428
04,005,002102,3562,+36.906957,-111.465536
04,005,002201,4081,+35.324780,-111.809709
04,005,002202,2928,+35.098333,-111.693717
04,005,002301,3947,+35.800033,-112.283445
04,005,002302,3234,+35.312548,-112.079828
04,005,942201,3678,+36.567687,-111.204598
04,005,942202,3696,+36.579603,-110.980653
