STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
06,001,400100,3038,+37.859207,-122.230347
06,001,400200,2001,+37.848290,-122.249551
06,001,400300,5504,+37.840092,-122.254656
06,001,400400,4112,+37.848417,-122.257294
06,001,400500,3644,+37.848918,-122.264808
06,001,400600,1788,+37.842193,-122.264855
06,001,400700,4508,+37.841837,-122.272304
06,001,400800,3917,+37.845510,-122.283420
06,001,400900,2514,+37.839375,-122.280234
06,001,401000,6097,+37.831264,-122.272118
06,001,401100,4966,+37.829998,-122.263565
06,001,401200,2989,+37.830597,-122.257881
06,001,401300,5887,+37.817006,-122.267569
06,001,401400,5355,+37.820293,-122.273129
06,001,401500,2661,+37.823247,-122.280238
06,001,401600,2971,+37.816406,-122.279440
06,001,401700,6121,+37.817507,-122.293959
06,001,401800,1981,+37.809597,-122.298215
06,001,402200,3250,+37.807203,-122.295173
06,001,402400,2459,+37.811404,-122.282230
06,001,402500,2010,+37.805087,-122.285238
06,001,402600,1226,+37.804663,-122.279643
06,001,402700,1827,+37.810287,-122.277298
06,001,402801,2941,+37.809991,-122.271366
06,001,402802,1453,+37.807340,-122.274076
06,001,402900,1917,+37.804715,-122.267226
06,001,403000,3007,+37.800629,-122.270805
06,001,403100,1690,+37.802441,-122.275904
06,001,403301,1999,+37.798110,-122.266951
06,001,403302,3220,+37.794092,-122.268301
06,001,403401,3031,+37.803659,-122.263013
06,001,403402,1524,+37.803020,-122.265010
06,001,403501,5880,+37.816746,-122.260487
06,001,403502,2148,+37.816021,-122.256716
06,001,403600,4717,+37.813368,-122.254066
06,001,403701,2786,+37.811340,-122.258329
06,001,403702,2149,+37.809387,-122.253332
06,001,403800,3710,+37.814611,-122.242270
06,001,403900,3943,+37.817371,-122.249107
06,001,404000,3049,+37.822546,-122.252618
06,001,404101,3139,+37.830475,-122.250635
06,001,404102,2516,+37.825862,-122.251049
06,001,404200,3641,+37.837619,-122.229956
06,001,404300,3416,+37.843901,-122.240489
06,001,404400,5621,+37.844657,-122.215554
06,001,404501,1771,+37.826090,-122.215674
06,001,404502,6194,+37.834783,-122.202427
06,001,404600,4551,+37.824288,-122.193085
06,001,404700,1982,+37.812224,-122.207555
06,001,404800,2757,+37.805066,-122.213100
06,001,404900,4458,+37.803870,-122.221614
06,001,405000,3313,+37.808063,-122.225626
06,001,405100,4363,+37.811578,-122.232419
06,001,405200,4839,+37.805158,-122.244575
06,001,405301,2991,+37.802186,-122.251387
06,001,405302,2797,+37.798404,-122.254464
06,001,405401,3875,+37.796462,-122.249350
06,001,405402,3171,+37.793360,-122.245787
06,001,405500,3844,+37.798356,-122.243276
06,001,405600,3224,+37.800833,-122.237859
06,001,405700,3423,+37.797863,-122.229419
06,001,405800,4320,+37.793885,-122.233102
06,001,405901,4279,+37.787682,-122.236082
06,001,405902,3181,+37.790985,-122.240932
06,001,406000,5223,+37.790892,-122.251868
06,001,406100,5887,+37.774670,-122.228492
06,001,406201,5019,+37.784964,-122.230747
06,001,406202,4769,+37.781864,-122.226740
06,001,406300,3989,+37.789155,-122.225175
06,001,406400,2211,+37.794633,-122.221510
06,001,406500,6196,+37.788375,-122.217108
06,001,406601,4834,+37.793486,-122.208405
06,001,406602,2554,+37.795876,-122.214614
06,001,406700,5567,+37.802337,-122.203733
06,001,406800,3569,+37.797056,-122.195697
06,001,406900,3839,+37.792631,-122.191554
06,001,407000,6079,+37.787684,-122.203278
06,001,407101,3558,+37.783209,-122.214605
06,001,407102,4382,+37.780959,-122.210452
06,001,407200,6823,+37.777942,-122.219244
06,001,407300,3943,+37.767003,-122.210284
06,001,407400,4412,+37.771100,-122.206881
06,001,407500,4383,+37.769451,-122.197573
06,001,407600,6390,+37.777095,-122.203647
06,001,407700,4465,+37.776215,-122.193208
06,001,407800,2373,+37.782382,-122.191029
06,001,407900,3081,+37.788099,-122.186274
06,001,408000,2630,+37.802265,-122.181623
06,001,408100,6712,+37.782481,-122.156453
06,001,408200,4471,+37.774471,-122.176011
06,001,408300,4791,+37.770207,-122.165007
06,001,408400,3927,+37.764794,-122.171045
06,001,408500,5752,+37.760217,-122.178782
06,001,408600,6167,+37.765035,-122.183584
06,001,408700,7774,+37.768331,-122.189825
06,001,408800,7257,+37.759193,-122.196304
06,001,408900,3857,+37.755473,-122.186409
06,001,409000,4879,+37.735799,-122.189979
06,001,409100,2472,+37.731958,-122.183348
06,001,409200,3755,+37.729021,-122.178110
06,001,409300,5701,+37.738326,-122.172286
06,001,409400,5379,+37.745577,-122.177154
06,001,409500,4390,+37.751212,-122.181574
06,001,409600,5777,+37.753380,-122.172559
06,001,409700,5523,+37.755644,-122.165744
06,001,409800,3220,+37.758835,-122.156990
06,001,409900,3546,+37.759965,-122.135044
06,001,410000,3031,+37.743556,-122.135677
06,001,410100,2925,+37.747575,-122.153993
06,001,410200,3679,+37.745816,-122.157519
06,001,410300,4036,+37.746684,-122.166653
06,001,410400,4142,+37.741077,-122.162062
06,001,410500,2553,+37.807522,-122.289743
06,001,420100,2436,+37.894509,-122.290719
06,001,420200,3234,+37.894845,-122.297606
06,001,420301,2593,+37.894767,-122.304824
06,001,420302,2426,+37.890285,-122.302361
06,001,420401,1597,+37.884111,-122.300840
06,001,420402,2155,+37.884645,-122.304118
06,001,420500,2431,+37.886410,-122.295063
06,001,420600,3399,+37.886926,-122.287541
06,001,421100,2031,+37.899247,-122.266453
06,001,421200,3657,+37.897361,-122.274690
06,001,421300,3945,+37.891085,-122.281619
06,001,421400,1679,+37.888435,-122.270693
06,001,421500,3745,+37.891573,-122.260151
06,001,421600,3836,+37.883281,-122.257635
06,001,421700,3386,+37.881474,-122.270256
06,001,421800,2110,+37.879960,-122.277852
06,001,421900,3901,+37.879434,-122.289718
06,001,422000,4160,+37.868501,-122.298216
06,001,422100,2843,+37.873170,-122.296560
06,001,422200,3322,+37.872556,-122.288073
06,001,422300,3811,+37.873852,-122.277346
06,001,422400,4134,+37.875256,-122.269395
06,001,422500,5065,+37.876843,-122.259775
06,001,422700,4868,+37.867636,-122.251209
06,001,422800,11245,+37.866860,-122.258607
06,001,422901,2322,+37.865715,-122.267629
06,001,422902,3033,+37.868671,-122.269655
06,001,423000,4676,+37.867039,-122.277165
06,001,423100,4335,+37.866104,-122.286189
06,001,423200,2886,+37.864533,-122.293712
06,001,423300,3738,+37.857330,-122.284056
06,001,423400,5057,+37.858175,-122.275899
06,001,423500,3474,+37.859373,-122.267820
06,001,423601,2824,+37.858855,-122.258652
06,001,423602,5615,+37.863492,-122.258793
06,001,423700,4234,+37.862691,-122.250030
06,001,423800,3216,+37.854574,-122.246074
06,001,423901,2031,+37.852466,-122.266812
06,001,423902,1464,+37.854661,-122.257616
06,001,424001,4146,+37.850243,-122.274549
06,001,424002,2488,+37.850385,-122.281596
