STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
08,001,007801,3936,+39.742146,-104.876784
08,001,007802,3893,+39.741862,-104.854956
08,001,007900,5490,+39.747561,-104.874143
08,001,008000,6775,+39.748974,-104.856386
08,001,008100,1378,+39.749147,-104.837083
08,001,008200,6521,+39.758654,-104.833617
08,001,008308,6714,+39.746885,-104.818513
08,001,008309,4278,+39.744888,-104.792418
08,001,008354,4022,+39.802941,-104.751192
08,001,008355,4820,+39.745197,-104.761424
08,001,008401,5537,+39.831354,-104.485892
08,001,008402,5325,+39.780800,-104.309406
08,001,008505,7126,+39.892690,-104.976910
08,001,008506,6460,+39.907149,-104.983470
08,001,008507,6290,+39.907092,-104.968764
08,001,008508,5558,+39.907709,-104.949434
08,001,008524,9374,+39.940221,-104.931090
08,001,008526,7509,+39.938463,-104.974153
08,001,008533,7706,+39.891318,-104.952048
08,001,008534,4344,+39.893713,-104.931220
08,001,008535,4389,+39.896104,-104.876799
08,001,008536,4353,+39.909091,-104.804832
08,001,008538,11712,+39.886214,-104.787033
08,001,008540,10376,+39.939167,-104.907759
08,001,008544,6242,+39.949179,-104.948836
08,001,008545,6731,+39.934886,-104.951117
08,001,008546,3517,+39.924542,-104.930865
08,001,008547,3468,+39.917629,-104.930935
08,001,008548,1713,+39.925285,-104.917549
08,001,008549,4581,+39.917784,-104.913200
08,001,008550,8319,+39.906775,-104.927773
08,001,008551,1788,+39.919207,-104.897359
08,001,008552,5185,+39.961046,-104.814604
08,001,008553,5596,+39.954908,-104.707113
08,001,008554,2507,+39.924522,-104.950138
08,001,008555,5848,+39.917537,-104.958395
08,001,008556,6076,+39.904265,-104.854489
08,001,008557,852,+39.910055,-104.840892
08,001,008558,4220,+39.889256,-104.833116
08,001,008559,8672,+39.876508,-104.815381
08,001,008560,2203,+39.993225,-104.888946
08,001,008561,4824,+39.971278,-104.881774
08,001,008562,5787,+39.994034,-104.756186
08,001,008563,4429,+39.982154,-104.753304
08,001,008564,1192,+39.992280,-104.778564
08,001,008565,7013,+39.980584,-104.786608
08,001,008603,2118,+39.990721,-104.816663
08,001,008604,4551,+39.993120,-104.804562
08,001,008605,4103,+39.980184,-104.804393
08,001,008606,6101,+39.979210,-104.823457
08,001,008705,5399,+39.819060,-104.919905
08,001,008706,5572,+39.823644,-104.907192
08,001,008709,8139,+39.805817,-104.913969
08,001,008801,5138,+39.838576,-104.908425
08,001,008802,4375,+39.845445,-104.917593
08,001,008901,2478,+39.821912,-104.936096
08,001,009001,4770,+39.852978,-104.969341
08,001,009003,4405,+39.843807,-104.975352
08,001,009004,5040,+39.843199,-104.964375
08,001,009101,4220,+39.862410,-104.958955
08,001,009103,4383,+39.877543,-104.929914
08,001,009104,6470,+39.866294,-104.939529
08,001,009202,4386,+39.864626,-104.969841
08,001,009203,4594,+39.863964,-104.982255
08,001,009204,6918,+39.878051,-104.967782
08,001,009206,2630,+39.880940,-104.948601
08,001,009207,4560,+39.873140,-104.948743
08,001,009304,5809,+39.874161,-104.996636
08,001,009306,3863,+39.843024,-104.999038
08,001,009307,3828,+39.841542,-104.988348
08,001,009308,4372,+39.832892,-104.995893
