STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,001,010101,4401,+41.069467,-073.679592
09,001,010102,4276,+41.097896,-073.633524
09,001,010201,3395,+41.060396,-073.623069
09,001,010202,5904,+41.059854,-073.590348
09,001,010300,4370,+41.037724,-073.637348
09,001,010400,5716,+41.024621,-073.659274
09,001,010500,6570,+41.015586,-073.643471
09,001,010600,1884,+41.028823,-073.626277
09,001,010700,3573,+41.028878,-073.617704
09,001,010800,3135,+41.038516,-073.600042
09,001,010900,5279,+41.049432,-073.576198
09,001,011000,5477,+41.028580,-073.565577
09,001,011100,5049,+41.031103,-073.582110
09,001,011200,1703,+41.015673,-073.624062
09,001,011300,2786,+41.001741,-073.653904
09,001,020101,2862,+41.057586,-073.540898
09,001,020102,3988,+41.052200,-073.542323
09,001,020200,3754,+41.123512,-073.591258
09,001,020301,3829,+41.153697,-073.555563
09,001,020302,3379,+41.143522,-073.577892
09,001,020400,3611,+41.120751,-073.549696
09,001,020500,4813,+41.080698,-073.568182
09,001,020600,4842,+41.095492,-073.553796
09,001,020700,4170,+41.105356,-073.527879
09,001,020800,2873,+41.091215,-073.541846
09,001,020900,5257,+41.095580,-073.519046
09,001,021000,3559,+41.084327,-073.525235
09,001,021100,6414,+41.071962,-073.524813
09,001,021200,4319,+41.074550,-073.540680
09,001,021300,4781,+41.064715,-073.551618
09,001,021401,3079,+41.050305,-073.555359
09,001,021402,3947,+41.053041,-073.562350
09,001,021501,3955,+41.051769,-073.550167
09,001,021502,2821,+41.047434,-073.549731
09,001,021601,3559,+41.061882,-073.543100
09,001,021602,4536,+41.062917,-073.536592
09,001,021701,3268,+41.056865,-073.528062
09,001,021702,4732,+41.056566,-073.534453
09,001,021801,4720,+41.063633,-073.526799
09,001,021802,5156,+41.061144,-073.516161
09,001,021900,6341,+41.049352,-073.510082
09,001,022000,3058,+41.052925,-073.514001
09,001,022101,3586,+41.051648,-073.522800
09,001,022102,3943,+41.044029,-073.524443
09,001,022201,3060,+41.045325,-073.538156
09,001,022202,4581,+41.041119,-073.539471
09,001,022300,6311,+41.037850,-073.550423
09,001,022400,2366,+41.029824,-073.525742
09,001,030100,3733,+41.099416,-073.487405
