STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
11,001,000101,1406,+38.909331,-077.054630
11,001,000102,3417,+38.909195,-077.060303
11,001,000201,4108,+38.907957,-077.073849
11,001,000202,4672,+38.908198,-077.067895
11,001,000300,6161,+38.918541,-077.075828
11,001,000400,1643,+38.922586,-077.067235
11,001,000501,3829,+38.925294,-077.054194
11,001,000502,3418,+38.928515,-077.057746
11,001,000600,4676,+38.936337,-077.066072
11,001,000702,3452,+38.924256,-077.077499
11,001,000703,3022,+38.929333,-077.079035
11,001,000704,2753,+38.929726,-077.074250
11,001,000802,3327,+38.910994,-077.085237
11,001,000803,3174,+38.933633,-077.083588
11,001,000804,3832,+38.923846,-077.090785
11,001,000902,2317,+38.927982,-077.104030
11,001,000903,4202,+38.937589,-077.091195
11,001,000904,3148,+38.937000,-077.102430
11,001,001002,3643,+38.937867,-077.077746
11,001,001003,3111,+38.948972,-077.092831
11,001,001004,4480,+38.949044,-077.085392
11,001,001100,5300,+38.958487,-077.077943
11,001,001200,5371,+38.948286,-077.071027
11,001,001301,4160,+38.951385,-077.064167
11,001,001303,3763,+38.943919,-077.060588
11,001,001304,4018,+38.936242,-077.056337
11,001,001401,3258,+38.964344,-077.070557
11,001,001402,3514,+38.960410,-077.066087
11,001,001500,6156,+38.972627,-077.060688
11,001,001600,4471,+38.984887,-077.035086
11,001,001702,3356,+38.972720,-077.016369
11,001,001803,4102,+38.966520,-077.034894
11,001,001804,5500,+38.966329,-077.030735
11,001,001901,4206,+38.964946,-077.023030
11,001,001902,2117,+38.963120,-077.016313
11,001,002001,2926,+38.959570,-077.033520
11,001,002002,4072,+38.953596,-077.030465
11,001,002101,5687,+38.955953,-077.023823
11,001,002102,5099,+38.955765,-077.014611
11,001,002201,3485,+38.949277,-077.023479
11,001,002202,3339,+38.949579,-077.015347
11,001,002301,3266,+38.942487,-077.016312
11,001,002302,1762,+38.932906,-077.009006
11,001,002400,4095,+38.941205,-077.022470
11,001,002501,2688,+38.944889,-077.032239
11,001,002503,3031,+38.938427,-077.026741
11,001,002504,3349,+38.939192,-077.032790
11,001,002600,2592,+38.942858,-077.039886
11,001,002702,5825,+38.930076,-077.039920
11,001,002703,2614,+38.933477,-077.039368
11,001,002704,2993,+38.935568,-077.039357
11,001,002801,4398,+38.934695,-077.034418
11,001,002802,4685,+38.929261,-077.034503
11,001,002900,4443,+38.933877,-077.029662
11,001,003000,3561,+38.928812,-077.030245
11,001,003100,3873,+38.930442,-077.025532
11,001,003200,5099,+38.932220,-077.021248
11,001,003301,3824,+38.918718,-077.012004
11,001,003302,2434,+38.913886,-077.011178
11,001,003400,5120,+38.919641,-077.017682
11,001,003500,4801,+38.922175,-077.024709
11,001,003600,4775,+38.923613,-077.030168
11,001,003701,2916,+38.921489,-077.033550
11,001,003702,2906,+38.924687,-077.034349
11,001,003801,1800,+38.920093,-077.038069
11,001,003802,3911,+38.922868,-077.039222
11,001,003901,2598,+38.925737,-077.039856
11,001,003902,2022,+38.925339,-077.043572
11,001,004001,3941,+38.920592,-077.046042
11,001,004002,3291,+38.918361,-077.043467
11,001,004100,2836,+38.915522,-077.049528
11,001,004201,3548,+38.916158,-077.038907
11,001,004202,2850,+38.913662,-077.042950
11,001,004300,4436,+38.917049,-077.034112
11,001,004401,3430,+38.918636,-077.028816
11,001,004402,2755,+38.915645,-077.027027
11,001,004600,3543,+38.910031,-077.012970
11,001,004702,3934,+38.901410,-077.015983
11,001,004703,3331,+38.903583,-077.017043
11,001,004704,1945,+38.905088,-077.010483
11,001,004801,2820,+38.912302,-077.019832
11,001,004802,3634,+38.906284,-077.019086
11,001,004901,3380,+38.911027,-077.023727
11,001,004902,3449,+38.906086,-077.024874
11,001,005001,2012,+38.911676,-077.029692
11,001,005003,2143,+38.907109,-077.030643
11,001,005004,3861,+38.906409,-077.028301
11,001,005202,3408,+38.911279,-077.034252
11,001,005203,2979,+38.907723,-077.033183
11,001,005302,2518,+38.912313,-077.038461
11,001,005303,3215,+38.909682,-077.039570
11,001,005501,2303,+38.905581,-077.049199
11,001,005502,2968,+38.909453,-077.046984
11,001,005503,2492,+38.905630,-077.052104
11,001,005601,2900,+38.901868,-077.053176
11,001,005602,4100,+38.898300,-077.052377
11,001,005801,1672,+38.897642,-077.020494
11,001,005802,2145,+38.897994,-077.024348
11,001,005900,2617,+38.898812,-077.016369
11,001,006400,2481,+38.873698,-077.011396
11,001,006500,2609,+38.884181,-077.002691
11,001,006600,2164,+38.887767,-076.997849
11,001,006700,3927,+38.887590,-076.990064
11,001,006801,2238,+38.887854,-076.979977
11,001,006802,2580,+38.883000,-076.981591
11,001,006804,2429,+38.884589,-076.974783
11,001,006900,2799,+38.883854,-076.987280
11,001,007000,2697,+38.881181,-076.996467
11,001,007100,3218,+38.879322,-076.987803
11,001,007201,2985,+38.874644,-077.003053
11,001,007202,4303,+38.878912,-077.006748
11,001,007203,3748,+38.878412,-077.001843
11,001,007301,3841,+38.838056,-077.018515
11,001,007304,4410,+38.841937,-076.986687
11,001,007401,1259,+38.858342,-076.995919
11,001,007403,2613,+38.848175,-076.975476
11,001,007404,3637,+38.850420,-076.981388
11,001,007406,3528,+38.855910,-076.989538
11,001,007407,3491,+38.858577,-076.987359
11,001,007408,2867,+38.852641,-076.970147
11,001,007409,3835,+38.845644,-076.974250
11,001,007502,4687,+38.856542,-076.969645
11,001,007503,2528,+38.863124,-076.986424
11,001,007504,2730,+38.861746,-076.980679
11,001,007601,4693,+38.870460,-076.978317
11,001,007603,4185,+38.859574,-076.958013
11,001,007604,3803,+38.867066,-076.966030
11,001,007605,3663,+38.865598,-076.975281
11,001,007703,5227,+38.885672,-076.949507
11,001,007707,3927,+38.878233,-076.933788
11,001,007708,2574,+38.886025,-076.957949
11,001,007709,2072,+38.876047,-076.966017
11,001,007803,4590,+38.895607,-076.941008
11,001,007804,3499,+38.896024,-076.930919
11,001,007806,3457,+38.905157,-076.933411
11,001,007807,2114,+38.899076,-076.920330
11,001,007808,3792,+38.892834,-076.919582
11,001,007809,3155,+38.901546,-076.930856
11,001,007901,4148,+38.896632,-076.980593
11,001,007903,1865,+38.896342,-076.974302
11,001,008001,3103,+38.896071,-076.986687
11,001,008002,3366,+38.891700,-076.984711
11,001,008100,3153,+38.893270,-076.992524
11,001,008200,2695,+38.891585,-076.999887
11,001,008301,3220,+38.897843,-077.001081
11,001,008302,3026,+38.896302,-076.996684
11,001,008402,2447,+38.898690,-076.991263
11,001,008410,1843,+38.901599,-076.991117
11,001,008701,2814,+38.914579,-077.006469
11,001,008702,3574,+38.913850,-077.002423
11,001,008802,4360,+38.904132,-076.986508
11,001,008803,4036,+38.910717,-076.990725
11,001,008804,2417,+38.907358,-076.983903
11,001,008903,3062,+38.904379,-076.976995
11,001,008904,3137,+38.901302,-076.974492
11,001,009000,4676,+38.924577,-076.956617
11,001,009102,4608,+38.921438,-076.985780
11,001,009201,3103,+38.929049,-076.997548
11,001,009203,2775,+38.921608,-077.004750
11,001,009204,2889,+38.923220,-076.998478
11,001,009301,3853,+38.930572,-076.986256
11,001,009302,1750,+38.924765,-076.991643
11,001,009400,4424,+38.935918,-076.974785
11,001,009503,3106,+38.944370,-076.984945
11,001,009504,3208,+38.940664,-076.993152
11,001,009505,3796,+38.962062,-077.004011
11,001,009507,1525,+38.958516,-076.997197
11,001,009508,4243,+38.954452,-076.997232
11,001,009509,3194,+38.949253,-076.994485
11,001,009510,4525,+38.945819,-077.005839
