STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
10,001,040100,7315,+39.237913,-075.680800
10,001,040201,5446,+39.295250,-075.626416
10,001,040203,5182,+39.285731,-075.586926
10,001,040204,6451,+39.283842,-075.617621
10,001,040205,4699,+39.277374,-075.600154
10,001,040206,7643,+39.251183,-075.606714
10,001,040501,4605,+39.190334,-075.533708
10,001,040502,2645,+39.210368,-075.530756
10,001,040700,5461,+39.170015,-075.557091
10,001,040900,2374,+39.168076,-075.524644
10,001,041000,7443,+39.162526,-075.500811
10,001,041101,2816,+39.119674,-075.486109
10,001,041200,4368,+39.132421,-075.506447
10,001,041300,2059,+39.154195,-075.519368
10,001,041400,3839,+39.153268,-075.539927
10,001,041500,4085,+39.134263,-075.535639
10,001,041600,2107,+39.123811,-075.524524
10,001,041701,6164,+39.107340,-075.554629
10,001,041702,4472,+39.107689,-075.526021
10,001,041802,6720,+39.142267,-075.587808
10,001,041803,4384,+39.213412,-075.585716
10,001,041804,5980,+39.169947,-075.588198
10,001,041900,5289,+39.142890,-075.702848
10,001,042000,3064,+39.061291,-075.671776
10,001,042100,3997,+39.072319,-075.585313
10,001,042203,5705,+39.095394,-075.492174
10,001,042204,4773,+39.069732,-075.524016
10,001,042205,3019,+39.065122,-075.544777
10,001,042206,2822,+39.036516,-075.530665
10,001,042207,2576,+39.065900,-075.489169
10,001,042208,4016,+39.044105,-075.486943
10,001,042500,3590,+38.920724,-075.429559
10,001,042801,2007,+38.991271,-075.669176
10,001,042802,5612,+39.007556,-075.563351
10,001,042900,5105,+38.912640,-075.520188
10,001,043000,5414,+38.925570,-075.572275
10,001,043100,2573,+38.886241,-075.655270
10,001,043202,3722,+39.058474,-075.428530
10,001,043300,6553,+39.178872,-075.542842
10,001,043400,5648,+38.967513,-075.467111
10,001,980000,108,+39.126099,-075.482101
10,001,990000,0,+39.119891,-075.306880
10,003,000200,5298,+39.763369,-075.529640
10,003,000300,3012,+39.760090,-075.539000
10,003,000400,2957,+39.758552,-075.544975
10,003,000500,3453,+39.755099,-075.539112
10,003,000601,2773,+39.752345,-075.529170
10,003,000602,2876,+39.751577,-075.535888
10,003,000900,2267,+39.744608,-075.541915
10,003,001100,3375,+39.755044,-075.558132
10,003,001200,1605,+39.758960,-075.563417
10,003,001300,3588,+39.762018,-075.569472
10,003,001400,2103,+39.751605,-075.566652
10,003,001500,2231,+39.748916,-075.560764
10,003,001600,2419,+39.746379,-075.555117
10,003,001902,2113,+39.730613,-075.546712
10,003,002100,1809,+39.742481,-075.556630
10,003,002200,2874,+39.744739,-075.563757
10,003,002300,3003,+39.747185,-075.569316
10,003,002400,4250,+39.750528,-075.578615
10,003,002500,3235,+39.741610,-075.575006
10,003,002600,3730,+39.740043,-075.566665
10,003,002700,2990,+39.735043,-075.566484
10,003,002800,2378,+39.745478,-075.549971
10,003,002900,3499,+39.739622,-075.544796
10,003,003002,3060,+39.744259,-075.529511
10,003,010104,3620,+39.795282,-075.462620
10,003,010105,2916,+39.813859,-075.457015
10,003,010106,1760,+39.819742,-075.459204
10,003,010200,2034,+39.808744,-075.468377
10,003,010300,4106,+39.801704,-075.464767
10,003,010400,4591,+39.793161,-075.479977
10,003,010502,5779,+39.769739,-075.490955
10,003,010703,2036,+39.759891,-075.503003
10,003,010704,3947,+39.757675,-075.510982
10,003,010800,4796,+39.777307,-075.524081
10,003,010900,2773,+39.788988,-075.512317
10,003,011000,3201,+39.788533,-075.496853
10,003,011100,2654,+39.805259,-075.490877
10,003,011201,2421,+39.820832,-075.540390
10,003,011202,4003,+39.832460,-075.517731
10,003,011203,4805,+39.825494,-075.479176
10,003,011204,3313,+39.818045,-075.487386
10,003,011205,1968,+39.823113,-075.513730
10,003,011206,4319,+39.818221,-075.526476
10,003,011300,2244,+39.810146,-075.504809
10,003,011400,3456,+39.801209,-075.521033
10,003,011500,2908,+39.801255,-075.541841
10,003,011600,3287,+39.790511,-075.538809
10,003,011700,4260,+39.793778,-075.556164
10,003,011800,4927,+39.796891,-075.609163
10,003,011900,3298,+39.767721,-075.605331
10,003,012000,4334,+39.740215,-075.627634
10,003,012100,2901,+39.747242,-075.618115
10,003,012200,4676,+39.747116,-075.598514
10,003,012300,2739,+39.742233,-075.592391
10,003,012400,4637,+39.736084,-075.601553
10,003,012500,5660,+39.730367,-075.589281
10,003,012600,2945,+39.721771,-075.606580
10,003,012700,4392,+39.715743,-075.622042
10,003,012900,4823,+39.724877,-075.584768
10,003,013000,1927,+39.718677,-075.645178
10,003,013100,2248,+39.726190,-075.646373
10,003,013200,2653,+39.734747,-075.646256
10,003,013300,1907,+39.728777,-075.660533
10,003,013400,2504,+39.741285,-075.655467
