STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
12,001,000201,4348,+29.652962,-082.335574
12,001,000202,4782,+29.646095,-082.333926
12,001,000301,3384,+29.667339,-082.333034
12,001,000302,2644,+29.684488,-082.333262
12,001,000400,5330,+29.676360,-082.308764
12,001,000500,5441,+29.655929,-082.318439
12,001,000600,4544,+29.655054,-082.294539
12,001,000700,6126,+29.634506,-082.298314
12,001,000806,3049,+29.639392,-082.335201
12,001,000808,4423,+29.627504,-082.332996
12,001,000809,1163,+29.632642,-082.342963
12,001,000901,3173,+29.644314,-082.360585
12,001,000902,6362,+29.646405,-082.345759
12,001,001000,7614,+29.656065,-082.349684
12,001,001100,6596,+29.675932,-082.367225
12,001,001201,2888,+29.696808,-082.379026
12,001,001202,7443,+29.694268,-082.358667
12,001,001203,3881,+29.683417,-082.346354
12,001,001400,3882,+29.658216,-082.266815
12,001,001514,1928,+29.632350,-082.360973
12,001,001515,7427,+29.624447,-082.365408
12,001,001516,2714,+29.616739,-082.358820
12,001,001517,5730,+29.614738,-082.366878
12,001,001519,2623,+29.615775,-082.376589
12,001,001522,9216,+29.633042,-082.380744
12,001,001605,10468,+29.646902,-082.392744
12,001,001701,6859,+29.682470,-082.416227
12,001,001702,5104,+29.666339,-082.393728
12,001,001802,2960,+29.787809,-082.445834
12,001,001803,6285,+29.713459,-082.372182
12,001,001811,6294,+29.695683,-082.405683
12,001,001813,3883,+29.720462,-082.400328
12,001,001815,1896,+29.884884,-082.524403
12,001,001816,6396,+29.833976,-082.527602
12,001,001817,4613,+29.757163,-082.435350
12,001,001818,5548,+29.797188,-082.598932
12,001,001819,4633,+29.776631,-082.518770
12,001,001902,3378,+29.686591,-082.295305
12,001,001907,2529,+29.752646,-082.140702
12,001,001908,4718,+29.780415,-082.291429
12,001,002001,1528,+29.577055,-082.151484
12,001,002002,3787,+29.614282,-082.091776
12,001,002101,1905,+29.538904,-082.276686
12,001,002102,939,+29.504843,-082.302302
12,001,002201,5676,+29.680827,-082.545024
12,001,002202,6602,+29.624973,-082.518432
12,001,002204,12048,+29.672530,-082.460774
12,001,002207,3857,+29.643403,-082.430477
12,001,002208,2961,+29.644522,-082.454261
12,001,002209,9006,+29.559090,-082.451533
12,001,002210,5234,+29.638534,-082.614469
12,001,002217,6539,+29.648300,-082.416042
12,001,002218,2501,+29.638063,-082.415856
12,001,002219,6717,+29.617146,-082.409707
12,001,002220,2815,+29.596098,-082.400613
12,001,002221,5281,+29.607294,-082.430103
12,001,002222,6789,+29.614724,-082.449446
12,001,110800,2008,+29.609459,-082.351987
12,003,040101,7579,+30.298035,-082.128482
12,003,040102,7630,+30.244939,-082.142018
12,003,040201,7491,+30.306904,-082.287813
12,003,040202,5559,+30.299682,-082.180189
12,005,000201,5432,+30.382397,-085.690284
12,005,000203,2765,+30.282087,-085.646934
12,005,000204,3666,+30.289734,-085.724019
12,005,000301,2614,+30.513599,-085.431393
12,005,000302,6858,+30.336571,-085.481289
12,005,000401,2259,+30.312058,-085.524669
12,005,000402,6115,+30.288026,-085.564191
12,005,000500,7602,+30.203153,-085.551923
12,005,000600,919,+29.941416,-085.401779
12,005,000700,141,+30.086113,-085.624646
12,005,000803,4682,+30.152818,-085.584499
12,005,000804,2117,+30.148521,-085.559460
12,005,000805,4111,+30.137951,-085.579813
12,005,000806,3260,+30.126313,-085.574880
12,005,000900,3948,+30.132253,-085.599858
12,005,001000,1945,+30.150398,-085.611145
12,005,001100,4078,+30.164294,-085.607402
12,005,001200,3081,+30.179304,-085.624452
12,005,001301,5120,+30.224653,-085.622754
12,005,001302,6156,+30.203683,-085.627135
12,005,001402,6886,+30.242407,-085.628433
12,005,001403,1739,+30.247205,-085.653643
12,005,001404,7131,+30.227514,-085.661536
12,005,001501,5396,+30.214026,-085.671560
12,005,001502,4792,+30.195015,-085.671037
12,005,001600,2660,+30.172054,-085.652773
12,005,001700,2790,+30.162833,-085.631975
12,005,001800,1413,+30.151109,-085.626698
12,005,001900,3796,+30.146831,-085.647226
12,005,002000,1246,+30.171186,-085.665515
12,005,002200,4451,+30.172691,-085.681148
12,005,002300,3802,+30.176401,-085.695551
12,005,002400,3952,+30.183481,-085.711274
12,005,002500,2912,+30.198577,-085.702422
12,005,002604,7441,+30.168390,-085.769684
12,005,002605,1337,+30.162101,-085.779242
12,005,002606,1827,+30.151798,-085.763311
12,005,002607,1284,+30.141954,-085.750747
12,005,002608,3426,+30.152028,-085.731143
12,005,002609,4911,+30.186222,-085.768455
12,005,002703,3643,+30.222335,-085.867788
12,005,002706,2728,+30.256921,-085.940803
12,005,002707,2602,+30.255879,-085.953596
12,005,002708,869,+30.243107,-085.924771
12,005,002709,2722,+30.232145,-085.899342
12,005,002710,5174,+30.198264,-085.809403
12,005,002711,3486,+30.205812,-085.849731
12,005,002712,2621,+30.187052,-085.803680
12,005,002713,1310,+30.177708,-085.804948
12,005,990000,0,+29.926370,-085.650881
