STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
13,001,950100,3018,+31.880957,-082.301050
13,001,950201,2129,+31.809154,-082.300736
13,001,950202,2159,+31.796039,-082.360112
13,001,950301,3090,+31.752694,-082.344166
13,001,950302,2421,+31.773395,-082.372449
13,001,950400,1481,+31.639369,-082.192116
13,001,950500,4146,+31.716291,-082.403275
13,003,960100,1924,+31.346792,-083.037758
13,003,960200,4910,+31.311824,-082.859191
13,003,960300,1452,+31.297850,-082.730648
13,005,970100,3017,+31.569916,-082.403045
13,005,970201,4176,+31.566552,-082.505043
13,005,970202,3947,+31.508796,-082.473061
13,007,960100,1936,+31.315739,-084.377626
13,007,960200,940,+31.301117,-084.548890
13,009,970101,2386,+33.054851,-083.139190
13,009,970102,2773,+33.124999,-083.165346
13,009,970201,3744,+33.112425,-083.219392
13,009,970202,3161,+33.163606,-083.258535
13,009,970301,2659,+33.164737,-083.323759
13,009,970302,3685,+33.124409,-083.261796
13,009,970400,4120,+33.097364,-083.238206
13,009,970501,3384,+33.078956,-083.238066
13,009,970502,2650,+33.091409,-083.321113
13,009,970600,3586,+33.056333,-083.245051
13,009,970701,1889,+33.059783,-083.223568
13,009,970702,1830,+33.057114,-083.210302
13,009,970801,2748,+32.994121,-083.308782
13,009,970802,5184,+33.022778,-083.239812
13,011,970100,4798,+34.444715,-083.526355
13,011,970200,4932,+34.356668,-083.493336
13,011,970300,4619,+34.313150,-083.580655
13,011,970400,3686,+34.259847,-083.410185
13,013,180103,5691,+34.084265,-083.812818
13,013,180104,2206,+34.000440,-083.839679
13,013,180105,2822,+34.045203,-083.813386
13,013,180106,2857,+34.025948,-083.841483
13,013,180107,4312,+34.013970,-083.790506
13,013,180108,2987,+33.985885,-083.814873
13,013,180203,3497,+33.987363,-083.701245
13,013,180204,3191,+33.976552,-083.712498
13,013,180205,5319,+33.991380,-083.738116
13,013,180206,3252,+34.010720,-083.718660
13,013,180301,2604,+33.989820,-083.665236
13,013,180302,6255,+34.020612,-083.687283
13,013,180303,5374,+34.029305,-083.745295
13,013,180401,6640,+33.996960,-083.616590
13,013,180402,6840,+33.976035,-083.587370
13,013,180501,8269,+33.946989,-083.782160
13,013,180502,4948,+33.930986,-083.684484
13,013,180503,6441,+33.923410,-083.749942
13,015,960101,1729,+34.373612,-084.742629
13,015,960103,3596,+34.239303,-084.720506
13,015,960104,3077,+34.312185,-084.716055
13,015,960105,3600,+34.296710,-084.818375
13,015,960201,3208,+34.342307,-084.877230
13,015,960202,3607,+34.368371,-084.925178
13,015,960203,4660,+34.349815,-084.951842
