STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
15,001,020100,5433,+19.822717,-155.107065
15,001,020202,2035,+19.723314,-155.130029
15,001,020300,3822,+19.722695,-155.097279
15,001,020400,3517,+19.713300,-155.086487
15,001,020500,5944,+19.705175,-155.075517
15,001,020600,5631,+19.703424,-155.050890
15,001,020701,4811,+19.685991,-155.075175
15,001,020702,4647,+19.677813,-155.093738
15,001,020801,4365,+19.684019,-155.135227
15,001,020802,6544,+19.704672,-155.114659
15,001,020900,4802,+19.660934,-155.100284
15,001,021003,7423,+19.538791,-154.998004
15,001,021011,4388,+19.524577,-155.170303
15,001,021013,4820,+19.598360,-155.053243
15,001,021014,8402,+19.587835,-154.980265
15,001,021015,6080,+19.571049,-154.962353
15,001,021016,5525,+19.528719,-155.064601
15,001,021017,4572,+19.461745,-155.151193
15,001,021101,2793,+19.442390,-154.921148
15,001,021107,1365,+19.444510,-154.973716
15,001,021108,6336,+19.532274,-154.910515
15,001,021203,6111,+19.134370,-155.685603
15,001,021204,2868,+19.052988,-155.649172
15,001,021300,5913,+19.390251,-155.882624
15,001,021402,3876,+19.510972,-155.912884
15,001,021502,5432,+19.666038,-155.932534
15,001,021504,5932,+19.672386,-155.991639
15,001,021510,3550,+19.571270,-155.956759
15,001,021511,1568,+19.574628,-155.945102
15,001,021512,4531,+19.711233,-156.000241
15,001,021513,6109,+19.736035,-155.993192
15,001,021605,3787,+19.646296,-155.983390
15,001,021606,4120,+19.634915,-155.976706
15,001,021607,4452,+19.611412,-155.963325
15,001,021608,3832,+19.615211,-155.977990
15,001,021705,6366,+20.033441,-155.657632
15,001,021706,3795,+20.015161,-155.633190
15,001,021707,4997,+19.955927,-155.788275
15,001,021708,4152,+19.943841,-155.812291
15,001,021800,6979,+20.204004,-155.814762
15,001,021902,4212,+20.075464,-155.483844
15,001,022000,2678,+20.038023,-155.404569
15,001,022102,2114,+19.966178,-155.224571
15,001,990000,0,+19.279104,-155.940306
15,001,990100,0,+19.086737,-155.499655
15,001,990300,0,+19.397459,-154.880353
15,001,990400,0,+19.569749,-154.836398
