STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
19,001,960100,2776,+41.465910,-094.480141
19,001,960200,1611,+41.235192,-094.461179
19,001,960300,3109,+41.300513,-094.485630
19,003,950100,1587,+41.039495,-094.647993
19,003,950200,2117,+40.982999,-094.754387
19,005,960100,2083,+43.350525,-091.239381
19,005,960200,2407,+43.394874,-091.443540
19,005,960300,3989,+43.270002,-091.479018
19,005,960400,2108,+43.175071,-091.290233
19,005,960500,3474,+43.123873,-091.541955
19,007,950100,2568,+40.788806,-092.747477
19,007,950200,1723,+40.809563,-092.949499
19,007,950300,2975,+40.739655,-092.873698
19,007,950400,2887,+40.723090,-092.871437
19,007,950500,2164,+40.656930,-092.915070
19,009,070100,1800,+41.714309,-094.959929
19,009,070200,2248,+41.719742,-094.928095
19,009,070300,1626,+41.572727,-094.883640
19,011,960100,3100,+42.224957,-091.907221
19,011,960200,3184,+42.125552,-092.136541
19,011,960300,5122,+42.164085,-092.024225
19,011,960400,3257,+42.108152,-091.898433
19,011,960500,5774,+41.958682,-091.889159
19,011,960600,2617,+41.933142,-092.132089
19,011,960700,2521,+41.898089,-092.274430
19,013,000100,1773,+42.501849,-092.337104
19,013,000200,2855,+42.486732,-092.343120
19,013,000300,2857,+42.491765,-092.351683
19,013,000400,1590,+42.500632,-092.369993
19,013,000500,1577,+42.513367,-092.347120
19,013,000700,1377,+42.496975,-092.325437
19,013,000800,3613,+42.491356,-092.304823
19,013,000900,2384,+42.468448,-092.329508
19,013,001000,3732,+42.476741,-092.330753
19,013,001100,2861,+42.480769,-092.346576
19,013,001200,2282,+42.473355,-092.345999
19,013,001301,4153,+42.463531,-092.346352
19,013,001302,3688,+42.464215,-092.367157
19,013,001400,4542,+42.480566,-092.363897
19,013,001501,3064,+42.469311,-092.385003
19,013,001502,3786,+42.495129,-092.391100
19,013,001503,3645,+42.508812,-092.392455
19,013,001600,2700,+42.523073,-092.368235
19,013,001701,1973,+42.516535,-092.336029
19,013,001702,2516,+42.528145,-092.343758
19,013,001800,1493,+42.509336,-092.325355
19,013,001900,2094,+42.502275,-092.308449
19,013,002000,5171,+42.467164,-092.278901
19,013,002200,4229,+42.532995,-092.453107
19,013,002301,2071,+42.520063,-092.443395
19,013,002303,3801,+42.514093,-092.460640
19,013,002304,2450,+42.521990,-092.456950
19,013,002400,3941,+42.517085,-092.420917
19,013,002500,5849,+42.504228,-092.429557
19,013,002601,6032,+42.492843,-092.446088
19,013,002604,3985,+42.578522,-092.423824
19,013,002605,6557,+42.528560,-092.480265
19,013,002606,5172,+42.528358,-092.484094
19,013,002700,3826,+42.476154,-092.231845
19,013,002800,2901,+42.508145,-092.138776
19,013,002901,1265,+42.445266,-092.285913
19,013,002902,3854,+42.344147,-092.219442
19,013,003001,5485,+42.438486,-092.344858
19,013,003002,4000,+42.398275,-092.440835
19,015,020100,3245,+42.098063,-093.820110
19,015,020200,3889,+42.071286,-093.879653
19,015,020300,6051,+42.054362,-093.875646
19,015,020400,2464,+42.058793,-093.902597
19,015,020500,5075,+41.909551,-093.819409
19,015,020600,2234,+41.926757,-093.985101
19,015,020700,3757,+42.067585,-094.030553
19,017,004000,2406,+42.729191,-092.483819
19,017,004100,3819,+42.735813,-092.468598
19,017,004200,4463,+42.718352,-092.478485
19,017,004300,1839,+42.696531,-092.224391
19,017,004400,2679,+42.788803,-092.334536
19,017,004500,2362,+42.846403,-092.341339
19,017,004600,5353,+42.668481,-092.392722
19,017,004700,2067,+42.850287,-092.099174
19,019,950100,2374,+42.542529,-091.717411
