STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
16,001,000101,1577,+43.614771,-116.212819
16,001,000102,3261,+43.618973,-116.204763
16,001,000201,3568,+43.631847,-116.188396
16,001,000202,6352,+43.655869,-116.208789
16,001,000302,3432,+43.654517,-116.244992
16,001,000303,2231,+43.653046,-116.261382
16,001,000305,2726,+43.672432,-116.273808
16,001,000306,4419,+43.664444,-116.259312
16,001,000401,2139,+43.644531,-116.242038
16,001,000402,3637,+43.628635,-116.226237
16,001,000501,3014,+43.644576,-116.228360
16,001,000502,3437,+43.636817,-116.218221
16,001,000601,2341,+43.633856,-116.209750
16,001,000602,3343,+43.628162,-116.199709
16,001,000701,5020,+43.607927,-116.180713
16,001,000703,2417,+43.574275,-116.132778
16,001,000704,3771,+43.598186,-116.156232
16,001,000803,4511,+43.569540,-116.163110
16,001,000805,3314,+43.575983,-116.157459
16,001,000806,2472,+43.595999,-116.187971
16,001,000807,2211,+43.586307,-116.179590
16,001,000808,1849,+43.594178,-116.175625
16,001,000809,2578,+43.574340,-116.180195
16,001,000810,3146,+43.579793,-116.188078
16,001,000901,2209,+43.588759,-116.199002
16,001,000902,4961,+43.600640,-116.202715
16,001,001001,2219,+43.611359,-116.238011
16,001,001002,2337,+43.609080,-116.217161
16,001,001003,2957,+43.603131,-116.225444
16,001,001100,4966,+43.636459,-116.251501
16,001,001201,3463,+43.632937,-116.266999
16,001,001203,3847,+43.622605,-116.261827
16,001,001204,3528,+43.616075,-116.265061
16,001,001401,2701,+43.600359,-116.242915
16,001,001402,2808,+43.593836,-116.244626
16,001,001500,3821,+43.594730,-116.219121
16,001,001600,4642,+43.579557,-116.206700
16,001,001701,2052,+43.584742,-116.228105
16,001,001702,3849,+43.582043,-116.218336
16,001,001800,4794,+43.580454,-116.239850
16,001,001900,5294,+43.592048,-116.266989
16,001,002000,6002,+43.605186,-116.260465
16,001,002100,2070,+43.558835,-116.266853
16,001,002223,4988,+43.585792,-116.325048
16,001,002225,3670,+43.552926,-116.324475
16,001,002226,2907,+43.552528,-116.304578
16,001,002227,2883,+43.568573,-116.324849
16,001,002228,2949,+43.559971,-116.282581
16,001,002229,3975,+43.566380,-116.298058
16,001,002230,3693,+43.583153,-116.304127
16,001,002231,2694,+43.589297,-116.295188
16,001,002313,4433,+43.609641,-116.303475
16,001,002314,5485,+43.609530,-116.322631
16,001,002315,5560,+43.626923,-116.324197
16,001,002316,2656,+43.626956,-116.299204
16,001,002317,2989,+43.626582,-116.308889
16,001,002318,4787,+43.627603,-116.284075
16,001,002319,4518,+43.611776,-116.287307
16,001,002412,3975,+43.660918,-116.302234
16,001,002414,2758,+43.637752,-116.303717
16,001,002415,2578,+43.644622,-116.303421
16,001,002416,5512,+43.640468,-116.323606
16,001,002417,2832,+43.653271,-116.325180
16,001,002418,3782,+43.639787,-116.285979
16,001,002419,3716,+43.651998,-116.301078
16,001,010101,4206,+43.566909,-116.110181
16,001,010102,5974,+43.728458,-116.264556
16,001,010224,4246,+43.711276,-116.330769
16,001,010226,3247,+43.701028,-116.503031
16,001,010227,3461,+43.698272,-116.483884
16,001,010228,2776,+43.688105,-116.490339
16,001,010229,4919,+43.706312,-116.423916
16,001,010230,4607,+43.728821,-116.453924
16,001,010231,2552,+43.713599,-116.387500
16,001,010232,3611,+43.700027,-116.385007
16,001,010233,2888,+43.686671,-116.369334
16,001,010234,4874,+43.688529,-116.336971
