STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
18,001,030100,4589,+40.868763,-084.934012
18,001,030200,5103,+40.830615,-084.940048
18,001,030300,5246,+40.826955,-084.920243
18,001,030400,3674,+40.789526,-084.930138
18,001,030500,6718,+40.709597,-084.932455
18,001,030600,3412,+40.656619,-084.953301
18,001,030700,7067,+40.618115,-084.935581
18,003,000100,2407,+41.103263,-085.125393
18,003,000300,3396,+41.093192,-085.122176
18,003,000400,2559,+41.086107,-085.121706
18,003,000500,2853,+41.095936,-085.136677
18,003,000600,1885,+41.086027,-085.150541
18,003,000701,3152,+41.094486,-085.149206
18,003,000704,2432,+41.111860,-085.162830
18,003,000800,4044,+41.094459,-085.162086
18,003,000900,3350,+41.086988,-085.166694
18,003,001000,1181,+41.078690,-085.163308
18,003,001100,1481,+41.075082,-085.152906
18,003,001200,1473,+41.077651,-085.143963
18,003,001300,1972,+41.080989,-085.135105
18,003,001600,2021,+41.066550,-085.097743
18,003,001700,2625,+41.065081,-085.121821
18,003,002000,3105,+41.064384,-085.145211
18,003,002100,2192,+41.065068,-085.155443
18,003,002200,4246,+41.059427,-085.172336
18,003,002300,5751,+41.037190,-085.119754
18,003,002500,3231,+41.053481,-085.152047
18,003,002600,3474,+41.053653,-085.142251
18,003,002800,2488,+41.056935,-085.120506
18,003,002900,2561,+41.057322,-085.106935
18,003,003000,3953,+41.049941,-085.118634
18,003,003100,3076,+41.044150,-085.132282
18,003,003200,5459,+41.040545,-085.145083
18,003,003301,2728,+41.138262,-085.127540
18,003,003304,4143,+41.122573,-085.132931
18,003,003400,4335,+41.102597,-085.109470
18,003,003500,4229,+41.097414,-085.097659
18,003,003600,6678,+41.021096,-085.129853
18,003,003700,2727,+41.036876,-085.178473
18,003,003800,3130,+41.016690,-085.176437
18,003,003901,3463,+41.020209,-085.161552
18,003,003902,2914,+41.012594,-085.151067
18,003,004000,3513,+41.039887,-085.104414
18,003,004101,2708,+41.142699,-085.106311
