STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
20,001,952600,1791,+37.877621,-095.192216
20,001,952700,2009,+37.936613,-095.345217
20,001,952800,3813,+37.933111,-095.398013
20,001,952900,2230,+37.914960,-095.399923
20,001,953000,2683,+37.813767,-095.439281
20,003,953600,4951,+38.295987,-095.226495
20,003,953700,2885,+38.175975,-095.326152
20,005,081600,4217,+39.523546,-095.322244
20,005,081701,3786,+39.572883,-095.144762
20,005,081702,2602,+39.576106,-095.114495
20,005,081800,2705,+39.548183,-095.128705
20,005,081900,3038,+39.566385,-095.123778
20,007,968100,2724,+37.302875,-098.580765
20,007,968200,1504,+37.047162,-098.516131
20,009,971100,3716,+38.412544,-098.578593
20,009,971200,1512,+38.442634,-098.934259
20,009,971300,3087,+38.514305,-098.777296
20,009,971400,2447,+38.375649,-098.767425
20,009,971500,3343,+38.369611,-098.796981
20,009,971600,3927,+38.369244,-098.783030
20,009,971700,2665,+38.363577,-098.764934
20,009,971801,4796,+38.363459,-098.774230
20,011,955600,2647,+37.948213,-094.832466
20,011,955700,2205,+37.788376,-094.854149
20,011,955800,3533,+37.828079,-094.719051
20,011,955900,3324,+37.831367,-094.683147
20,011,956000,2651,+37.833960,-094.704405
20,013,480600,2786,+39.851078,-095.638879
20,013,480700,3585,+39.853641,-095.534014
20,013,480800,3137,+39.708567,-095.494911
20,015,020101,2272,+37.953736,-096.843548
20,015,020102,3495,+37.747167,-096.766405
20,015,020204,3314,+37.704155,-096.979921
20,015,020205,4160,+37.761317,-096.872903
20,015,020206,4460,+37.687349,-097.139551
20,015,020207,3897,+37.711631,-097.143274
20,015,020208,3292,+37.714446,-097.134880
20,015,020209,1913,+37.703110,-097.076512
20,015,020210,3263,+37.669971,-097.126705
20,015,020300,3739,+37.835144,-096.847042
20,015,020400,2225,+37.814013,-096.855391
20,015,020500,5313,+37.815995,-096.872102
20,015,020601,4438,+37.779434,-097.041832
20,015,020602,3110,+37.901215,-097.067839
20,015,020700,3999,+37.694128,-096.973194
20,015,020800,2913,+37.682872,-096.978913
20,015,020901,4143,+37.608160,-097.055299
20,015,020902,3994,+37.568081,-097.132497
20,015,020903,3440,+37.521104,-097.018112
20,017,960600,2572,+38.358225,-096.558338
20,019,964600,3379,+37.115752,-096.228059
20,021,958100,2597,+37.283876,-094.769563
20,021,958200,1901,+37.135762,-094.908273
20,021,958300,3585,+37.170682,-094.844000
20,021,958400,3606,+37.077817,-094.694911
20,021,958500,3479,+37.071223,-094.636896
20,021,958600,4194,+37.020929,-094.735149
20,023,950200,2616,+39.769323,-101.738091
20,025,967100,1991,+37.295814,-099.886429
20,027,458100,3632,+39.320374,-097.123538
20,027,458200,4485,+39.381843,-097.121564
20,029,977100,2245,+39.501239,-097.472027
20,029,977200,2215,+39.566000,-097.648578
20,029,977300,3177,+39.566043,-097.666033
20,029,977400,1395,+39.468503,-097.810226
20,031,966100,2553,+38.259851,-095.626015
20,031,966200,2854,+38.295794,-095.838220
20,031,966300,2953,+38.194613,-095.748213
20,033,967600,1689,+37.233664,-099.373213
20,035,493100,2535,+37.257005,-096.766584
20,035,493200,2921,+37.385363,-097.041701
20,035,493300,2710,+37.180983,-097.013202
20,035,493400,2419,+37.233273,-097.002678
20,035,493500,5017,+37.250716,-096.978803
20,035,493600,4094,+37.235890,-096.981292
20,035,493700,3450,+37.079926,-097.038085
20,035,493800,4454,+37.076995,-097.049955
20,035,493900,3216,+37.047183,-097.016401
20,035,494000,2277,+37.056711,-097.042668
20,035,494100,1456,+37.053285,-097.033577
20,037,956600,4115,+37.552866,-094.687057
20,037,956700,3458,+37.457860,-094.916913
20,037,956800,3304,+37.509694,-094.841012
20,037,956900,4161,+37.456816,-094.696123
20,037,957000,3459,+37.417371,-094.680246
20,037,957100,2811,+37.428023,-094.699029
20,037,957200,2189,+37.420579,-094.717173
20,037,957300,3061,+37.387033,-094.724884
20,037,957400,2129,+37.404835,-094.714820
20,037,957500,2513,+37.406131,-094.705351
20,037,957601,4406,+37.381208,-094.680991
20,037,957602,3366,+37.392923,-094.698578
20,039,951300,2764,+39.804239,-100.484373
20,041,084100,3974,+39.000022,-097.118979
20,041,084200,2390,+38.852877,-097.300830
20,041,084300,2279,+38.916160,-097.235823
20,041,084400,4805,+38.924486,-097.211797
20,041,084500,2798,+38.826587,-097.061736
20,041,084600,2156,+38.672020,-096.944440
20,043,020100,2059,+39.838331,-095.266514
20,043,020200,2121,+39.771813,-095.098734
20,043,020300,3330,+39.765954,-094.933529
20,045,000100,2775,+38.984599,-095.224790
20,045,000201,2118,+38.953474,-095.209343
20,045,000202,4971,+38.958918,-095.228567
20,045,000301,4470,+38.963485,-095.241569
20,045,000302,1881,+38.953476,-095.240620
20,045,000400,4884,+38.955347,-095.252440
20,045,000501,3130,+38.978946,-095.251549
20,045,000502,5014,+38.966584,-095.252064
20,045,000602,6515,+38.960532,-095.319838
20,045,000603,10171,+38.980580,-095.301125
20,045,000604,5331,+38.982333,-095.270687
20,045,000701,4061,+38.965191,-095.297424
20,045,000703,2973,+38.965441,-095.281042
20,045,000704,3435,+38.962777,-095.268569
20,045,000797,4944,+38.948638,-095.289635
20,045,000801,5900,+38.937918,-095.293348
20,045,000802,5859,+38.932735,-095.269225
20,045,000902,2400,+38.927964,-095.252681
20,045,000903,1790,+38.946769,-095.252552
20,045,000904,3921,+38.938954,-095.251492
20,045,001001,2654,+38.943251,-095.235396
20,045,001002,5885,+38.937969,-095.213495
20,045,001201,1787,+38.876495,-095.211784
20,045,001202,7613,+38.930414,-095.099349
20,045,001203,7161,+38.781924,-095.176913
20,045,001400,4759,+38.883118,-095.362363
20,045,001500,2383,+39.018258,-095.347393
20,047,969600,1392,+37.902204,-099.290354
20,047,969700,1515,+37.923299,-099.410158
20,049,965100,2483,+37.423675,-096.239085
20,051,072600,2609,+38.866321,-099.180210
