STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
21,001,970100,1621,+37.244621,-085.152779
21,001,970200,1755,+37.175795,-085.315455
21,001,970300,3005,+37.122636,-085.163606
21,001,970401,4346,+37.085627,-085.316324
21,001,970402,4535,+37.107088,-085.284059
21,001,970500,2334,+37.043155,-085.429177
21,001,970600,1307,+36.999429,-085.250945
21,003,920100,3295,+36.840184,-086.161439
21,003,920200,2868,+36.772540,-086.321320
21,003,920300,5101,+36.753763,-086.214882
21,003,920400,4563,+36.741096,-086.158310
21,003,920500,1413,+36.679755,-086.076149
21,003,920600,3348,+36.679467,-086.282814
21,005,950101,1987,+38.081498,-084.931967
21,005,950102,6988,+38.051826,-084.891279
21,005,950201,5681,+38.025256,-084.908876
21,005,950202,3966,+38.001437,-084.881742
21,005,950300,2382,+38.054447,-085.010144
21,005,950400,2848,+37.952477,-085.029792
21,007,950100,3975,+37.083460,-088.935710
21,007,950200,1420,+37.052673,-089.040556
21,007,950300,2333,+36.970239,-089.008577
21,009,950100,3590,+37.077570,-085.864448
21,009,950200,3537,+37.131505,-085.962427
21,009,950300,3507,+37.071660,-086.008907
21,009,950401,2637,+36.989285,-085.943128
21,009,950402,3612,+36.989086,-085.918276
21,009,950500,4033,+37.013113,-085.922032
21,009,950601,3048,+36.998446,-085.900525
21,009,950602,3318,+37.016370,-085.863474
21,009,950701,2269,+36.963043,-085.876909
21,009,950702,4046,+36.952423,-085.970669
21,009,950800,3497,+36.921396,-085.810319
21,009,950900,3913,+36.841114,-085.964647
21,009,951000,3478,+36.980874,-086.082514
21,011,970100,1932,+38.218066,-083.890420
21,011,970201,2646,+38.174682,-083.728527
21,011,970202,4610,+38.110261,-083.768448
21,011,970300,3562,+38.104924,-083.632385
21,013,960100,1825,+36.826703,-083.600633
21,013,960200,4129,+36.763259,-083.714493
21,013,960300,1865,+36.721945,-083.635631
21,013,960400,1292,+36.755369,-083.546619
21,013,960500,2096,+36.634315,-083.678979
21,013,960600,4478,+36.601812,-083.732187
21,013,960700,2655,+36.614374,-083.723901
21,013,960800,3223,+36.631039,-083.743618
21,013,961100,2534,+36.684220,-083.794951
21,015,070101,4045,+39.001073,-084.632758
21,015,070102,2868,+39.011507,-084.620672
21,015,070201,3863,+38.995512,-084.619279
21,015,070202,2961,+38.990502,-084.629395
21,015,070301,5992,+38.950819,-084.626234
21,015,070305,6572,+39.008288,-084.690055
21,015,070309,6546,+38.942895,-084.652763
21,015,070311,2711,+39.027065,-084.640090
21,015,070312,3131,+38.990076,-084.658391
21,015,070313,3296,+38.987716,-084.669710
21,015,070314,4997,+38.998190,-084.676670
21,015,070315,5914,+38.968853,-084.646179
21,015,070316,6903,+38.957763,-084.667938
21,015,070317,5254,+38.986250,-084.695499
21,015,070318,8353,+38.971407,-084.695804
21,015,070403,6820,+39.104801,-084.739827
21,015,070404,3772,+39.104147,-084.710697
21,015,070405,2336,+39.067842,-084.777392
21,015,070406,2647,+39.065800,-084.693278
21,015,070407,3548,+39.070943,-084.719567
21,015,070502,4327,+38.989199,-084.795745
21,015,070503,6614,+39.026936,-084.705610
21,015,070505,3708,+39.011706,-084.720899
21,015,070506,4245,+39.027592,-084.735827
21,015,070601,2936,+38.909828,-084.725971
21,015,070604,3454,+38.831612,-084.661330
21,015,070605,7985,+38.923540,-084.656058
21,015,070606,5660,+38.872448,-084.613745
21,015,070607,4453,+38.900082,-084.646623
21,015,980100,57,+39.034514,-084.674192
21,017,030101,2175,+38.215736,-084.255445
21,017,030102,1726,+38.215534,-084.242895
21,017,030201,4348,+38.191148,-084.269928
21,017,030202,1949,+38.206563,-084.263943
21,017,030300,3170,+38.139811,-084.282658
21,017,030400,2443,+38.239710,-084.330068
21,017,030500,2331,+38.290521,-084.183781
21,017,030600,2110,+38.166076,-084.095989
21,019,030200,1438,+38.475343,-082.634193
21,019,030300,2053,+38.472024,-082.636474
21,019,030400,2163,+38.450736,-082.617941
21,019,030500,4409,+38.451358,-082.633102
21,019,030600,4361,+38.453692,-082.656570
21,019,030700,3364,+38.464674,-082.645434
21,019,030800,3913,+38.470098,-082.662720
21,019,030900,5187,+38.476762,-082.682435
21,019,031001,1283,+38.394725,-082.763281
21,019,031003,3139,+38.432983,-082.692366
21,019,031004,3518,+38.438371,-082.718472
21,019,031101,5723,+38.380524,-082.688341
21,019,031102,2106,+38.311821,-082.743608
21,019,031200,3254,+38.357943,-082.624147
21,019,031300,2350,+38.416461,-082.605465
21,021,930100,6415,+37.671781,-084.762883
21,021,930200,4762,+37.649293,-084.735912
21,021,930300,3293,+37.645622,-084.776921
21,021,930400,4344,+37.624299,-084.771798
21,021,930500,3506,+37.649242,-084.809149
21,021,930600,3751,+37.631687,-084.941902
21,021,930700,4543,+37.581583,-084.817596
21,023,950100,2464,+38.752332,-084.003036
21,023,950200,1793,+38.738041,-084.170611
21,023,950300,4143,+38.654881,-084.071720
21,025,920200,2170,+37.556347,-083.470705
21,025,920301,1893,+37.564629,-083.384801
21,025,920302,1668,+37.541553,-083.372857
21,025,920500,1692,+37.438058,-083.458734
21,025,920600,1950,+37.427842,-083.375077
21,025,920700,1986,+37.466130,-083.284127
21,025,920800,2359,+37.608250,-083.310824
21,027,960100,5019,+37.876654,-086.327257
21,027,960200,5202,+37.770747,-086.439398
21,027,960300,3028,+37.823397,-086.592722
21,027,960400,1375,+37.651021,-086.515674
21,027,960501,2056,+37.754987,-086.259322
