STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
22,001,960101,3405,+30.398347,-092.212981
22,001,960102,2431,+30.415943,-092.221917
22,001,960201,3331,+30.436174,-092.330380
22,001,960202,2502,+30.430869,-092.458726
22,001,960300,3521,+30.337493,-092.583406
22,001,960401,2246,+30.306887,-092.368897
22,001,960402,2133,+30.323159,-092.492197
22,001,960403,2274,+30.253102,-092.497792
22,001,960501,2866,+30.287768,-092.191563
22,001,960502,2025,+30.355780,-092.208078
22,001,960503,1271,+30.312685,-092.266321
22,001,960601,1660,+30.244049,-092.227379
22,001,960602,3993,+30.235130,-092.262452
22,001,960700,3728,+30.235718,-092.274108
22,001,960801,3593,+30.221948,-092.369618
22,001,960802,1344,+30.239523,-092.365852
22,001,960901,3189,+30.218284,-092.385153
22,001,960902,1183,+30.207933,-092.399890
22,001,961000,4607,+30.205069,-092.366358
22,001,961100,3125,+30.155027,-092.511171
22,001,961200,3149,+30.163326,-092.338893
22,003,950100,4684,+30.681772,-092.940453
22,003,950201,2574,+30.831943,-092.653518
22,003,950202,1951,+30.824316,-092.641255
22,003,950300,2817,+30.811414,-092.657687
22,003,950400,3860,+30.663802,-092.723744
22,003,950501,3380,+30.488955,-092.885070
22,003,950502,3484,+30.512638,-092.790996
22,005,030102,5218,+30.264066,-090.889631
22,005,030104,3680,+30.330596,-090.894869
22,005,030105,6741,+30.302513,-090.886178
22,005,030106,2353,+30.289855,-090.847900
22,005,030107,3167,+30.252496,-090.853927
22,005,030207,6372,+30.320562,-090.993552
22,005,030208,4410,+30.333523,-090.968329
22,005,030209,2641,+30.332032,-090.933815
22,005,030210,5952,+30.310620,-090.955528
22,005,030211,6881,+30.314447,-090.921351
22,005,030212,7182,+30.280616,-090.969722
22,005,030213,4918,+30.263567,-090.964452
22,005,030214,5946,+30.285231,-090.937410
22,005,030215,5411,+30.275536,-090.916250
22,005,030301,5172,+30.276721,-090.997549
22,005,030302,5614,+30.152854,-090.930403
22,005,030303,3938,+30.241767,-090.979939
22,005,030304,2153,+30.245487,-091.003075
22,005,030403,2634,+30.242816,-090.943126
22,005,030404,2955,+30.244460,-090.916594
22,005,030405,4911,+30.218575,-090.919322
22,005,030406,4245,+30.224803,-090.938230
22,005,030501,3137,+30.227004,-090.888208
22,005,030502,2468,+30.228871,-090.855485
22,005,030503,3040,+30.221916,-090.809913
22,005,030600,5624,+30.190961,-090.898981
22,005,030900,3906,+30.107252,-091.015293
22,005,031001,2304,+30.103078,-090.962176
22,005,031002,3527,+30.091119,-091.000113
22,007,050100,3245,+30.035122,-091.055328
22,007,050201,2822,+29.930200,-091.208405
22,007,050202,2159,+29.980066,-091.197446
