STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,001,010100,3664,+42.053899,-070.186167
25,001,010206,3566,+41.923347,-070.015374
25,001,010208,2454,+42.016050,-070.072619
25,001,010304,2672,+41.822301,-069.984590
25,001,010306,3080,+41.857800,-069.986170
25,001,010400,3345,+41.772922,-069.994799
25,001,010500,2962,+41.784947,-069.964703
25,001,010600,3134,+41.697888,-069.974181
25,001,010700,3460,+41.681203,-069.997824
25,001,010800,4919,+41.745911,-070.099149
25,001,010900,5399,+41.750175,-070.042213
25,001,011002,4604,+41.687601,-070.103051
25,001,011100,5075,+41.711367,-070.039975
25,001,011200,3761,+41.679840,-070.058881
25,001,011300,2569,+41.732264,-070.192955
25,001,011400,3052,+41.731818,-070.156622
25,001,011500,4132,+41.699529,-070.159289
25,001,011600,3003,+41.665188,-070.132246
25,001,011700,1918,+41.665161,-070.164634
25,001,011801,2443,+41.713772,-070.222119
25,001,011802,4460,+41.701243,-070.213189
25,001,012001,5978,+41.679391,-070.194112
25,001,012002,3265,+41.657598,-070.203756
25,001,012101,5608,+41.667430,-070.233543
25,001,012102,3269,+41.650363,-070.249070
25,001,012200,5055,+41.702600,-070.331126
25,001,012502,3709,+41.642807,-070.296129
25,001,012601,3298,+41.664254,-070.317629
25,001,012602,5668,+41.656527,-070.300379
25,001,012700,4642,+41.647715,-070.338539
25,001,012800,4120,+41.673266,-070.347068
25,001,012900,4373,+41.663296,-070.370292
25,001,013002,2988,+41.635836,-070.384806
25,001,013100,5969,+41.673221,-070.412318
25,001,013200,5137,+41.637422,-070.438410
25,001,013300,3275,+41.759696,-070.501175
25,001,013400,3893,+41.736667,-070.438201
25,001,013500,6884,+41.693637,-070.455468
25,001,013600,6203,+41.694484,-070.501004
25,001,013700,5435,+41.753081,-070.609203
25,001,013800,5054,+41.786487,-070.537837
25,001,013900,4890,+41.725420,-070.603009
25,001,014002,4284,+41.689110,-070.606846
25,001,014100,797,+41.664716,-070.577145
25,001,014300,4593,+41.631491,-070.626374
25,001,014402,7201,+41.600765,-070.591283
25,001,014500,5481,+41.594219,-070.533757
25,001,014600,4378,+41.577788,-070.557801
25,001,014700,3646,+41.566424,-070.581464
25,001,014800,3591,+41.554889,-070.605886
25,001,014900,3627,+41.549933,-070.637923
25,001,015001,4449,+41.652020,-070.470560
25,001,015002,4147,+41.628881,-070.508954
