STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
23,001,010100,1791,+44.095191,-070.227290
23,001,010200,4924,+44.129343,-070.234162
23,001,010300,2751,+44.100687,-070.232978
23,001,010400,2142,+44.085425,-070.242589
23,001,010500,2066,+44.084946,-070.222762
23,001,010600,3206,+44.051147,-070.231522
23,001,010700,3102,+44.065564,-070.267791
23,001,010800,4079,+44.102113,-070.254729
23,001,020100,1835,+44.094826,-070.214955
23,001,020200,1324,+44.105650,-070.214707
23,001,020301,2278,+44.103955,-070.202311
23,001,020302,2383,+44.099864,-070.204530
23,001,020303,2358,+44.098222,-070.209815
23,001,020401,2337,+44.093672,-070.210151
23,001,020402,1501,+44.089053,-070.210570
23,001,020500,3468,+44.087060,-070.195448
23,001,020600,2818,+44.066036,-070.176074
23,001,020700,5055,+44.104141,-070.187008
23,001,020801,2830,+44.116349,-070.158044
23,001,020802,4431,+44.092869,-070.155520
23,001,020900,4503,+44.123669,-070.200064
23,001,030100,5274,+44.030755,-070.110228
23,001,030200,4437,+44.008042,-070.057939
23,001,040000,4173,+43.964078,-070.118001
23,001,041000,5906,+44.049476,-070.380706
23,001,041500,5873,+44.124378,-070.370442
23,001,042000,5817,+44.268857,-070.247732
23,001,043000,2127,+44.410768,-070.218289
23,001,044000,3060,+44.453408,-070.165299
23,001,045000,2262,+44.280660,-070.126299
23,001,046000,4376,+44.189491,-070.146332
23,001,046500,6652,+44.113788,-070.073591
23,003,950100,2567,+47.037821,-068.094216
23,003,950200,2404,+47.184569,-067.979224
23,003,950300,3867,+47.335751,-068.309830
23,003,950400,1782,+47.274610,-068.358858
23,003,950600,4067,+47.243684,-068.579376
23,003,950700,2745,+47.114533,-068.691626
23,003,950900,1871,+46.651243,-068.411093
23,003,951000,3344,+46.833481,-068.140696
23,003,951100,2750,+46.685117,-068.130014
23,003,951200,2229,+46.870441,-068.027690
23,003,951300,3057,+46.880386,-067.985926
23,003,951400,2110,+46.830514,-068.003535
23,003,951600,1526,+46.912064,-067.843017
23,003,951700,4642,+46.732715,-067.849158
23,003,951800,3472,+46.704744,-068.003667
