STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
26,001,000100,1690,+44.812884,-083.502855
26,001,970100,2340,+44.695185,-083.323113
26,001,970400,2833,+44.642939,-083.446926
26,001,970500,1923,+44.623088,-083.720363
26,001,970600,1381,+44.559364,-083.344674
26,001,990000,0,+44.682095,-082.828592
26,003,000100,3322,+46.438143,-086.526937
26,003,000200,2574,+46.406845,-086.845864
26,003,000300,2946,+46.304389,-086.802688
26,003,990000,0,+47.080076,-086.564107
26,005,030200,3566,+42.749987,-086.176887
26,005,030301,3133,+42.720377,-085.960585
26,005,030302,5079,+42.720855,-085.841901
26,005,030402,6874,+42.736185,-085.616073
26,005,030403,4302,+42.732984,-085.708174
26,005,030404,3620,+42.715804,-085.738556
26,005,030501,3190,+42.630824,-085.594051
26,005,030502,4945,+42.674112,-085.641341
26,005,030600,5196,+42.640244,-085.786091
26,005,030702,5467,+42.613740,-085.955153
26,005,030703,2659,+42.566014,-086.090435
26,005,030704,5149,+42.633408,-086.072253
26,005,030801,2276,+42.659461,-086.196693
26,005,030802,3410,+42.634271,-086.181716
26,005,030901,2800,+42.457102,-086.207530
26,005,030902,2574,+42.552806,-086.192191
26,005,031001,2750,+42.478190,-086.092050
26,005,031002,3266,+42.458615,-085.978279
26,005,031101,3518,+42.506337,-085.866284
26,005,031102,3160,+42.524762,-085.818055
26,005,031200,5763,+42.529069,-085.849606
26,005,031300,4899,+42.550395,-085.656852
26,005,031800,4735,+42.459414,-085.720927
26,005,031900,5236,+42.452431,-085.682507
26,005,032000,5325,+42.462671,-085.636288
26,005,032100,4663,+42.444515,-085.604698
26,005,032200,5793,+42.762320,-086.115282
26,005,032401,1715,+42.754639,-086.091589
26,005,032402,3901,+42.716514,-086.101709
26,005,032600,1538,+42.764846,-086.148133
26,005,990000,0,+42.595787,-086.634744
26,007,000101,1398,+45.122501,-083.724910
26,007,000102,3035,+44.937977,-083.646415
26,007,000200,4191,+45.034979,-083.573300
26,007,000300,3156,+45.144768,-083.436574
26,007,000400,2925,+45.070252,-083.429815
26,007,000500,1959,+45.065024,-083.444654
26,007,000600,3271,+45.085727,-083.474129
