STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
27,001,770100,2244,+46.703130,-093.405963
27,001,770200,2278,+46.887335,-093.597759
27,001,770300,3298,+46.528316,-093.719460
27,001,770401,1308,+46.704374,-093.232751
27,001,770402,1562,+46.462188,-093.217945
27,001,790501,1887,+46.330193,-093.449937
27,001,790503,1749,+46.431895,-093.733306
27,001,790504,1371,+46.435100,-093.653733
27,003,050107,3108,+45.394887,-093.386186
27,003,050108,5510,+45.394664,-093.332507
27,003,050109,5510,+45.382134,-093.220066
27,003,050110,2661,+45.322790,-093.242703
27,003,050111,3615,+45.321402,-093.170841
27,003,050114,3063,+45.342923,-093.366664
27,003,050115,5866,+45.346837,-093.311499
27,003,050116,4536,+45.335770,-093.447005
27,003,050208,3191,+45.215386,-093.334241
27,003,050210,4159,+45.273217,-093.074076
27,003,050215,4133,+45.229958,-093.238431
27,003,050216,6042,+45.239002,-093.188472
27,003,050217,3499,+45.278639,-093.311325
27,003,050218,3220,+45.275816,-093.369292
27,003,050219,2947,+45.237063,-093.367016
27,003,050220,6827,+45.231878,-093.331257
27,003,050222,5581,+45.226501,-093.287509
27,003,050223,2972,+45.262815,-093.491118
27,003,050224,3886,+45.274724,-093.459565
27,003,050226,3159,+45.241370,-093.400328
27,003,050227,4587,+45.232518,-093.414928
27,003,050228,6767,+45.238005,-093.451427
27,003,050229,5516,+45.175331,-093.132726
27,003,050230,2891,+45.148543,-093.031985
27,003,050232,3896,+45.163166,-093.050801
27,003,050233,3087,+45.195065,-093.105297
27,003,050234,3295,+45.279148,-093.186984
27,003,050235,2994,+45.279483,-093.239879
27,003,050236,4321,+45.138487,-093.097625
27,003,050237,5584,+45.150379,-093.107472
27,003,050238,4485,+45.251965,-093.303842
27,003,050239,2851,+45.244477,-093.291024
27,003,050240,3315,+45.253522,-093.410363
27,003,050241,2960,+45.279817,-093.417527
27,003,050401,3012,+45.213147,-093.397200
27,003,050402,3585,+45.203355,-093.406466
27,003,050501,3184,+45.196052,-093.384222
27,003,050504,2547,+45.190972,-093.374704
27,003,050505,5593,+45.215633,-093.372808
27,003,050602,2540,+45.181975,-093.328702
27,003,050605,5798,+45.165936,-093.339511
27,003,050606,2010,+45.151845,-093.307959
27,003,050607,4539,+45.169104,-093.322734
27,003,050608,4810,+45.168219,-093.305269
27,003,050609,3919,+45.200827,-093.345474
27,003,050611,3630,+45.181917,-093.351632
27,003,050612,2873,+45.190502,-093.362027
27,003,050702,3194,+45.181673,-093.280996
27,003,050704,4779,+45.169183,-093.282351
27,003,050706,3503,+45.153342,-093.271533
27,003,050707,6233,+45.205312,-093.312817
27,003,050709,2519,+45.127995,-093.288192
27,003,050710,3564,+45.151515,-093.285641
27,003,050711,5129,+45.192670,-093.278647
27,003,050712,4559,+45.190849,-093.309913
27,003,050807,4303,+45.174194,-093.257188
27,003,050808,2193,+45.163670,-093.259780
27,003,050810,4745,+45.144772,-093.250443
27,003,050811,3008,+45.133190,-093.253086
27,003,050816,6769,+45.169354,-093.161336
27,003,050818,7828,+45.198844,-093.200001
27,003,050819,5574,+45.184544,-093.188354
27,003,050820,3357,+45.188742,-093.222007
27,003,050821,4885,+45.175497,-093.224331
27,003,050822,2967,+45.205293,-093.225836
27,003,050823,4137,+45.203805,-093.244963
27,003,050824,4037,+45.186229,-093.245747
27,003,050825,3148,+45.190056,-093.256553
27,003,050826,3690,+45.158292,-093.243111
27,003,050827,2509,+45.154432,-093.254509
27,003,050828,3318,+45.132927,-093.178067
27,003,050829,3754,+45.133338,-093.205170
27,003,050901,2248,+45.137719,-093.170679
27,003,050902,5025,+45.143465,-093.152964
27,003,051001,3040,+45.115180,-093.237906
27,003,051002,3943,+45.115717,-093.256014
27,003,051101,5254,+45.108096,-093.275171
27,003,051102,4774,+45.098195,-093.252740
27,003,051103,3606,+45.096591,-093.234837
27,003,051201,3958,+45.079151,-093.271563
27,003,051202,3943,+45.078094,-093.256851
27,003,051203,5493,+45.072339,-093.236164
27,003,051206,2562,+45.061328,-093.263327
27,003,051302,4698,+45.054323,-093.239422
27,003,051304,2428,+45.055491,-093.260916
27,003,051305,3511,+45.055018,-093.252867
27,003,051400,5737,+45.041830,-093.260177
27,003,051501,3335,+45.043158,-093.244298
27,003,051502,3222,+45.040476,-093.234531
27,003,051600,5334,+45.384233,-093.085534
27,005,450100,3199,+46.871112,-095.264993
27,005,450200,2247,+46.830821,-095.539847
27,005,450300,5258,+46.799507,-095.732282
27,005,450400,2754,+46.859419,-095.869258
27,005,450500,4813,+46.823986,-095.841610
27,005,450600,3433,+46.804693,-095.842531
27,005,450700,3339,+46.763149,-095.845591
27,005,450800,2527,+46.821867,-095.984334
27,005,450900,3660,+46.830550,-096.096293
27,005,940000,3953,+47.057952,-095.735671
27,007,450101,2303,+47.527097,-094.979876
27,007,450102,4792,+47.461646,-094.940155
27,007,450201,1489,+47.571987,-094.843362
27,007,450202,5611,+47.529985,-094.879086
27,007,450300,4613,+47.607782,-094.827634
27,007,450400,2904,+47.732117,-094.714821
27,007,450500,1732,+47.975765,-094.681935
27,007,450600,5018,+47.483661,-094.880982
27,007,450703,1946,+47.496209,-094.903798
27,007,450704,3693,+47.470368,-094.896569
27,007,450705,2118,+47.475365,-094.818685
27,007,450706,2336,+47.457506,-094.852338
27,007,940001,5506,+47.899395,-094.976686
