STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
29,001,950100,3706,+40.210096,-092.494108
29,001,950200,2811,+40.179564,-092.692808
29,001,950300,2925,+40.202619,-092.587220
29,001,950400,4193,+40.211576,-092.570343
29,001,950501,3923,+40.190871,-092.600365
29,001,950502,3263,+40.176926,-092.575326
29,001,950900,2149,+40.193930,-092.575447
29,001,951000,2344,+40.186540,-092.581637
29,003,010100,6212,+39.845263,-094.804521
29,003,010201,3962,+39.932958,-094.830306
29,003,010202,2939,+39.949928,-094.825366
29,003,010300,1975,+39.963004,-094.930096
29,003,010400,3047,+39.997936,-094.741380
29,005,950100,3058,+40.416786,-095.370094
29,005,950200,2247,+40.426531,-095.525963
29,007,950100,3796,+39.311238,-091.485026
29,007,950200,4791,+39.189205,-091.719960
29,007,950300,3634,+39.229728,-092.104128
29,007,950400,2720,+39.174798,-091.868637
29,007,950500,3724,+39.183863,-091.896789
29,007,950600,2648,+39.159395,-091.905074
29,007,950700,3649,+39.160239,-091.885228
29,009,960101,2938,+36.854891,-093.701911
29,009,960102,2660,+36.626571,-093.696970
29,009,960201,2655,+36.812263,-094.010803
29,009,960202,3234,+36.829015,-093.881892
29,009,960301,3740,+36.923996,-093.927972
29,009,960302,3026,+36.906788,-093.929505
29,009,960401,3962,+36.553666,-093.949173
29,009,960402,3603,+36.697754,-093.958452
29,009,960500,6150,+36.673160,-093.863127
29,009,960600,2566,+36.547244,-093.639693
29,011,960100,2865,+37.471357,-094.161822
29,011,960200,3804,+37.516990,-094.455520
29,011,960300,4968,+37.494020,-094.273226
29,013,070100,4985,+38.377852,-094.296672
29,013,070200,4055,+38.290854,-094.514252
29,013,070300,4470,+38.256440,-094.336193
29,013,070400,2532,+38.116457,-094.297308
29,015,460100,3230,+38.452273,-093.195671
29,015,460200,2383,+38.415049,-093.365319
29,015,460300,4603,+38.278878,-093.374343
29,015,460400,2204,+38.290923,-093.217916
29,015,460701,1260,+38.187358,-093.388330
29,015,460702,1611,+38.259520,-093.477348
29,015,460801,1633,+38.182499,-093.178304
29,015,460802,2470,+38.206785,-093.306260
