STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
28,001,000101,4080,+31.552763,-091.257225
28,001,000102,2493,+31.465714,-091.329671
28,001,000200,3614,+31.608910,-091.345516
28,001,000300,1788,+31.570339,-091.386278
28,001,000400,2783,+31.563061,-091.376393
28,001,000500,3696,+31.574312,-091.339601
28,001,000600,2118,+31.549489,-091.384729
28,001,000700,1703,+31.558370,-091.400844
28,001,000800,3266,+31.479327,-091.406079
28,001,000900,3997,+31.529332,-091.382605
28,003,950100,5443,+34.945796,-088.446767
28,003,950201,3241,+34.936650,-088.502216
28,003,950202,3613,+34.962296,-088.502019
28,003,950300,3282,+34.949677,-088.543710
28,003,950401,2864,+34.894761,-088.662924
28,003,950402,1945,+34.954297,-088.712492
28,003,950501,3982,+34.896915,-088.526431
28,003,950502,2510,+34.924937,-088.520879
28,003,950600,3794,+34.849992,-088.428697
28,003,950700,4066,+34.807438,-088.598370
28,005,950100,4877,+31.246186,-090.697442
28,005,950200,3401,+31.228149,-090.964726
28,005,950301,2064,+31.096286,-090.964657
28,005,950302,2378,+31.086084,-090.672510
28,007,060100,2424,+33.148702,-089.447743
28,007,060200,2308,+33.152364,-089.643812
28,007,060300,3095,+33.006554,-089.726779
28,007,060400,2735,+33.001665,-089.512644
28,007,060500,3926,+33.057260,-089.579444
28,007,060600,3401,+33.060561,-089.600340
28,009,950101,2664,+34.882781,-089.268423
28,009,950102,2758,+34.877354,-089.146440
28,009,950200,2224,+34.652521,-089.198000
28,011,950100,3088,+33.969413,-090.780563
28,011,950200,2516,+33.841242,-090.986226
28,011,950300,2904,+33.875830,-090.732677
28,011,950400,3784,+33.638483,-090.851776
28,011,950500,5104,+33.741435,-090.728107
28,011,950601,2841,+33.736576,-090.732096
28,011,950602,3781,+33.746252,-090.742194
28,011,950701,4053,+33.744278,-090.710242
28,011,950702,2914,+33.731526,-090.720220
28,013,950100,3598,+34.044886,-089.340022
28,013,950200,1516,+33.992718,-089.342969
28,013,950300,2943,+33.864881,-089.365990
28,013,950400,2805,+33.878065,-089.198786
28,013,950500,2404,+33.859198,-089.303052
28,015,950100,4923,+33.556412,-089.938600
28,015,950201,3632,+33.360185,-089.833014
28,015,950202,1443,+33.394570,-090.070852
28,017,950100,3651,+34.012672,-088.762857
28,017,950200,3506,+34.008132,-089.027192
28,017,950300,4783,+33.899595,-089.003474
28,017,950401,2221,+33.879494,-088.829425
28,017,950402,2945,+33.826899,-089.029566
28,019,950100,2458,+33.448660,-089.219473
28,019,950200,4105,+33.285100,-089.267632
28,019,950300,1683,+33.311399,-089.174005
28,021,950100,3133,+31.988772,-090.881607
28,021,950200,1194,+31.954760,-090.982450
28,021,950300,4808,+31.888414,-090.987854
28,023,950100,4010,+32.070773,-088.600317
28,023,950201,3939,+32.173237,-088.800648
28,023,950202,1789,+32.084006,-088.786540
28,023,950300,3214,+31.940844,-088.792589
28,023,950400,2663,+32.046472,-088.717219
28,025,950100,5246,+33.659368,-088.730527
28,025,950200,2278,+33.660140,-088.937268
28,025,950300,3216,+33.610198,-088.652064
28,025,950400,4131,+33.602570,-088.638346
28,025,950500,3765,+33.592525,-088.587993
28,027,950100,2995,+34.359120,-090.528595
28,027,950200,2545,+34.207195,-090.630626
28,027,950300,2678,+34.177147,-090.536046
28,027,950400,3433,+34.207387,-090.584256
28,027,950500,4493,+34.198111,-090.590658
28,027,950600,955,+34.194258,-090.568278
28,027,950700,4291,+34.196502,-090.553231
28,029,950101,2517,+31.977396,-090.353240
28,029,950102,3178,+31.991535,-090.353874
28,029,950200,4996,+31.958536,-090.290391
28,029,950300,4392,+31.977667,-090.474628
28,029,950400,4485,+31.863361,-090.392878
28,029,950501,3139,+31.716436,-090.381200
28,029,950502,2700,+31.818279,-090.293435
28,029,950600,2961,+31.783199,-090.486484
28,031,950100,4724,+31.711267,-089.492219
28,031,950200,2000,+31.640539,-089.562206
28,031,950300,4242,+31.701687,-089.660994
28,031,950401,3807,+31.587466,-089.531375
28,031,950402,3567,+31.500533,-089.492075
28,033,070101,2933,+34.934550,-090.150690
28,033,070102,4513,+34.963746,-090.117870
28,033,070210,6784,+34.969335,-090.076356
28,033,070221,4289,+34.927162,-090.079984
28,033,070222,4639,+34.919005,-090.014736
28,033,070310,3656,+34.940466,-090.005654
28,033,070322,3669,+34.943999,-090.031933
28,033,070323,5687,+34.967713,-090.047542
28,033,070324,4677,+34.954602,-090.052463
28,033,070325,2884,+34.956589,-090.040296
28,033,070411,1590,+34.991159,-090.014699
28,033,070412,4064,+34.976347,-090.009989
28,033,070421,3203,+34.983557,-090.030188
28,033,070422,2443,+34.973988,-090.023481
28,033,070521,3477,+34.982381,-089.986312
28,033,070522,4120,+34.971589,-089.983972
28,033,070523,7391,+34.974852,-089.954953
28,033,070524,3792,+34.976474,-089.914571
28,033,070610,2715,+34.942551,-089.988850
28,033,070631,4365,+34.946483,-089.922269
28,033,070632,4368,+34.946948,-089.958969
28,033,070633,5186,+34.910633,-089.920654
28,033,070634,1733,+34.893343,-089.960597
28,033,070635,7750,+34.915979,-089.955928
28,033,070721,6249,+34.926483,-089.833447
28,033,070722,6728,+34.899196,-089.836738
28,033,070723,5205,+34.973921,-089.878613
28,033,070724,2914,+34.954267,-089.869074
28,033,070811,6436,+34.985310,-089.831940
28,033,070812,5333,+34.969615,-089.813227
28,033,070821,5115,+34.948186,-089.820981
28,033,070822,4852,+34.955120,-089.806810
28,033,070830,7336,+34.949493,-089.753525
28,033,070900,5967,+34.825368,-089.790851
28,033,071001,6040,+34.840156,-089.966942
28,033,071002,4936,+34.829536,-089.933989
28,033,071121,4459,+34.845415,-089.991392
28,033,071122,2661,+34.841077,-090.011029
28,033,071123,4115,+34.782989,-090.028300
28,033,071124,3850,+34.808858,-089.988412
28,033,071200,3190,+34.826742,-090.163338
28,035,000200,2525,+31.319846,-089.301769
28,035,000300,3019,+31.328812,-089.313801
28,035,000500,1099,+31.319898,-089.281775
28,035,000601,3528,+31.310302,-089.296886
28,035,000602,3222,+31.296555,-089.302688
28,035,000700,3019,+31.313990,-089.323131
28,035,000800,5872,+31.307178,-089.337180
28,035,000900,5080,+31.330661,-089.335050
28,035,001000,4441,+31.338684,-089.341451
28,035,001100,3558,+31.339562,-089.321187
28,035,010101,6769,+31.317379,-089.190709
28,035,010103,2113,+31.373843,-089.173467
28,035,010104,4440,+31.400103,-089.231441
28,035,010201,2976,+31.369835,-089.381737
28,035,010202,3790,+31.390012,-089.330096
28,035,010300,3554,+31.358414,-089.252639
28,035,010400,4287,+31.335966,-089.255289
28,035,010500,4497,+31.271530,-089.293292
28,035,010601,4322,+31.164536,-089.285297
28,035,010602,4068,+31.055569,-089.234859
28,035,010700,1979,+31.333997,-089.291161
28,037,950101,1877,+31.465705,-090.866296
28,037,950102,3260,+31.452394,-090.741173
28,037,950200,2538,+31.500866,-091.028423
28,039,950101,6568,+30.816590,-088.513782
28,039,950102,4840,+30.941795,-088.519550
28,039,950200,2521,+30.921098,-088.594435
28,039,950302,3096,+30.927004,-088.701016
28,039,950303,3301,+30.867281,-088.677387
28,039,950304,4024,+30.787600,-088.644822
28,041,950101,3091,+31.331123,-088.756076
28,041,950102,4608,+31.233287,-088.577259
28,041,950201,3119,+31.055575,-088.565934
28,041,950202,2712,+31.137154,-088.646983
28,043,950101,1824,+33.785749,-089.728389
28,043,950102,3895,+33.733595,-089.701552
28,043,950201,1922,+33.856481,-089.840986
28,043,950202,3431,+33.737050,-089.915736
28,043,950300,2907,+33.782295,-089.821078
28,043,950400,2550,+33.779886,-089.804081
28,043,950500,5100,+33.759445,-089.808031
28,045,030101,1974,+30.304128,-089.352304
28,045,030102,2824,+30.313609,-089.338422
28,045,030201,1522,+30.280773,-089.404630
28,045,030202,1418,+30.292868,-089.367973
28,045,030203,3199,+30.294048,-089.383876
28,045,030301,2162,+30.325616,-089.346678
28,045,030302,2182,+30.321772,-089.389651
28,045,030303,3447,+30.285684,-089.437589
28,045,030304,1972,+30.307516,-089.406311
28,045,030400,1989,+30.256574,-089.556368
28,045,030501,3020,+30.395428,-089.374431
28,045,030502,2381,+30.389601,-089.367437
28,045,030503,4172,+30.389162,-089.352373
28,045,030603,2634,+30.549222,-089.383921
28,045,030604,4887,+30.554344,-089.493046
28,045,030605,4279,+30.451642,-089.407106
28,045,030606,1991,+30.426947,-089.471607
28,045,990000,0,+30.218603,-089.371706
28,047,000600,1496,+30.396454,-088.915806
28,047,000900,2925,+30.409610,-088.928398
28,047,001203,2688,+30.409194,-088.957119
28,047,001204,2932,+30.405474,-088.966435
28,047,001205,2861,+30.406565,-088.987109
28,047,001206,1443,+30.397017,-088.996411
28,047,001207,2037,+30.399253,-088.977635
28,047,001301,1239,+30.395638,-088.949234
28,047,001302,1875,+30.393129,-088.984165
28,047,001401,1399,+30.388112,-089.013113
28,047,001402,1034,+30.376670,-089.059336
28,047,001503,1610,+30.393815,-089.022517
28,047,001504,1929,+30.395798,-089.011742
28,047,001505,2444,+30.415642,-089.027778
28,047,001506,2580,+30.404043,-089.009955
28,047,001600,3714,+30.410597,-089.049340
28,047,001701,2561,+30.391440,-089.036557
28,047,001702,1173,+30.399205,-089.041158
28,047,001703,2285,+30.391545,-089.052075
28,047,001800,2614,+30.406789,-089.082734
28,047,001900,2870,+30.381232,-089.068961
28,047,002001,1369,+30.375690,-089.084753
28,047,002002,1951,+30.385051,-089.081822
28,047,002300,2117,+30.372705,-089.104840
28,047,002401,1691,+30.387643,-089.123894
28,047,002402,2706,+30.396830,-089.105930
28,047,002500,1835,+30.376596,-089.123772
28,047,002600,3799,+30.367821,-089.122444
28,047,002701,3373,+30.349649,-089.168332
28,047,002702,3425,+30.360150,-089.145235
28,047,002801,1535,+30.337002,-089.179488
28,047,002802,1569,+30.348764,-089.150017
28,047,002900,1724,+30.324222,-089.224080
28,047,003001,2032,+30.329206,-089.236528
28,047,003002,2003,+30.322149,-089.273729
28,047,003103,2361,+30.398028,-089.146312
28,047,003104,3090,+30.388786,-089.269979
28,047,003105,3817,+30.377452,-089.209507
28,047,003106,2730,+30.360663,-089.177071
28,047,003107,2706,+30.373587,-089.167881
28,047,003208,4332,+30.446053,-089.043273
28,047,003209,4968,+30.482471,-089.051808
28,047,003210,1897,+30.453864,-089.080555
28,047,003211,2105,+30.444002,-089.085316
28,047,003212,2319,+30.463252,-089.078802
28,047,003213,3867,+30.463815,-089.093844
28,047,003214,1652,+30.442704,-089.071909
28,047,003215,4666,+30.457522,-089.059628
28,047,003216,2251,+30.501243,-089.087568
28,047,003217,2845,+30.479115,-089.077403
28,047,003305,2150,+30.440362,-088.886934
28,047,003306,1676,+30.438733,-088.895881
28,047,003307,611,+30.449243,-088.907506
28,047,003308,3172,+30.438818,-088.909119
28,047,003309,4079,+30.434147,-088.935401
28,047,003310,1157,+30.432511,-088.949044
28,047,003311,2614,+30.444538,-088.939158
28,047,003312,2057,+30.438496,-088.963416
28,047,003313,2138,+30.431906,-088.975003
28,047,003403,2488,+30.491734,-088.999651
28,047,003405,5736,+30.495547,-088.907725
28,047,003406,3478,+30.483528,-088.946998
28,047,003407,4674,+30.475157,-088.982315
28,047,003408,2151,+30.601117,-088.996336
28,047,003409,3567,+30.582341,-089.088296
28,047,003506,3288,+30.616755,-089.191109
28,047,003507,3956,+30.485289,-089.130435
28,047,003508,3708,+30.485931,-089.183808
28,047,003509,4223,+30.449577,-089.119876
28,047,003510,4094,+30.454959,-089.156405
28,047,003511,2477,+30.482650,-089.320492
28,047,003512,3423,+30.478460,-089.262263
28,047,003513,1513,+30.551489,-089.215122
28,047,003514,6029,+30.552013,-089.156845
28,047,003600,1132,+30.397157,-088.878721
28,047,003700,3670,+30.403691,-088.940916
28,047,003800,1134,+30.361924,-089.112221
28,047,003901,1130,+30.404094,-088.889438
28,047,003902,2218,+30.404855,-088.901927
28,047,004000,2403,+30.404119,-088.878029
28,047,980000,31,+30.397902,-089.068357
28,047,990000,0,+30.264457,-089.028538
28,049,000100,4793,+32.374403,-090.134656
28,049,000200,5491,+32.359356,-090.131526
28,049,000301,2147,+32.366871,-090.163252
28,049,000302,4047,+32.368321,-090.155260
28,049,000400,3136,+32.355223,-090.164094
28,049,000500,5106,+32.361274,-090.183962
28,049,000600,2918,+32.349983,-090.205313
28,049,000700,5019,+32.340066,-090.265033
28,049,000800,3950,+32.343952,-090.224594
28,049,000900,1594,+32.344612,-090.210086
28,049,001000,1190,+32.331427,-090.209477
28,049,001100,1539,+32.329904,-090.197085
28,049,001200,1629,+32.343265,-090.189614
28,049,001300,4557,+32.339947,-090.173114
28,049,001400,3380,+32.344066,-090.142818
28,049,001500,3384,+32.318002,-090.169167
28,049,001600,3360,+32.313894,-090.178656
28,049,002100,2698,+32.313898,-090.225598
28,049,002200,1870,+32.322451,-090.235244
28,049,002300,2436,+32.310606,-090.244164
28,049,002400,3788,+32.303419,-090.227424
28,049,002500,1712,+32.308418,-090.209441
28,049,002700,1142,+32.299821,-090.192516
28,049,003000,1595,+32.284862,-090.202629
28,049,003200,859,+32.293231,-090.216824
28,049,003300,5373,+32.277827,-090.239408
28,049,003400,2786,+32.279561,-090.223007
28,049,003500,3064,+32.263037,-090.222756
28,049,003600,3341,+32.262917,-090.246297
28,049,003700,2444,+32.251284,-090.236208
28,049,003800,2416,+32.245351,-090.220785
28,049,010102,5344,+32.390436,-090.131774
28,049,010103,4085,+32.387612,-090.107277
28,049,010104,2151,+32.394766,-090.117322
28,049,010201,2903,+32.387744,-090.159778
28,049,010202,5662,+32.385059,-090.181598
28,049,010203,2454,+32.380667,-090.215065
28,049,010301,2954,+32.369166,-090.260487
28,049,010304,6305,+32.355538,-090.305260
28,049,010305,3349,+32.335654,-090.302279
28,049,010400,5387,+32.341001,-090.329329
28,049,010501,4847,+32.401398,-090.319207
28,049,010502,3817,+32.389347,-090.411399
28,049,010600,4370,+32.338321,-090.568749
28,049,010700,6322,+32.239837,-090.425099
28,049,010801,1469,+32.315289,-090.291271
28,049,010804,1677,+32.330193,-090.318477
28,049,010805,3870,+32.318809,-090.336334
28,049,010806,4229,+32.313584,-090.345684
28,049,010807,3373,+32.224420,-090.336097
28,049,010808,4103,+32.259249,-090.296058
28,049,010809,2688,+32.261012,-090.319576
28,049,010901,2471,+32.324976,-090.269229
28,049,010902,1531,+32.305634,-090.270519
