STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
30,001,000100,1239,+45.174304,-112.987072
30,001,000200,3940,+45.250776,-112.667344
30,001,000300,4192,+45.215821,-112.631347
30,003,000100,4664,+45.744596,-107.608774
30,003,940400,1780,+45.532286,-106.866420
30,003,940500,1431,+45.412548,-108.171274
30,003,940600,3078,+45.612629,-107.464180
30,003,940700,2171,+45.260424,-107.392523
30,005,000100,1493,+48.630622,-108.672460
30,005,000200,2306,+48.564149,-109.245175
30,005,940100,1656,+48.463688,-108.744831
30,005,940200,1589,+48.022431,-108.651000
30,007,000100,2083,+46.320997,-111.514686
30,007,000200,4691,+46.264133,-111.556082
30,009,000100,2687,+45.513022,-108.932523
30,009,000200,1763,+45.332075,-108.928793
30,009,000300,2506,+45.189387,-109.250274
30,009,000400,2209,+45.279578,-109.258978
30,009,000500,1308,+45.243880,-108.995139
30,011,000300,1415,+45.687353,-104.525341
30,013,000100,2585,+47.511555,-111.231583
30,013,000200,3558,+47.510238,-111.253062
30,013,000300,3417,+47.510384,-111.273427
30,013,000400,1717,+47.510429,-111.286552
30,013,000700,2064,+47.499713,-111.296033
30,013,000800,1735,+47.500100,-111.286067
30,013,000900,3383,+47.499485,-111.273991
30,013,001000,3371,+47.500278,-111.252610
30,013,001100,4297,+47.499393,-111.228901
30,013,001201,1794,+47.514708,-111.206922
30,013,001202,2364,+47.511392,-111.193617
30,013,001600,4268,+47.507509,-111.328556
30,013,001700,2051,+47.503162,-111.352820
30,013,001800,3642,+47.524313,-111.322335
30,013,001900,6669,+47.536137,-111.301323
30,013,002100,5866,+47.486889,-111.251545
30,013,002201,3207,+47.472841,-111.299786
30,013,002202,3459,+47.485720,-111.282725
30,013,002301,5262,+47.477704,-111.331754
30,013,002302,2420,+47.437730,-111.354716
30,013,010100,3937,+47.557670,-111.390509
30,013,010400,1801,+47.239033,-111.716959
30,013,010600,3932,+47.352749,-111.056239
30,013,010700,4836,+47.505711,-111.631084
30,013,010800,2779,+47.509315,-111.297124
30,015,010200,2110,+47.838272,-110.771875
30,015,010300,3785,+48.031834,-110.170471
30,017,961300,2059,+46.376466,-105.707908
30,017,961500,1727,+46.417760,-105.847530
30,017,961600,2344,+46.409376,-105.825477
30,017,961800,1536,+46.403457,-105.838399
30,017,961900,2029,+46.394481,-105.831408
30,017,962000,2172,+46.409946,-105.845578
30,019,020300,1661,+48.783637,-105.431739
30,021,000100,1392,+47.303783,-104.889354
30,021,000200,2753,+47.105032,-104.753380
30,021,000300,4795,+47.107340,-104.705529
30,023,000300,3022,+46.124663,-112.941477
30,023,000400,3405,+46.130461,-112.966606
30,023,000500,2994,+46.153274,-112.957234
30,025,000100,3049,+46.360506,-104.316077
30,027,030100,5080,+47.127673,-109.392405
30,027,030201,3300,+47.060186,-109.425164
30,027,030202,3066,+47.067217,-109.439962
30,029,000101,954,+48.564127,-114.495065
30,029,000102,2519,+48.404046,-114.005053
30,029,000201,5127,+48.382249,-114.209477
30,029,000202,3007,+48.344231,-114.163532
30,029,000203,4762,+48.368633,-114.189260
30,029,000301,3096,+48.419919,-114.365652
30,029,000302,1829,+48.443768,-114.323823
30,029,000402,3226,+48.383488,-114.351814
30,029,000403,2564,+48.350018,-114.321518
30,029,000404,3483,+48.396977,-114.315899
30,029,000601,5482,+48.273933,-114.328782
30,029,000602,4198,+48.266291,-114.179746
30,029,000700,6239,+48.231940,-114.270526
30,029,000801,3155,+48.227875,-114.305076
30,029,000802,6195,+48.194144,-114.353864
30,029,000901,2167,+48.204364,-114.335568
30,029,000902,2148,+48.217757,-114.338497
30,029,000903,3588,+48.210950,-114.320140
30,029,001000,2040,+48.194180,-114.315322
30,029,001101,2677,+48.191281,-114.324198
30,029,001102,3337,+48.189682,-114.306692
30,029,001201,3149,+48.173000,-114.310673
30,029,001202,4702,+48.192194,-114.283161
30,029,001303,2044,+48.072596,-114.039223
30,029,001304,1880,+48.067901,-114.089541
30,029,001305,1533,+48.113050,-114.035737
30,029,001306,4057,+48.183114,-114.108267
30,029,001401,3051,+48.109239,-114.227340
30,029,001402,3134,+48.026372,-114.233979
30,029,001701,4622,+48.245977,-114.465360
30,029,001702,2180,+48.117011,-114.420728
30,029,001703,2212,+48.106206,-114.676812
30,031,000101,6362,+45.780672,-111.131028
30,031,000104,4057,+45.790600,-111.188220
30,031,000105,4925,+45.773747,-111.175452
30,031,000201,6119,+45.783263,-111.222277
30,031,000202,5898,+45.719462,-111.179468
30,031,000300,3583,+45.905923,-111.520035
30,031,000400,5866,+45.795849,-111.315558
30,031,000502,8247,+45.647009,-111.095873
30,031,000504,2690,+45.716372,-111.021651
30,031,000505,6750,+45.679950,-111.109064
30,031,000506,6713,+45.691534,-111.078712
30,031,000507,4551,+45.708915,-111.083472
30,031,000600,2860,+45.689481,-111.048539
30,031,000701,3399,+45.682919,-111.041250
30,031,000703,2126,+45.675739,-111.083329
30,031,000704,4338,+45.682106,-111.078542
30,031,000800,2328,+45.675216,-111.040444
30,031,000900,4176,+45.674772,-111.059131
30,031,001001,3608,+45.647446,-111.039768
30,031,001002,5113,+45.665960,-111.020260
30,031,001101,5535,+45.666455,-111.054799
30,031,001102,5049,+45.655771,-111.057733
30,031,001200,4972,+45.620126,-111.184678
30,031,001500,1956,+44.703267,-111.134414
30,031,001600,3396,+45.265269,-111.302131
30,031,001700,4343,+45.774797,-111.011099
30,033,000100,1173,+47.309975,-106.946674
30,035,940200,5670,+48.559536,-113.019955
30,035,940400,4270,+48.614582,-112.932046
30,035,976000,3782,+48.647345,-112.322870
30,035,980000,56,+48.654285,-113.408014
30,037,000100,823,+46.297881,-109.120778
30,039,961701,1354,+46.639583,-113.295474
30,039,961702,1955,+46.310899,-113.336761
30,041,040100,1342,+48.582658,-110.415900
30,041,040200,1858,+48.574473,-109.719156
30,041,040300,3692,+48.553256,-109.667644
30,041,040400,4461,+48.540693,-109.694825
30,041,040500,2485,+48.540027,-109.670798
30,041,940300,2471,+48.282898,-109.826387
30,043,962201,4307,+46.523441,-111.959895
30,043,962202,4315,+46.331447,-112.068617
30,043,962300,3463,+45.872732,-112.122019
30,045,000100,2023,+47.094038,-110.171269
30,047,000100,1565,+47.978385,-113.938730
30,047,000200,1750,+47.962743,-114.112639
30,047,940304,1932,+47.723063,-114.107446
30,047,940305,3730,+47.680460,-114.115320
30,047,940306,3010,+47.755998,-114.252003
30,047,940307,3449,+47.716643,-114.196251
30,047,940400,3993,+47.598576,-114.111537
30,047,940500,5326,+47.517311,-114.115852
30,047,940600,4321,+47.354818,-114.106830
30,047,940700,2058,+47.177318,-114.066598
30,049,000100,2165,+47.174976,-112.539254
30,049,000200,5916,+46.733610,-112.078627
30,049,000300,3026,+46.789508,-111.909423
30,049,000400,6349,+46.635268,-111.991771
30,049,000501,4415,+46.674219,-112.038320
30,049,000503,4784,+46.625841,-112.034622
30,049,000504,2862,+46.611383,-112.033716
30,049,000600,2880,+46.624866,-112.142203
30,049,000701,2151,+46.602321,-112.074270
30,049,000702,5043,+46.600173,-112.053231
30,049,000800,4089,+46.588130,-112.041841
30,049,000900,3814,+46.593924,-112.018461
30,049,001000,3988,+46.582880,-112.023620
30,049,001101,3071,+46.582287,-111.974260
30,049,001102,3887,+46.578748,-112.000828
30,049,001201,7030,+46.596868,-111.895936
30,049,001202,5503,+46.638861,-111.873147
30,051,050100,1959,+48.538044,-110.985198
30,053,000100,3389,+48.295427,-115.478840
30,053,000200,2484,+48.388367,-115.554864
30,053,000300,3899,+48.413438,-115.557518
30,053,000401,3842,+48.835031,-115.002739
30,053,000402,2628,+48.903377,-115.077836
30,053,000500,3435,+48.502837,-115.868074
30,055,954000,1729,+47.569721,-105.638886
30,057,000101,2006,+45.374202,-111.714413
30,057,000102,1949,+45.233103,-111.650109
30,057,000200,2489,+45.616064,-112.109628
30,057,000300,2179,+45.401473,-112.146177
30,059,000100,1927,+46.529828,-110.881517
30,061,964500,2306,+47.093657,-114.724354
30,061,964600,2229,+47.274925,-115.070790
30,063,000100,6262,+46.886107,-113.970919
30,063,000203,4439,+46.881279,-114.007415
30,063,000204,3970,+46.886552,-114.017660
30,063,000205,6806,+46.890518,-114.061480
30,063,000206,6924,+46.910507,-114.076287
30,063,000300,2288,+46.871948,-113.993253
30,063,000400,3131,+46.873212,-113.942086
30,063,000501,3262,+46.850292,-113.990894
30,063,000502,2896,+46.861484,-113.989619
30,063,000700,2970,+46.867938,-114.009479
30,063,000801,4148,+46.871832,-114.029656
30,063,000802,2929,+46.863391,-114.027723
30,063,000901,6103,+46.857415,-114.064713
30,063,000902,2444,+46.874550,-114.237970
30,063,001001,3905,+46.852087,-114.033958
30,063,001002,1748,+46.854502,-114.023717
30,063,001100,3105,+46.859878,-114.007991
30,063,001200,4778,+46.845807,-114.006437
30,063,001302,6593,+46.823134,-114.013010
30,063,001303,5165,+46.833740,-114.028343
30,063,001304,7202,+46.814866,-114.054872
30,063,001401,3070,+46.910944,-113.921099
30,063,001402,3786,+46.800783,-113.811201
30,063,001501,2249,+46.762372,-114.072362
30,063,001502,4791,+46.742681,-114.105176
30,063,001601,4754,+46.976183,-114.170684
30,063,001602,3336,+47.048486,-114.327097
30,063,001801,1749,+47.230191,-113.894185
30,063,001802,3119,+47.053031,-113.496640
30,065,000100,2787,+46.399607,-108.439693
30,065,000200,1943,+46.449514,-108.545447
30,067,000100,1858,+45.897331,-110.579574
30,067,000200,4844,+45.547271,-110.633027
30,067,000300,3358,+45.669227,-110.550767
30,067,000400,5668,+45.654065,-110.570527
30,067,000500,1450,+45.086694,-110.707092
30,067,980600,13,+45.025551,-110.612944
30,069,000100,496,+47.012154,-108.317862
30,071,060200,4217,+48.367246,-107.866550
30,073,977000,3434,+48.166274,-111.928378
30,073,977200,2464,+48.274350,-112.478135
30,075,000100,1694,+45.438494,-105.544609
30,077,000100,1382,+46.698773,-112.774953
30,077,000200,5564,+46.389015,-112.753786
30,079,000100,1088,+46.809714,-105.276222
30,081,000100,4260,+46.630597,-114.058511
30,081,000201,3926,+46.504562,-114.104012
30,081,000203,2355,+46.597857,-114.011908
30,081,000204,5541,+46.511402,-114.028353
30,081,000300,3077,+46.405856,-114.159450
30,081,000401,2714,+46.326326,-114.201789
30,081,000402,6233,+46.310656,-114.087857
30,081,000501,1378,+46.181747,-114.199029
30,081,000502,4736,+46.248222,-114.169859
30,081,000601,1821,+46.212020,-114.113469
30,081,000602,4947,+46.230184,-114.145597
30,081,000700,2026,+46.028993,-114.178747
30,081,000800,1160,+45.870062,-114.101028
30,083,070100,1772,+47.878676,-104.175319
30,083,070200,1820,+47.597131,-104.396489
30,083,070301,3427,+47.721429,-104.178169
30,083,070302,1557,+47.700813,-104.177112
30,083,070400,2915,+47.711661,-104.146556
30,085,080100,1938,+48.185578,-104.411206
30,085,940001,4517,+48.105763,-105.641704
30,085,940002,4339,+48.141333,-105.123099
30,087,000100,2183,+46.303719,-106.716640
30,087,000200,1272,+45.884415,-106.491026
30,087,000300,2096,+45.893397,-106.628416
30,087,940400,2778,+45.603545,-106.574305
30,089,000100,3951,+47.475939,-114.901764
30,089,000201,1988,+48.004462,-115.821845
30,089,000202,4486,+47.657251,-115.405540
30,089,940300,1975,+47.530825,-114.559542
30,091,090200,2407,+48.785482,-104.577196
30,091,090400,1132,+48.624849,-104.316630
30,093,000101,1861,+46.017405,-112.538287
30,093,000102,2977,+46.007293,-112.534998
30,093,000200,4781,+46.011601,-112.550359
30,093,000300,2337,+45.993859,-112.518833
30,093,000400,3997,+45.998952,-112.502451
30,093,000500,4734,+45.988377,-112.495263
30,093,000600,4727,+45.974306,-112.521775
30,093,000700,3647,+45.971438,-112.486918
30,093,000800,6072,+45.958670,-112.564833
30,095,966400,3957,+45.626432,-109.275135
30,095,966500,1925,+45.490811,-109.526262
30,095,966600,3081,+45.679024,-109.010069
30,097,967000,3678,+45.829391,-109.916510
30,099,000100,1941,+47.829461,-111.862094
30,099,000200,1934,+47.618939,-111.981711
30,099,000300,2351,+47.825377,-112.233262
30,101,000100,1135,+48.861900,-111.902673
30,101,000200,3135,+48.492276,-111.821871
30,101,980000,701,+48.502170,-111.894494
30,103,963500,762,+46.247085,-107.247111
30,105,100100,1599,+48.295442,-106.640664
30,105,100500,2790,+48.199000,-106.637623
30,105,940600,3189,+48.239158,-106.407875
