STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
37,001,020100,4040,+36.093336,-079.446189
37,001,020200,4137,+36.093284,-079.420446
37,001,020301,4213,+36.104233,-079.406139
37,001,020302,3974,+36.092243,-079.391677
37,001,020400,6556,+36.115233,-079.431316
37,001,020501,3965,+36.114766,-079.476969
37,001,020502,4299,+36.111092,-079.448682
37,001,020601,3170,+36.088496,-079.482149
37,001,020602,2509,+36.097689,-079.461713
37,001,020701,5018,+36.070933,-079.481254
37,001,020702,5063,+36.071851,-079.456806
37,001,020801,1930,+36.053439,-079.438746
37,001,020802,6175,+36.078783,-079.428197
37,001,020901,3871,+36.057541,-079.414200
37,001,020902,3887,+36.035451,-079.411925
37,001,021000,4091,+36.076508,-079.399549
37,001,021101,3984,+36.067055,-079.381834
37,001,021102,3587,+36.046877,-079.384668
37,001,021201,6305,+36.112829,-079.350701
37,001,021204,5217,+36.041002,-079.321730
37,001,021205,7963,+36.073528,-079.280369
37,001,021206,5382,+36.084442,-079.297984
37,001,021207,3498,+36.103861,-079.278845
37,001,021300,6178,+36.175183,-079.304849
37,001,021400,2668,+36.169789,-079.411043
37,001,021500,4576,+36.186940,-079.480383
37,001,021600,8913,+36.120512,-079.510955
37,001,021701,3479,+36.093277,-079.528664
37,001,021702,5897,+36.094550,-079.507725
37,001,021703,7974,+36.062335,-079.517769
37,001,021801,4706,+35.995798,-079.490951
37,001,021802,3618,+35.948948,-079.445484
37,001,021803,3042,+35.885093,-079.484006
37,001,021901,4630,+35.989409,-079.386113
37,001,021902,4424,+35.897392,-079.335232
37,001,022001,3759,+36.005212,-079.341458
37,001,022002,4717,+35.984750,-079.291363
37,003,040100,3248,+35.963354,-081.074238
37,003,040200,3877,+35.967984,-081.230546
37,003,040300,3090,+35.883788,-081.281609
37,003,040400,6503,+35.920888,-081.176014
37,003,040500,6560,+35.872926,-081.091161
37,003,040600,6320,+35.858907,-081.193853
37,003,040700,6846,+35.826004,-081.303312
37,005,950100,4058,+36.488906,-081.004037
37,005,950200,3762,+36.507549,-081.119205
37,005,950300,3068,+36.496890,-081.224794
37,007,920100,2783,+34.962536,-079.978481
37,007,920200,1411,+35.101726,-080.120338
37,007,920301,4504,+35.045339,-080.235444
37,007,920302,649,+34.953046,-080.240918
37,007,920400,2475,+34.989185,-080.078496
37,007,920501,944,+34.938607,-080.114605
37,007,920502,4442,+34.956490,-080.068174
37,007,920600,3481,+34.858272,-080.076051
37,007,980000,1366,+34.991295,-080.181291
37,009,970200,2497,+36.519314,-081.532821
37,009,970300,2390,+36.461506,-081.653500
37,009,970400,4360,+36.400665,-081.513322
37,009,970501,3511,+36.403046,-081.441253
37,009,970502,3007,+36.440891,-081.470376
37,009,970701,3356,+36.325699,-081.546437
37,009,970702,2527,+36.311264,-081.466060
37,009,970801,2146,+36.388912,-081.348982
