STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
38,001,965600,2200,+46.035876,-102.621818
38,003,967900,1675,+46.897497,-097.873069
38,003,968000,2581,+46.950416,-098.199464
38,003,968200,2796,+46.918354,-098.005934
38,003,968300,3801,+46.930149,-098.002967
38,005,940100,2134,+47.979984,-099.062445
38,005,940200,1825,+47.955186,-098.842483
38,005,956700,2005,+48.128228,-099.521212
38,007,963100,945,+47.003410,-103.306329
38,009,952300,2336,+48.824507,-100.443896
38,009,952400,2318,+48.849095,-100.439268
38,009,952500,1725,+48.771088,-101.156340
38,011,965200,1718,+46.183631,-103.400916
38,011,965300,1275,+46.154004,-103.374683
38,013,953300,2201,+48.760535,-102.539257
38,015,010100,3050,+46.809892,-100.787779
38,015,010200,4651,+46.811685,-100.765097
38,015,010300,5794,+46.823732,-100.764004
38,015,010400,3487,+46.825115,-100.786127
38,015,010500,5494,+46.820736,-100.804305
38,015,010600,4426,+46.793353,-100.804991
38,015,010700,3999,+46.789389,-100.787604
38,015,010800,3556,+46.795151,-100.772563
38,015,010900,5026,+46.814535,-100.744651
38,015,011001,7283,+46.848025,-100.751585
38,015,011002,7563,+46.869405,-100.721719
38,015,011101,5630,+46.842347,-100.785282
38,015,011103,2598,+46.834427,-100.805677
38,015,011104,7123,+46.848404,-100.811390
38,015,011105,6726,+46.880385,-100.811111
38,015,011200,9237,+46.757509,-100.781633
38,015,011300,8273,+46.763593,-100.697638
38,015,011400,3115,+46.809736,-100.527509
38,015,011500,1427,+47.111656,-100.620943
38,017,000100,5184,+46.911474,-096.774772
38,017,000203,2838,+46.916014,-096.783312
38,017,000204,3351,+46.917275,-096.792104
38,017,000300,5239,+46.907822,-096.801398
38,017,000400,3813,+46.895898,-096.790503
38,017,000501,3413,+46.885656,-096.785784
38,017,000502,3666,+46.887635,-096.803623
38,017,000601,2336,+46.883435,-096.826822
38,017,000602,2607,+46.876866,-096.805629
38,017,000700,1855,+46.876860,-096.788441
38,017,000801,3102,+46.867342,-096.792022
38,017,000802,4887,+46.867051,-096.808382
38,017,000901,4816,+46.856037,-096.797263
38,017,000903,3507,+46.857603,-096.829841
38,017,000904,4126,+46.852241,-096.823866
38,017,001003,3772,+46.841240,-096.812367
38,017,001004,4256,+46.839810,-096.800989
38,017,010106,4576,+46.856987,-096.850912
38,017,010107,2639,+46.871076,-096.855362
38,017,010109,3789,+46.870428,-096.871928
38,017,010110,2361,+46.855007,-096.877908
38,017,010111,3581,+46.854710,-096.868626
38,017,010201,4673,+46.865136,-096.913342
38,017,010205,3727,+46.856219,-096.894546
38,017,010206,5797,+46.869885,-096.895033
38,017,010303,6530,+46.821216,-096.828072
38,017,010306,4028,+46.827961,-096.806917
38,017,010307,1994,+46.815891,-096.811933
38,017,010308,4888,+46.839545,-096.830757
38,017,040100,1902,+46.907469,-097.554803
38,017,040200,2437,+47.121448,-097.103699
38,017,040300,3370,+46.906328,-097.221804
38,017,040501,7860,+46.818788,-096.869791
38,017,040502,8909,+46.832936,-096.914231
38,017,040503,3216,+46.766805,-096.908333
38,017,040504,6393,+46.819869,-096.853721
38,017,040505,5780,+46.796356,-096.817295
38,017,040506,3809,+46.813063,-096.880439
38,017,040507,3683,+46.810397,-096.915619
38,017,040508,5587,+46.832741,-096.891372
38,017,040509,5625,+46.785601,-096.845082
38,017,040600,3155,+46.675414,-097.010857
38,017,040700,6341,+46.839148,-096.866311
38,017,040800,5107,+46.922727,-096.940174
38,019,950900,1883,+48.764570,-098.374393
38,019,951100,1821,+48.747722,-098.444236
38,021,973200,2268,+46.136480,-098.087044
38,021,973300,1468,+46.094448,-098.494463
38,021,973400,1263,+46.002624,-098.522333
38,023,954500,2195,+48.873168,-103.340573
38,025,962200,4095,+47.337232,-102.638185
38,027,959200,2347,+47.705809,-099.056923
38,029,966500,3301,+46.266970,-100.221494
38,031,959600,3397,+47.460553,-099.032312
