STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
31,001,965400,4534,+40.623761,-098.500166
31,001,965500,4338,+40.601717,-098.393402
31,001,965600,5499,+40.591931,-098.372678
31,001,965700,1284,+40.589062,-098.389069
31,001,965800,2368,+40.587657,-098.406521
31,001,965900,4441,+40.594947,-098.416204
31,001,966000,4642,+40.571629,-098.396261
31,001,966100,1854,+40.579749,-098.368120
31,001,966200,2245,+40.471587,-098.489723
31,003,979600,2023,+42.298856,-098.085180
31,003,979700,1683,+42.130536,-098.028254
31,003,979800,2589,+42.039177,-098.054646
31,005,958300,434,+41.569368,-101.678874
31,007,954000,674,+41.558824,-103.721644
31,009,972400,431,+41.906138,-100.013369
31,011,960100,3448,+41.672524,-098.018674
31,011,960200,1931,+41.685868,-098.005715
31,013,951100,2217,+42.261410,-103.044102
31,013,951200,4736,+42.110714,-102.869871
31,013,951300,3889,+42.097191,-102.869277
31,015,975800,1810,+42.893569,-098.744830
31,017,975000,2903,+42.543087,-099.849627
31,019,968900,3762,+40.982277,-099.018188
31,019,969000,4722,+40.758202,-099.237030
31,019,969100,4785,+40.757461,-098.845390
31,019,969202,3408,+40.710077,-099.103134
31,019,969203,6707,+40.725595,-099.065469
31,019,969204,6052,+40.721741,-099.112110
31,019,969300,2348,+40.706078,-099.056953
31,019,969400,3993,+40.706939,-099.071990
31,019,969500,2222,+40.699128,-099.083443
31,019,969600,5460,+40.698791,-099.101500
31,019,969700,6625,+40.686147,-099.085847
31,021,963200,2222,+41.819869,-096.448247
31,021,963300,2552,+41.781211,-096.222896
31,021,963400,1948,+41.957984,-096.397032
31,023,967600,3210,+41.314456,-097.183647
31,023,967700,3166,+41.255470,-097.124875
31,023,967800,1993,+41.126727,-097.101194
31,025,965600,3770,+41.013559,-095.897738
31,025,965700,5557,+41.009417,-096.076469
31,025,965800,3196,+40.958152,-096.348719
31,025,965900,5002,+40.833036,-096.294468
31,025,966000,4518,+40.897622,-095.905328
31,025,966100,4555,+40.996491,-095.888742
31,027,977100,4458,+42.693136,-097.281989
31,027,977200,3922,+42.444435,-097.215827
31,029,961900,3893,+40.501955,-101.625629
31,031,955800,4113,+42.888766,-100.681805
31,031,955900,1342,+42.480825,-100.956401
31,033,954800,3008,+41.224134,-102.989714
31,033,954900,3714,+41.136151,-102.984849
31,033,955000,2746,+41.138733,-102.971663
31,035,962100,3464,+40.618922,-097.991959
31,035,962200,2640,+40.453992,-098.074901
31,037,964600,2212,+41.713970,-097.107319
31,037,964700,1529,+41.525480,-097.106549
31,037,964800,6841,+41.449240,-097.059646
31,039,972700,2551,+41.928979,-096.901380
31,039,972800,4349,+41.838359,-096.698846
31,039,972900,2113,+41.978474,-096.708669
31,041,971700,2517,+41.551872,-099.535269
31,041,971800,2767,+41.327046,-099.978339
31,041,971900,3874,+41.404571,-099.640793
31,041,972000,1387,+41.261554,-099.410163
31,043,010101,4101,+42.473401,-096.414155
31,043,010102,2947,+42.479127,-096.406478
31,043,010200,6870,+42.460808,-096.410146
31,043,010300,4508,+42.433014,-096.433376
31,043,010400,3156,+42.371688,-096.569885
31,045,950600,2634,+42.703197,-103.202368
31,045,950700,5565,+42.825596,-103.001816
31,047,968000,2514,+40.817251,-099.583850
31,047,968100,1376,+40.888859,-099.927107
31,047,968200,3703,+40.936169,-100.158800
31,047,968300,4084,+40.864346,-099.984977
31,047,968400,5436,+40.778086,-099.752168
31,047,968500,5549,+40.784691,-099.739792
31,047,968600,1449,+40.752298,-099.971163
31,049,955400,1838,+41.090929,-102.336520
31,051,977600,2390,+42.584087,-096.791255
31,051,977800,3216,+42.327348,-096.851821
31,053,963600,4738,+41.649475,-096.634147
31,053,963700,2599,+41.500519,-096.760587
31,053,963800,5298,+41.457454,-096.505440
31,053,963900,3844,+41.443090,-096.507254
31,053,964000,3425,+41.444196,-096.491171
31,053,964100,4939,+41.443488,-096.469824
31,053,964200,4154,+41.434579,-096.494493
31,053,964300,4960,+41.430358,-096.472689
31,053,964400,3210,+41.423642,-096.510781
31,055,000200,3627,+41.324297,-095.953098
31,055,000300,2518,+41.310508,-095.950755
31,055,000400,1849,+41.311184,-095.938558
31,055,000500,3411,+41.277946,-095.917640
31,055,000600,1461,+41.303372,-095.948883
31,055,000700,1214,+41.292605,-095.950925
31,055,000800,2175,+41.293369,-095.941673
31,055,001100,2724,+41.278172,-095.951726
31,055,001200,3917,+41.278615,-095.940869
31,055,001600,3800,+41.264368,-095.948864
31,055,001800,5209,+41.254646,-095.935174
31,055,001900,1888,+41.254468,-095.944863
31,055,002000,3647,+41.236752,-095.942465
31,055,002100,2387,+41.241941,-095.934261
31,055,002200,1197,+41.246210,-095.926010
31,055,002300,2335,+41.238752,-095.924946
31,055,002400,3928,+41.232027,-095.937687
31,055,002500,2684,+41.222785,-095.936599
31,055,002600,2433,+41.215872,-095.941972
31,055,002700,2667,+41.208657,-095.940139
31,055,002800,3730,+41.198875,-095.939389
31,055,002900,5582,+41.198655,-095.956331
31,055,003000,7656,+41.197978,-095.969829
31,055,003100,4128,+41.216162,-095.969272
31,055,003200,2567,+41.218143,-095.949504
31,055,003300,2356,+41.245146,-095.949303
31,055,003401,3810,+41.232719,-095.970813
31,055,003402,2487,+41.234221,-095.961173
31,055,003500,4490,+41.235439,-095.987157
31,055,003600,4060,+41.244489,-096.002497
31,055,003700,2361,+41.245024,-095.982364
31,055,003800,3891,+41.244322,-095.960239
31,055,003900,2378,+41.250530,-095.954312
31,055,004000,3299,+41.255830,-095.954769
31,055,004200,1412,+41.253334,-095.963800
31,055,004300,3086,+41.255031,-095.969867
31,055,004400,1323,+41.251658,-095.981449
31,055,004500,3175,+41.253671,-095.993941
31,055,004600,2373,+41.254236,-096.008411
31,055,004700,3047,+41.262310,-096.007587
31,055,004800,4315,+41.266319,-095.989617
31,055,004900,4665,+41.266825,-095.978694
31,055,005000,3675,+41.263322,-095.967926
31,055,005100,2406,+41.266769,-095.960138
31,055,005200,1770,+41.276950,-095.962111
31,055,005300,2445,+41.279457,-095.968731
31,055,005400,3349,+41.280711,-095.978166
31,055,005500,5323,+41.277258,-095.995139
31,055,005600,3972,+41.285634,-096.014978
31,055,005700,4422,+41.289577,-096.004351
31,055,005800,4817,+41.289197,-095.988085
31,055,005901,2375,+41.292704,-095.977576
31,055,005902,2431,+41.293724,-095.965778
31,055,006000,4076,+41.302734,-095.973027
31,055,006101,2632,+41.312448,-095.981075
31,055,006102,4267,+41.314781,-095.969577
31,055,006202,4854,+41.323767,-095.962818
31,055,006301,2741,+41.318942,-095.996822
31,055,006302,4752,+41.303958,-096.000087
31,055,006303,3206,+41.296747,-096.004505
31,055,006400,4869,+41.273050,-096.014547
31,055,006503,2707,+41.304443,-096.039481
31,055,006504,3293,+41.292765,-096.037156
31,055,006505,1932,+41.323262,-096.013691
31,055,006506,4035,+41.311080,-096.012864
31,055,006603,2612,+41.281114,-096.032428
31,055,006604,4033,+41.271858,-096.032684
31,055,006605,3201,+41.269560,-096.057172
31,055,006606,2901,+41.269858,-096.047235
31,055,006701,3901,+41.254911,-096.045252
31,055,006703,3046,+41.255743,-096.093171
31,055,006704,1872,+41.255251,-096.069955
31,055,006803,2031,+41.240633,-096.093484
31,055,006804,1636,+41.238814,-096.076194
31,055,006805,3270,+41.242733,-096.054186
31,055,006806,2400,+41.243758,-096.032480
31,055,006903,2532,+41.228618,-096.094772
31,055,006904,4049,+41.228707,-096.071286
31,055,006905,1867,+41.227160,-096.051943
31,055,006906,3228,+41.228649,-096.032377
31,055,007001,5425,+41.235343,-096.014286
31,055,007002,3491,+41.227076,-095.990492
31,055,007003,2477,+41.216262,-095.994778
31,055,007101,3386,+41.208924,-095.993208
31,055,007102,3680,+41.198451,-095.991662
31,055,007303,3037,+41.365305,-095.986429
31,055,007304,1396,+41.338558,-095.991533
31,055,007309,4472,+41.323945,-096.087034
31,055,007310,2809,+41.311016,-096.089275
31,055,007311,3391,+41.314816,-096.077527
31,055,007312,2378,+41.311141,-096.063062
31,055,007314,4932,+41.330195,-096.148704
31,055,007315,5587,+41.319112,-096.120953
31,055,007316,4085,+41.314139,-096.149908
31,055,007317,5227,+41.352150,-096.097028
31,055,007318,9594,+41.335296,-096.171314
31,055,007319,5348,+41.325998,-096.047389
31,055,007320,3693,+41.320466,-096.032422
31,055,007406,5228,+41.241548,-096.129595
31,055,007407,3323,+41.241792,-096.107296
31,055,007408,4398,+41.226473,-096.110394
31,055,007409,2383,+41.229566,-096.128822
31,055,007424,3128,+41.281342,-096.063318
31,055,007429,3331,+41.240540,-096.152163
31,055,007431,4505,+41.299997,-096.128944
31,055,007432,3267,+41.299331,-096.113174
31,055,007433,4273,+41.298430,-096.089836
31,055,007434,3291,+41.296495,-096.076686
31,055,007435,3577,+41.301368,-096.061920
31,055,007436,4548,+41.290146,-096.063745
31,055,007438,2034,+41.282774,-096.130053
31,055,007439,4675,+41.284600,-096.108382
31,055,007440,2409,+41.282411,-096.088200
31,055,007441,2690,+41.271529,-096.164599
31,055,007442,4877,+41.270917,-096.149417
31,055,007443,3420,+41.271896,-096.109998
31,055,007444,4810,+41.272062,-096.088482
31,055,007445,2491,+41.272568,-096.073745
31,055,007446,4067,+41.255815,-096.166719
31,055,007447,2828,+41.256330,-096.152784
31,055,007448,2889,+41.254421,-096.110776
31,055,007449,3243,+41.243064,-096.186327
31,055,007450,3470,+41.240447,-096.170252
31,055,007451,5770,+41.228126,-096.166511
31,055,007452,5089,+41.212984,-096.186843
31,055,007453,3254,+41.209706,-096.168529
31,055,007454,4746,+41.212866,-096.147419
31,055,007455,1975,+41.208637,-096.129608
31,055,007456,2424,+41.208674,-096.109122
