STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
34,001,000100,2334,+39.355476,-074.462894
34,001,000200,2897,+39.347779,-074.461993
34,001,000300,4027,+39.353626,-074.453932
34,001,000400,3243,+39.350958,-074.450681
34,001,000500,3012,+39.356788,-074.447856
34,001,001100,2021,+39.365883,-074.433807
34,001,001200,2834,+39.369229,-074.439191
34,001,001300,1901,+39.373230,-074.451496
34,001,001400,3887,+39.371957,-074.427908
34,001,001500,1912,+39.367401,-074.427655
34,001,001900,1324,+39.365021,-074.412995
34,001,002300,2758,+39.357603,-074.442110
34,001,002400,2420,+39.362263,-074.426875
34,001,002500,3927,+39.368974,-074.417625
34,001,010101,2977,+39.415065,-074.369631
34,001,010102,1341,+39.401888,-074.375015
34,001,010104,1198,+39.390258,-074.391442
34,001,010105,2200,+39.385660,-074.403795
34,001,010200,6606,+39.434588,-074.498298
34,001,010300,2531,+39.420639,-074.510442
34,001,010401,5779,+39.510138,-074.592904
34,001,010403,7313,+39.471073,-074.550152
34,001,010501,7540,+39.496133,-074.466466
34,001,010503,7549,+39.487928,-074.502656
34,001,010505,2986,+39.451742,-074.481395
34,001,010506,5253,+39.456923,-074.515333
34,001,010600,4396,+39.533109,-074.639533
34,001,010700,5816,+39.591513,-074.683173
34,001,010800,3091,+39.650208,-074.801464
34,001,010900,5868,+39.638137,-074.780188
34,001,011000,2645,+39.619625,-074.798617
34,001,011100,3107,+39.636892,-074.816738
34,001,011201,1811,+39.597083,-074.857702
34,001,011202,7033,+39.527199,-074.889447
34,001,011300,4501,+39.521256,-074.945030
34,001,011401,4729,+39.480477,-074.710564
34,001,011403,6325,+39.459609,-074.649363
34,001,011404,9976,+39.437622,-074.666285
34,001,011500,6454,+39.475931,-074.788929
34,001,011600,4753,+39.394033,-074.789570
34,001,011702,3660,+39.416820,-074.558249
34,001,011703,5392,+39.422185,-074.606746
34,001,011704,4737,+39.426354,-074.587513
34,001,011803,5691,+39.376078,-074.570340
34,001,011804,7289,+39.357510,-074.636078
34,001,011805,2268,+39.379540,-074.676561
34,001,011806,7947,+39.371717,-074.605766
34,001,011807,5787,+39.396249,-074.604647
34,001,011808,4135,+39.413015,-074.633662
34,001,011901,3393,+39.397715,-074.525933
34,001,011902,4807,+39.408795,-074.515671
34,001,012000,4444,+39.398723,-074.509094
34,001,012100,3044,+39.383720,-074.526185
34,001,012200,5729,+39.387235,-074.535050
34,001,012302,3322,+39.373162,-074.563102
34,001,012401,2989,+39.373712,-074.545233
34,001,012402,2123,+39.362861,-074.556432
34,001,012501,2290,+39.357423,-074.571629
34,001,012502,1675,+39.339827,-074.583768
34,001,012602,1474,+39.334565,-074.577838
34,001,012701,3326,+39.327626,-074.606205
34,001,012702,1719,+39.315652,-074.613863
34,001,012801,3706,+39.324370,-074.591242
34,001,012802,1718,+39.313039,-074.600206
34,001,013000,3152,+39.335259,-074.503028
34,001,013101,993,+39.328828,-074.509143
34,001,013102,1172,+39.323286,-074.515131
34,001,013201,2224,+39.344858,-074.470095
34,001,013202,2287,+39.348229,-074.481072
34,001,013301,2185,+39.337684,-074.490892
34,001,013302,2514,+39.342963,-074.483349
