STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
35,001,000107,2693,+35.124259,-106.492521
35,001,000108,2685,+35.126960,-106.506032
35,001,000109,2401,+35.127262,-106.524851
35,001,000110,3498,+35.120050,-106.523575
35,001,000111,2820,+35.119746,-106.505640
35,001,000112,1996,+35.109338,-106.493044
35,001,000113,3006,+35.112560,-106.506248
35,001,000114,3074,+35.112675,-106.524416
35,001,000115,3263,+35.105381,-106.525394
35,001,000116,2925,+35.105376,-106.506207
35,001,000117,2317,+35.126614,-106.542535
35,001,000118,2694,+35.127238,-106.558912
35,001,000119,1807,+35.120071,-106.560591
35,001,000120,2781,+35.120251,-106.542931
35,001,000121,5882,+35.109322,-106.542426
35,001,000122,4284,+35.109149,-106.560343
35,001,000123,4953,+35.094808,-106.541606
35,001,000124,3339,+35.098031,-106.560131
35,001,000125,4006,+35.093641,-106.490120
35,001,000126,2785,+35.098173,-106.506427
35,001,000127,2837,+35.097952,-106.523825
35,001,000128,3115,+35.090837,-106.524139
35,001,000129,4252,+35.090354,-106.504788
35,001,000203,2120,+35.128497,-106.577623
35,001,000204,2973,+35.127338,-106.595093
35,001,000205,3261,+35.119934,-106.595088
35,001,000206,2906,+35.120429,-106.578231
35,001,000207,3212,+35.111094,-106.578183
35,001,000208,2690,+35.112657,-106.595374
35,001,000300,5863,+35.098253,-106.613255
35,001,000401,4270,+35.098955,-106.591385
35,001,000402,3548,+35.091171,-106.591233
35,001,000501,2768,+35.079939,-106.581238
35,001,000503,3350,+35.083545,-106.594817
35,001,000504,1287,+35.076157,-106.599298
35,001,000601,3854,+35.092150,-106.568301
35,001,000603,4716,+35.079986,-106.555626
35,001,000605,4119,+35.078799,-106.565849
35,001,000704,4015,+35.081547,-106.516501
35,001,000711,4272,+35.078436,-106.490872
35,001,000712,4189,+35.078723,-106.501508
35,001,000713,5509,+35.064463,-106.507498
35,001,000714,5042,+35.060637,-106.522404
35,001,000715,2151,+35.070455,-106.545682
35,001,000716,4133,+35.077049,-106.541999
35,001,000717,1848,+35.071601,-106.507657
35,001,000718,4500,+35.072702,-106.523466
35,001,000719,3045,+35.048052,-106.514980
35,001,000720,4531,+35.052483,-106.495039
35,001,000904,4215,+35.065042,-106.572822
35,001,000905,2079,+35.069762,-106.582027
35,001,000906,3494,+35.061572,-106.581923
35,001,000907,2461,+35.069602,-106.555165
35,001,000908,4382,+35.068620,-106.564382
35,001,001101,4523,+35.066142,-106.594721
35,001,001102,2902,+35.065379,-106.608179
35,001,001201,3852,+35.066915,-106.618180
35,001,001202,4021,+35.059977,-106.630529
35,001,001300,3989,+35.061476,-106.646315
35,001,001400,2324,+35.075978,-106.654530
35,001,001500,2852,+35.077557,-106.643044
35,001,001701,2012,+35.080305,-106.608794
35,001,001702,2796,+35.077096,-106.618519
35,001,001800,2211,+35.087140,-106.620732
35,001,002000,2487,+35.097434,-106.637797
35,001,002100,2126,+35.083744,-106.650776
35,001,002200,3687,+35.085225,-106.663742
35,001,002301,2024,+35.075502,-106.695621
35,001,002302,3482,+35.079557,-106.683321
35,001,002303,2709,+35.069706,-106.679801
35,001,002401,4933,+35.095434,-106.698313
35,001,002403,3998,+35.086836,-106.705369
35,001,002404,3674,+35.076004,-106.703628
35,001,002700,3671,+35.094952,-106.655828
35,001,002900,3845,+35.113475,-106.646042
35,001,003001,4724,+35.114598,-106.665144
35,001,003002,3850,+35.115283,-106.679843
35,001,003100,2793,+35.134533,-106.668403
35,001,003201,2872,+35.134877,-106.644643
35,001,003202,5631,+35.126437,-106.649615
35,001,003400,4368,+35.122509,-106.609592
35,001,003501,5380,+35.158406,-106.630193
35,001,003502,5112,+35.157474,-106.647151
35,001,003600,6160,+35.192096,-106.620639
35,001,003707,4883,+35.137473,-106.563202
35,001,003712,5021,+35.166820,-106.551301
35,001,003715,4192,+35.153786,-106.535521
35,001,003717,5240,+35.142866,-106.542597
35,001,003718,2540,+35.134084,-106.541636
35,001,003719,5383,+35.134534,-106.515114
35,001,003722,7223,+35.184299,-106.568225
35,001,003723,6743,+35.165209,-106.571269
35,001,003724,3448,+35.151884,-106.565507
35,001,003725,4378,+35.152557,-106.577495
35,001,003726,2397,+35.155142,-106.511316
35,001,003728,4351,+35.141218,-106.525303
35,001,003729,2007,+35.165928,-106.508198
35,001,003730,4745,+35.165912,-106.534677
35,001,003731,3760,+35.182908,-106.512346
35,001,003733,3535,+35.133118,-106.599049
35,001,003736,2589,+35.182928,-106.589426
35,001,003737,2760,+35.146017,-106.504504
35,001,003738,4859,+35.148798,-106.517479
35,001,003739,1873,+35.135341,-106.573145
35,001,003740,4980,+35.138473,-106.582054
35,001,003741,1861,+35.161140,-106.489674
35,001,003742,4587,+35.143549,-106.489646
35,001,003743,6197,+35.181659,-106.549694
35,001,003744,1376,+35.190424,-106.543043
35,001,003745,1361,+35.142379,-106.620532
35,001,003746,4912,+35.161665,-106.611658
35,001,003803,3400,+35.170138,-106.311088
35,001,003804,5497,+35.123382,-106.309884
35,001,003805,2223,+35.115252,-106.403204
35,001,003806,3421,+35.085367,-106.307203
35,001,003807,4369,+34.969286,-106.300586
35,001,004001,5316,+35.007207,-106.658152
35,001,004300,4924,+35.059655,-106.672267
35,001,004401,2928,+35.059329,-106.694343
35,001,004402,3950,+35.038270,-106.700441
35,001,004501,3199,+35.043011,-106.674686
35,001,004502,3290,+35.039691,-106.684947
35,001,004602,4151,+34.968842,-106.704764
35,001,004603,3455,+35.020386,-106.691585
35,001,004604,5202,+35.002906,-106.704141
35,001,004712,6754,+35.062238,-106.748810
35,001,004713,6907,+35.048702,-106.747671
35,001,004715,4526,+34.994931,-106.728373
35,001,004716,2298,+35.205649,-106.650332
35,001,004720,3823,+35.200420,-106.690507
35,001,004722,4896,+35.161177,-106.680040
35,001,004723,6756,+35.172445,-106.687074
35,001,004724,2969,+35.165047,-106.704380
35,001,004725,3458,+35.156012,-106.706412
35,001,004726,2297,+35.145512,-106.718099
35,001,004727,2024,+35.149493,-106.708623
35,001,004728,5010,+35.143245,-106.700576
35,001,004729,4562,+35.126826,-106.696597
35,001,004733,6717,+35.049290,-106.730616
35,001,004734,7094,+35.048043,-106.720531
35,001,004735,2226,+35.049128,-106.713194
35,001,004736,1768,+35.048762,-106.780485
35,001,004737,8660,+35.034027,-106.745930
35,001,004738,6932,+35.032523,-106.728921
35,001,004739,6554,+35.065145,-106.736773
35,001,004742,6119,+35.122465,-106.719618
35,001,004743,4027,+35.094005,-106.739370
35,001,004744,7711,+35.104922,-106.741982
35,001,004745,6425,+35.211459,-106.689913
35,001,004747,4825,+35.200289,-106.717913
35,001,004749,4319,+35.119697,-106.706595
35,001,004750,6347,+35.105517,-106.717972
35,001,004752,3850,+35.186119,-106.675468
35,001,004753,4043,+35.192733,-106.669625
35,001,004754,4554,+35.209835,-106.713888
35,001,004755,3907,+35.215737,-106.712432
35,001,004756,4303,+35.191353,-106.704095
35,001,004757,5035,+35.197766,-106.742591
35,001,004758,4019,+35.197571,-106.732117
35,001,004759,4166,+35.080650,-106.735126
35,001,004760,3839,+35.093483,-106.715717
35,001,004761,2012,+35.066409,-106.718566
35,001,004762,5281,+35.068748,-106.723139
35,001,004763,4807,+35.211225,-106.666868
35,001,004764,3529,+35.201074,-106.666973
35,001,004800,3851,+35.099313,-106.672614
35,001,004900,3506,+35.082432,-106.629831
35,001,940500,2958,+35.185567,-106.499434
35,001,940601,10658,+35.180026,-106.736610
35,001,940602,2099,+35.094233,-107.017021
35,001,940700,2372,+34.910670,-106.702739
35,001,940800,16,+35.014945,-106.960333
35,001,980000,4578,+35.060518,-106.554480
35,001,980300,3,+35.082495,-106.572640
35,001,980500,1297,+35.007689,-106.860340
35,001,980600,7,+35.166880,-106.728652
35,003,976401,1612,+33.650487,-108.786620
35,003,976402,1967,+34.211303,-108.321031
35,005,000201,3501,+33.389324,-104.534272
35,005,000202,3779,+33.388614,-104.550057
35,005,000301,3587,+33.407491,-104.535201
35,005,000302,2668,+33.416457,-104.525101
35,005,000400,4521,+33.404433,-104.504669
35,005,000500,1941,+33.382448,-104.525635
35,005,000600,4510,+33.375547,-104.510819
35,005,000700,4671,+33.362430,-104.526475
35,005,000800,6063,+33.365901,-104.537497
35,005,000900,3185,+33.397531,-104.570213
35,005,001001,5344,+33.436664,-104.512108
35,005,001002,4708,+33.430786,-104.530372
35,005,001101,5390,+33.306466,-104.501322
35,005,001102,3856,+33.419816,-104.580850
35,005,001200,1447,+33.362861,-104.375858
35,005,001300,3430,+33.181967,-104.438638
35,005,001400,2556,+33.077447,-104.354885
35,006,941500,3224,+35.042464,-107.621768
35,006,945800,2588,+34.949968,-108.424660
35,006,946100,4040,+35.050722,-107.411835
35,006,974201,5278,+35.153323,-107.824446
35,006,974202,2784,+35.154219,-107.834189
35,006,974401,949,+35.157755,-107.854716
35,006,974402,2155,+35.179024,-107.894939
35,006,974701,4395,+35.139458,-107.989453
35,006,974702,1759,+35.175274,-107.643001
35,007,950500,4108,+36.899059,-104.421687
35,007,950600,3023,+36.886783,-104.460722
35,007,950700,5256,+36.432452,-104.951127
35,009,000100,4519,+34.405018,-103.227109
35,009,000201,4214,+34.426398,-103.222593
35,009,000202,4086,+34.412367,-103.221993
35,009,000303,4391,+34.413773,-103.177290
35,009,000305,2097,+34.414198,-103.205768
35,009,000306,4132,+34.426568,-103.205737
35,009,000307,2912,+34.440701,-103.186372
35,009,000308,3680,+34.426264,-103.179282
35,009,000400,4086,+34.405481,-103.194668
35,009,000500,2087,+34.386359,-103.201859
35,009,000601,1126,+34.446852,-103.588360
35,009,000602,5196,+34.482108,-103.187991
35,009,000603,3926,+34.384256,-103.174798
35,009,000900,1978,+34.404967,-103.328900
35,011,960100,1698,+34.460693,-104.247994
35,013,000102,3942,+32.332850,-106.767045
35,013,000103,4309,+32.340405,-106.791178
35,013,000104,5359,+32.351365,-106.781464
35,013,000203,2644,+32.326741,-106.802388
35,013,000204,4665,+32.318883,-106.816172
35,013,000205,2877,+32.299055,-106.803580
35,013,000206,2733,+32.300662,-106.791228
35,013,000300,3535,+32.324159,-106.788011
35,013,000401,2443,+32.316705,-106.774380
35,013,000402,5581,+32.321926,-106.764931
35,013,000500,2510,+32.314043,-106.790460
35,013,000600,2659,+32.303451,-106.768997
35,013,000700,6060,+32.303605,-106.751940
35,013,000800,4168,+32.292709,-106.746907
35,013,000901,2593,+32.295182,-106.767163
35,013,000902,4312,+32.287468,-106.759462
35,013,001000,3014,+32.280078,-106.746469
35,013,001102,2624,+32.275362,-106.790978
35,013,001103,3912,+32.257575,-106.771737
35,013,001105,2736,+32.271826,-106.758556
35,013,001106,2701,+32.253122,-106.739395
35,013,001203,4491,+32.309033,-106.735943
35,013,001204,4219,+32.276400,-106.685948
35,013,001205,4368,+32.301848,-106.730238
35,013,001206,3447,+32.333205,-106.748460
35,013,001207,3698,+32.393710,-106.668070
35,013,001208,6713,+32.354726,-106.728645
35,013,001209,2709,+32.332182,-106.738182
35,013,001210,3266,+32.346799,-106.745085
35,013,001308,5842,+32.400396,-106.764445
35,013,001309,2360,+32.451104,-106.875386
35,013,001310,6288,+32.380088,-106.744862
35,013,001311,5932,+32.370122,-106.771438
35,013,001312,1624,+32.357417,-106.764747
35,013,001313,2463,+32.424318,-106.655289
35,013,001314,2191,+32.455856,-106.652669
35,013,001315,3972,+32.408136,-106.691235
35,013,001316,4500,+32.394138,-106.716715
35,013,001317,3735,+32.372048,-106.807158
35,013,001318,3788,+32.370794,-106.831735
35,013,001401,2562,+32.689589,-107.171210
35,013,001402,2306,+32.666711,-107.158647
35,013,001501,4013,+32.305962,-106.888372
35,013,001502,2126,+32.304868,-106.845419
35,013,001600,2615,+32.129863,-106.712617
35,013,001701,10245,+31.864882,-106.646002
35,013,001702,1488,+32.029801,-106.681416
35,013,001703,2897,+31.934907,-106.651617
35,013,001705,2805,+31.810749,-106.579674
35,013,001706,3223,+31.795154,-106.574820
35,013,001707,5479,+31.805448,-106.593360
35,013,001805,3187,+32.004907,-106.591264
35,013,001807,2294,+32.005798,-106.603076
35,013,001808,3515,+32.016655,-106.603253
35,013,001809,2143,+32.018844,-106.402976
35,013,001810,4510,+32.044395,-106.420862
35,013,001811,1936,+32.038202,-106.625474
35,013,001812,4107,+32.073122,-106.620645
35,013,001813,2957,+32.131266,-106.656109
35,013,001814,3240,+32.179924,-106.701558
35,013,001900,930,+32.384882,-106.496050
35,015,000100,1661,+32.428416,-104.225921
35,015,000200,6520,+32.446001,-104.235440
35,015,000300,5829,+32.430629,-104.239108
35,015,000401,3844,+32.421950,-104.265351
35,015,000402,4745,+32.424786,-104.254757
35,015,000500,3573,+32.414562,-104.239544
35,015,000600,8396,+32.386441,-104.220066
35,015,000700,6097,+32.350308,-104.238371
35,015,000800,2223,+32.276694,-104.096120
35,015,000900,5720,+32.836294,-104.423409
35,015,001001,3008,+32.843696,-104.427527
35,015,001002,3338,+32.852732,-104.405576
35,015,001100,7360,+32.831909,-104.411799
35,017,964100,2643,+32.881538,-108.154350
35,017,964200,2133,+32.812824,-108.496500
35,017,964300,5509,+32.791236,-108.273755
35,017,964401,1933,+32.774342,-108.270130
35,017,964402,2807,+32.765091,-108.281292
35,017,964500,2627,+32.778053,-108.164334
35,017,964600,2847,+32.754592,-108.101419
35,017,964701,2942,+32.815434,-108.266982
35,017,964702,3094,+32.747964,-108.248527
35,017,964800,1650,+32.631213,-108.177837
35,019,961600,4452,+34.932588,-104.764455
35,021,000100,657,+35.853043,-103.978557
35,023,970000,1912,+32.216534,-108.845044
35,023,970200,2266,+32.345580,-108.708848
35,025,000100,3013,+32.705045,-103.134964
35,025,000200,3778,+32.693068,-103.145148
35,025,000300,4150,+32.690001,-103.125914
35,025,000400,3593,+32.703154,-103.118195
35,025,000502,8810,+32.723446,-103.118324
35,025,000503,4384,+32.733962,-103.136131
35,025,000504,4210,+32.738667,-103.151835
35,025,000600,6782,+32.717190,-103.143376
35,025,000701,1607,+32.800718,-103.134627
35,025,000702,4996,+32.737547,-103.198208
35,025,000703,3159,+32.777107,-103.163033
35,025,000704,3254,+32.772984,-103.133003
35,025,000800,3329,+32.439837,-103.159743
35,025,000900,2333,+32.114272,-103.199824
35,025,001003,4537,+32.936508,-103.356551
35,025,001004,4001,+32.960855,-103.355580
35,025,001005,3723,+32.950883,-103.353041
35,025,001100,4796,+33.035376,-103.319636
35,027,960200,1726,+33.739527,-105.808657
35,027,960300,3059,+33.539612,-105.584388
35,027,960401,2306,+33.365703,-105.456886
35,027,960402,1161,+33.426352,-105.667393
35,027,960403,3535,+33.369691,-105.605377
35,027,960601,1913,+33.357965,-105.683489
35,027,960602,1898,+33.335710,-105.658614
35,027,960603,2182,+33.370207,-105.658749
35,027,960800,2489,+33.322340,-105.661377
35,028,000100,4256,+35.894111,-106.280097
35,028,000200,5388,+35.894532,-106.320773
35,028,000400,3907,+35.882055,-106.300289
35,028,000500,5868,+35.819233,-106.203611
35,029,000100,5838,+32.254477,-107.735349
35,029,000200,4261,+32.245741,-107.766002
35,029,000300,2305,+32.258836,-107.767411
35,029,000401,3589,+32.097407,-107.727976
35,029,000402,2220,+32.078199,-107.626209
35,029,000500,4228,+32.285829,-107.777170
35,029,000600,2986,+32.271261,-107.753425
35,031,940301,2131,+35.073520,-108.838087
35,031,940302,4002,+35.065951,-108.854371
35,031,940500,1324,+35.083583,-108.789230
35,031,943500,3762,+35.715083,-108.144257
35,031,943601,3576,+35.577686,-108.541350
35,031,943602,2883,+35.532939,-108.401457
35,031,943701,2124,+35.741689,-108.731685
35,031,943702,1818,+35.762028,-108.449343
35,031,943801,2033,+35.901210,-109.030328
35,031,943802,2207,+35.854596,-108.809225
35,031,943803,1775,+35.720226,-108.937899
35,031,943903,2508,+35.460167,-108.677529
35,031,943904,1733,+35.450288,-108.808155
35,031,943905,1231,+35.421683,-108.895219
35,031,943906,2260,+35.615712,-108.793774
35,031,943907,1902,+35.568554,-108.950292
35,031,944000,2009,+35.804597,-107.629985
35,031,945201,3264,+35.511411,-108.776225
35,031,945202,3251,+35.526998,-108.817606
35,031,945300,3271,+35.537936,-108.742715
35,031,945400,2979,+35.521909,-108.741376
35,031,945501,1951,+35.506421,-108.731966
35,031,945502,1665,+35.520825,-108.714603
35,031,945503,2251,+35.522861,-108.727128
35,031,945601,2009,+35.529875,-108.672660
35,031,945602,3707,+35.522908,-108.696135
35,031,945701,1027,+35.296436,-108.747213
35,031,945702,1411,+35.256879,-108.893838
35,031,946001,2510,+35.420478,-108.235782
35,031,946002,1350,+35.353175,-108.102915
35,031,946003,1861,+35.457350,-108.048292
35,031,973100,1110,+35.275636,-108.448114
35,031,980000,7,+35.472784,-108.570541
35,033,955201,2056,+35.996694,-105.371636
35,033,955202,2133,+36.011395,-105.107338
35,035,000100,1618,+32.895696,-105.951786
35,035,000200,1748,+32.904736,-105.951242
35,035,000303,2281,+32.919414,-105.944712
35,035,000304,3454,+32.934149,-105.952117
35,035,000305,3640,+32.910183,-105.946096
35,035,000306,3153,+32.908036,-105.929703
35,035,000401,4927,+32.896788,-105.929775
35,035,000403,3141,+32.861596,-105.955581
35,035,000404,4698,+32.876195,-105.946806
35,035,000501,2882,+32.855712,-105.983690
35,035,000502,1853,+32.900600,-105.983681
35,035,000601,871,+32.820889,-106.086798
35,035,000602,2275,+32.803980,-105.976555
35,035,000603,2435,+32.980388,-105.949740
35,035,000604,2980,+32.834285,-106.076391
