STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
32,001,950100,2464,+39.426395,-118.688116
32,001,950301,4150,+39.473434,-118.770111
32,001,950302,5526,+39.474371,-118.785625
32,001,950400,291,+39.418356,-118.730200
32,001,950500,1527,+39.511597,-118.681674
32,001,950600,5736,+39.502826,-118.839285
32,001,950700,5822,+39.460773,-118.860838
32,003,000101,6669,+36.181819,-115.189665
32,003,000103,5917,+36.162674,-115.233861
32,003,000105,3962,+36.164837,-115.200032
32,003,000106,4527,+36.170033,-115.215471
32,003,000107,4009,+36.162760,-115.215244
32,003,000108,3748,+36.181949,-115.210066
32,003,000109,3591,+36.177763,-115.216919
32,003,000201,4787,+36.182318,-115.171724
32,003,000203,3987,+36.170135,-115.166036
32,003,000204,954,+36.152866,-115.169244
32,003,000301,2996,+36.189273,-115.147837
32,003,000302,5188,+36.187587,-115.158138
32,003,000401,2463,+36.183226,-115.137899
32,003,000402,3265,+36.177149,-115.129885
32,003,000403,2316,+36.170901,-115.129067
32,003,000510,5274,+36.181051,-115.120273
32,003,000513,3666,+36.185135,-115.072695
32,003,000514,5850,+36.176694,-115.089938
32,003,000515,5075,+36.177615,-115.072846
32,003,000516,5795,+36.169415,-115.089578
32,003,000517,5257,+36.170185,-115.071399
32,003,000518,5668,+36.162527,-115.090349
32,003,000519,5155,+36.162545,-115.071678
32,003,000520,1978,+36.171111,-115.121198
32,003,000521,3958,+36.163660,-115.120528
32,003,000522,3206,+36.170731,-115.110789
32,003,000523,2848,+36.162645,-115.111033
32,003,000524,2477,+36.176880,-115.112048
32,003,000525,2862,+36.184916,-115.111590
32,003,000526,2861,+36.184479,-115.103014
32,003,000527,3551,+36.183753,-115.091759
32,003,000528,3117,+36.185939,-115.085341
32,003,000600,2644,+36.162988,-115.129088
32,003,000700,2870,+36.168724,-115.140536
32,003,001003,4211,+36.152896,-115.214273
32,003,001004,6820,+36.151525,-115.198097
32,003,001005,1528,+36.168446,-115.183453
32,003,001006,3932,+36.150415,-115.181453
32,003,001100,2954,+36.148105,-115.158922
32,003,001200,4055,+36.149610,-115.148053
32,003,001300,4624,+36.151401,-115.134576
32,003,001401,3424,+36.155016,-115.120339
32,003,001402,4092,+36.148897,-115.117914
32,003,001501,3395,+36.155791,-115.106989
32,003,001502,4150,+36.151957,-115.096755
32,003,001607,6549,+36.122646,-115.069681
32,003,001608,1990,+36.139281,-115.088090
32,003,001609,4263,+36.151519,-115.087333
32,003,001610,2952,+36.151090,-115.078170
32,003,001611,4791,+36.152975,-115.068666
32,003,001613,4209,+36.133930,-115.074601
32,003,001614,2338,+36.139746,-115.077593
32,003,001615,4763,+36.141217,-115.071487
32,003,001706,3356,+36.119109,-115.104614
32,003,001707,1792,+36.126546,-115.111951
32,003,001708,3433,+36.126076,-115.098967
32,003,001709,1715,+36.121702,-115.088680
32,003,001710,4794,+36.120738,-115.078376
32,003,001711,3440,+36.110079,-115.110290
32,003,001712,4256,+36.105289,-115.107732
32,003,001713,3314,+36.107259,-115.087090
32,003,001714,3502,+36.107712,-115.077617
32,003,001715,2685,+36.103949,-115.068912
32,003,001716,1689,+36.111013,-115.069195
32,003,001717,1542,+36.107599,-115.095715
32,003,001718,3180,+36.103028,-115.059419
32,003,001801,6761,+36.135665,-115.097480
32,003,001803,2889,+36.133695,-115.111243
32,003,001804,3760,+36.140592,-115.112506
32,003,001901,5249,+36.141079,-115.130058
32,003,001902,4231,+36.133455,-115.128188
32,003,002000,4884,+36.139012,-115.146974
32,003,002201,4766,+36.138999,-115.183740
32,003,002203,4585,+36.140500,-115.202668
32,003,002204,4288,+36.138033,-115.194555
32,003,002206,3344,+36.130890,-115.199336
32,003,002207,3866,+36.134785,-115.203465
32,003,002302,757,+36.135643,-115.161630
32,003,002303,1025,+36.137501,-115.156144
32,003,002403,4613,+36.123722,-115.151002
32,003,002404,5826,+36.125724,-115.141982
32,003,002405,4233,+36.118268,-115.149466
32,003,002406,3923,+36.119457,-115.143380
32,003,002501,6110,+36.119370,-115.130556
32,003,002504,3820,+36.104031,-115.129046
32,003,002505,2126,+36.110793,-115.125014
32,003,002506,3544,+36.110523,-115.132178
32,003,002603,3597,+36.111253,-115.143032
32,003,002604,2520,+36.105075,-115.158951
32,003,002605,1380,+36.111448,-115.156991
32,003,002706,3868,+36.098914,-115.128504
32,003,002707,3995,+36.092396,-115.125780
32,003,002708,2754,+36.093374,-115.134812
32,003,002808,2155,+36.061001,-115.105277
32,003,002810,3546,+36.035319,-115.176437
32,003,002811,4138,+36.034198,-115.125729
32,003,002814,5217,+36.017799,-115.126685
32,003,002821,4944,+36.076665,-115.081568
32,003,002822,4038,+36.095953,-115.069590
32,003,002823,3858,+36.096120,-115.108447
32,003,002824,1700,+36.091077,-115.109309
32,003,002825,3324,+36.093597,-115.095876
32,003,002826,3027,+36.094117,-115.086948
32,003,002827,2922,+36.089663,-115.075594
32,003,002828,3583,+36.029986,-115.163886
32,003,002829,3590,+36.035497,-115.149589
32,003,002830,5193,+36.034831,-115.138803
32,003,002831,4246,+36.019862,-115.176454
32,003,002833,5186,+36.024357,-115.145494
32,003,002834,5233,+36.017245,-115.146505
32,003,002835,2787,+36.010018,-115.150035
32,003,002836,2816,+36.009065,-115.141618
32,003,002837,5923,+36.049908,-115.149892
32,003,002838,5492,+36.050844,-115.128680
32,003,002841,5511,+35.996000,-115.163189
32,003,002842,6749,+35.976555,-115.165593
32,003,002844,5925,+36.003280,-115.145736
32,003,002845,6424,+36.002547,-115.130053
32,003,002846,5725,+36.008925,-115.127313
32,003,002847,4041,+36.063275,-115.137772
32,003,002848,3739,+36.060965,-115.128909
32,003,002849,3156,+36.021836,-115.168750
32,003,002850,3850,+36.017059,-115.163312
32,003,002851,6359,+35.994875,-115.141375
32,003,002852,1392,+35.994514,-115.153217
32,003,002853,2883,+35.988040,-115.148497
32,003,002901,5673,+36.037831,-115.228221
32,003,002902,4719,+36.036544,-115.238163
32,003,002905,5378,+36.152604,-115.236601
32,003,002915,5176,+36.153701,-115.272191
32,003,002916,2839,+36.153748,-115.254222
32,003,002919,4528,+36.120332,-115.250408
32,003,002935,1638,+36.120413,-115.220474
32,003,002936,3274,+36.120388,-115.229191
32,003,002937,5084,+36.133597,-115.211832
32,003,002938,1687,+36.137347,-115.218823
32,003,002939,1848,+36.135793,-115.252096
32,003,002940,3784,+36.125666,-115.265417
32,003,002941,5154,+36.106996,-115.248081
32,003,002942,4548,+36.105821,-115.238575
32,003,002944,4700,+36.104751,-115.270593
