STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
36,001,000100,2073,+42.673492,-073.740170
36,001,000201,3125,+42.658454,-073.755611
36,001,000202,2598,+42.663314,-073.751806
36,001,000301,3190,+42.672289,-073.776338
36,001,000302,3496,+42.681891,-073.787647
36,001,000401,2216,+42.704654,-073.868592
36,001,000403,4418,+42.674036,-073.797811
36,001,000404,5194,+42.687193,-073.826151
36,001,000501,3440,+42.670243,-073.782304
36,001,000502,2841,+42.666678,-073.786725
36,001,000600,3500,+42.664094,-073.773687
36,001,000700,4196,+42.666060,-073.763209
36,001,000800,2216,+42.660250,-073.764631
36,001,001100,1826,+42.651239,-073.753724
36,001,001400,3818,+42.655478,-073.765452
36,001,001500,4528,+42.658224,-073.780846
36,001,001600,4290,+42.659254,-073.788571
36,001,001700,4016,+42.661012,-073.798038
36,001,001802,3728,+42.670556,-073.819926
36,001,001803,3232,+42.663261,-073.810469
36,001,001804,3473,+42.650166,-073.819800
36,001,001901,2514,+42.651295,-073.792892
36,001,001902,2566,+42.645539,-073.796097
36,001,002000,5960,+42.639961,-073.781978
36,001,002100,3937,+42.652126,-073.774890
36,001,002200,2299,+42.650603,-073.765533
36,001,002300,2147,+42.644235,-073.760713
36,001,002500,3208,+42.641532,-073.757006
36,001,002600,5179,+42.638069,-073.769662
36,001,012700,3391,+42.771535,-073.687492
36,001,012800,3797,+42.767360,-073.701156
36,001,012900,3931,+42.780646,-073.707898
36,001,013000,7028,+42.776081,-073.718712
36,001,013100,2934,+42.742574,-073.692850
36,001,013200,3380,+42.729081,-073.702639
36,001,013300,4397,+42.731173,-073.709689
36,001,013400,2598,+42.712299,-073.708741
36,001,013503,5284,+42.768109,-073.733578
36,001,013505,2804,+42.739275,-073.749731
36,001,013507,2716,+42.746027,-073.775150
36,001,013509,3692,+42.747571,-073.724036
36,001,013510,3497,+42.748990,-073.746711
36,001,013511,3687,+42.785225,-073.753119
36,001,013512,3858,+42.768257,-073.783132
36,001,013602,4554,+42.688150,-073.734536
36,001,013603,3151,+42.707471,-073.732085
36,001,013604,7198,+42.724806,-073.740839
36,001,013703,2101,+42.746338,-073.825542
36,001,013706,2087,+42.699331,-073.761775
36,001,013707,6066,+42.723573,-073.774875
36,001,013708,3494,+42.709440,-073.792534
36,001,013709,3313,+42.695611,-073.777804
36,001,013802,4487,+42.760279,-073.845897
36,001,013803,3347,+42.757094,-073.878555
36,001,013804,3897,+42.743198,-073.863537
36,001,013901,2396,+42.715640,-073.838831
36,001,013902,5385,+42.724594,-073.828933
36,001,014001,4200,+42.703268,-073.812005
36,001,014002,4376,+42.693942,-073.796003
36,001,014100,5628,+42.648500,-073.839763
36,001,014201,5959,+42.615511,-073.805474
36,001,014202,6064,+42.620781,-073.858340
36,001,014203,6270,+42.611951,-073.835599
36,001,014301,3005,+42.559211,-073.784739
36,001,014303,4874,+42.590733,-073.812633
36,001,014304,3234,+42.565212,-073.833898
36,001,014401,3985,+42.489951,-073.856793
36,001,014402,3271,+42.472954,-073.811939
36,001,014501,2703,+42.642851,-073.935988
36,001,014502,3552,+42.589069,-073.929791
36,001,014503,2841,+42.649785,-073.931484
36,001,014606,3825,+42.741662,-073.954596
36,001,014608,4014,+42.688808,-073.849658
36,001,014609,4829,+42.676857,-073.851800
36,001,014611,2260,+42.698402,-073.933927
36,001,014612,1675,+42.704336,-074.032620
36,001,014613,3132,+42.702798,-073.998695
36,001,014614,5767,+42.686210,-073.883869
36,001,014615,2759,+42.693653,-073.901346
36,001,014616,6214,+42.735495,-073.930877
36,001,014617,2373,+42.723994,-073.905545
36,001,014700,2635,+42.682986,-074.104734
36,001,014801,2689,+42.603792,-074.091204
36,001,014802,1826,+42.468477,-074.163211
36,001,014803,3194,+42.493379,-074.042199
36,003,940200,7,+42.237453,-078.307620
36,003,950100,2270,+42.419018,-077.808547
36,003,950300,4755,+42.455159,-078.165808
36,003,950401,1647,+42.298308,-078.244809
36,003,950402,1960,+42.340797,-078.164178
36,003,950500,3671,+42.201200,-078.254210
36,003,950600,3653,+42.213466,-078.068157
36,003,950700,3575,+42.142709,-077.947444
36,003,950800,6136,+42.262520,-077.795700
36,003,950900,3649,+42.138807,-077.827268
36,003,951000,3116,+42.068839,-077.902100
36,003,951100,3772,+42.106949,-077.994509
36,003,951201,2301,+42.067083,-078.159573
36,003,951202,2475,+42.062789,-078.237660
36,003,951301,1350,+42.345597,-078.093121
36,003,951302,2119,+42.380771,-078.009479
36,005,000100,3772,+40.791709,-073.884503
36,005,000200,4779,+40.811740,-073.859760
36,005,000400,6272,+40.809831,-073.853290
36,005,001600,5795,+40.819555,-073.859196
36,005,001901,2292,+40.806572,-073.927684
36,005,001902,1613,+40.803773,-073.916009
36,005,001903,2,+40.803391,-073.922647
36,005,001904,0,+40.796343,-073.898377
36,005,002001,5007,+40.817177,-073.867675
