STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
39,001,770100,4742,+38.957839,-083.392136
39,001,770200,4714,+38.967037,-083.568221
39,001,770301,3988,+38.867576,-083.535483
39,001,770302,3077,+38.818407,-083.644160
39,001,770400,4685,+38.788627,-083.543844
39,001,770500,3038,+38.780368,-083.363615
39,001,770600,3233,+38.693747,-083.605153
39,003,010100,4126,+40.893759,-083.896069
39,003,010200,3812,+40.856026,-084.009841
39,003,010300,1600,+40.819864,-084.171942
39,003,010600,5128,+40.717623,-084.319221
39,003,010801,4453,+40.777448,-084.193657
39,003,010802,3602,+40.744876,-084.194373
39,003,010900,4545,+40.741519,-084.156214
39,003,011000,5437,+40.772730,-084.132136
39,003,011200,2843,+40.774709,-084.096073
39,003,011301,4538,+40.744287,-084.051088
39,003,011302,2771,+40.793662,-084.048003
39,003,011400,3143,+40.770724,-083.949186
39,003,011500,2757,+40.691749,-083.944706
39,003,011600,2579,+40.694350,-084.048842
39,003,011800,2298,+40.719665,-084.151994
39,003,011900,3089,+40.679479,-084.138318
39,003,012000,2593,+40.705377,-084.168727
39,003,012100,3438,+40.692042,-084.185398
39,003,012200,3338,+40.764847,-084.116845
39,003,012300,3893,+40.752353,-084.115662
39,003,012400,2466,+40.756869,-084.105051
39,003,012600,1742,+40.737510,-084.083342
39,003,012700,1481,+40.734160,-084.094935
39,003,012900,1668,+40.745402,-084.120253
39,003,013000,4005,+40.748138,-084.135376
39,003,013100,2343,+40.738456,-084.141989
39,003,013200,1827,+40.736046,-084.131161
39,003,013300,1352,+40.736566,-084.119311
39,003,013400,2124,+40.729427,-084.109502
39,003,013600,1182,+40.727806,-084.094220
39,003,013700,1095,+40.721083,-084.090778
39,003,013800,2614,+40.714073,-084.098893
39,003,013900,3313,+40.819841,-084.318270
39,003,014000,3316,+40.844395,-084.310514
39,003,014100,1695,+40.743205,-084.104847
39,005,970101,2375,+41.026584,-082.214414
39,005,970102,6168,+40.940660,-082.195047
39,005,970200,5803,+40.978303,-082.341914
39,005,970300,3823,+40.877844,-082.340389
39,005,970400,3614,+40.881057,-082.303788
39,005,970500,2954,+40.864536,-082.311732
39,005,970600,4433,+40.859251,-082.342593
39,005,970700,5493,+40.840531,-082.329946
39,005,970800,4148,+40.858239,-082.289924
39,005,970900,5061,+40.777075,-082.192534
39,005,971000,4750,+40.731350,-082.306460
39,005,971100,3825,+40.629298,-082.243429
39,007,000101,4653,+41.940842,-080.561789
39,007,000102,3130,+41.955852,-080.560003
39,007,000103,3527,+41.942905,-080.565674
39,007,000200,4344,+41.912145,-080.663541
39,007,000300,2093,+41.879314,-080.736426
39,007,000400,1681,+41.892678,-080.787684
39,007,000500,4108,+41.870020,-080.773587
39,007,000601,2582,+41.890556,-080.804137
39,007,000602,3294,+41.889748,-080.816865
39,007,000603,4058,+41.875004,-080.844443
39,007,000701,3036,+41.866698,-080.798382
39,007,000702,2836,+41.821906,-080.857360
39,007,000703,3631,+41.855295,-080.799868
39,007,000704,3793,+41.852673,-080.781807
39,007,000801,1346,+41.852629,-080.938476
39,007,000802,4912,+41.802051,-080.934631
39,007,000900,4477,+41.802289,-080.961744
39,007,001001,5611,+41.651723,-080.887215
39,007,001002,3397,+41.748216,-080.904852
39,007,001101,1852,+41.672936,-080.762415
39,007,001102,6139,+41.747778,-080.774164
39,007,001201,3497,+41.815228,-080.672152
39,007,001202,3327,+41.822475,-080.565817
39,007,001301,3628,+41.562544,-080.595951
39,007,001303,2835,+41.655878,-080.622678
39,007,001304,979,+41.631734,-080.552733
39,007,001401,4119,+41.548960,-080.946905
39,007,001402,4689,+41.544848,-080.819956
39,007,990000,0,+42.101547,-080.770435
39,009,972600,4042,+39.495670,-082.085758
39,009,972700,3633,+39.456966,-082.202378
39,009,972800,3815,+39.438018,-082.233630
39,009,972900,5776,+39.359172,-082.132000
39,009,973000,3707,+39.337430,-082.095069
39,009,973101,4316,+39.328006,-082.106085
39,009,973200,4581,+39.310814,-082.145390
39,009,973300,3926,+39.301940,-082.086274
39,009,973400,3154,+39.373653,-082.094083
39,009,973500,3351,+39.387239,-081.975632
39,009,973600,3795,+39.231357,-081.811945
39,009,973700,3971,+39.242792,-082.051012
39,009,973800,4925,+39.265219,-082.214506
39,009,973901,6193,+39.325134,-082.095863
39,009,973902,3246,+39.330807,-082.096876
39,011,040100,3726,+40.599153,-084.004855
39,011,040200,4241,+40.633285,-084.153761
39,011,040300,3553,+40.568047,-084.185118
39,011,040400,6882,+40.573436,-084.204013
39,011,040500,5162,+40.602349,-084.330171
39,011,040600,3749,+40.531806,-084.379554
39,011,040900,3751,+40.438955,-084.380480
39,011,041000,4011,+40.396639,-084.381785
39,011,041100,4003,+40.513287,-084.208502
39,011,041201,2057,+40.533766,-084.428054
39,011,041202,5287,+40.544217,-084.400016
39,013,010100,3733,+40.100713,-080.752022
39,013,010200,3516,+40.070680,-080.779844
39,013,010300,3401,+40.124235,-080.832579
39,013,010600,3540,+40.138834,-081.030851
39,013,010700,2687,+40.075782,-081.066188
39,013,010802,2162,+40.021569,-081.061440
39,013,010901,1733,+39.992235,-081.104319
39,013,010902,4875,+39.988994,-081.174566
39,013,011000,4770,+39.889333,-080.962675
39,013,011200,3167,+39.964121,-080.877730
39,013,011300,3696,+39.970847,-080.752834
39,013,011400,4292,+40.016755,-080.786645
39,013,011500,1435,+40.010906,-080.753060
39,013,011600,1151,+40.018424,-080.746025
39,013,011700,1285,+40.026864,-080.741570
39,013,011900,2786,+40.091877,-080.733803
39,013,012000,2459,+40.106230,-080.721455
39,013,012100,1128,+40.097266,-080.723915
39,013,012201,1810,+40.027664,-080.900334
39,013,012202,4469,+40.082374,-080.972058
39,013,012300,4078,+40.082589,-080.908225
39,013,012400,4324,+40.075245,-080.881495
39,015,951201,4345,+39.193991,-083.945966
39,015,951202,4818,+39.087209,-083.950389
39,015,951301,5439,+39.020450,-083.926826
39,015,951302,2668,+39.022975,-083.993193
39,015,951400,4234,+38.964984,-083.840281
39,015,951500,5567,+38.917858,-083.759484
39,015,951600,3357,+38.706587,-083.758213
39,015,951700,2380,+38.749862,-083.839922
