STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
40,001,376600,2331,+36.116804,-094.640196
40,001,376700,4654,+35.990933,-094.608317
40,001,376800,3848,+35.814147,-094.720040
40,001,376900,4305,+35.815072,-094.634642
40,001,377000,4357,+35.790543,-094.588986
40,003,955600,1445,+36.801670,-098.301785
40,003,955700,1342,+36.749696,-098.368581
40,003,956000,2912,+36.545519,-098.302050
40,005,587600,1773,+34.519262,-095.987701
40,005,587700,4133,+34.379650,-096.132564
40,005,587800,3981,+34.275686,-096.246110
40,005,587900,4256,+34.253608,-095.970211
40,007,951600,2591,+36.917689,-100.743643
40,007,951700,1063,+36.636053,-100.530885
40,007,951800,1395,+36.812688,-100.524437
40,009,966100,7393,+35.409421,-099.401881
40,009,966200,7078,+35.406218,-099.447707
40,009,966500,1670,+35.239778,-099.871554
40,009,966800,6269,+35.285701,-099.614818
40,011,958600,1400,+36.114399,-098.324152
40,011,958700,1488,+36.066281,-098.569584
40,011,958800,1135,+35.860102,-098.421360
40,011,958900,3030,+35.850293,-098.413838
40,011,959000,1682,+35.614066,-098.420171
40,013,795600,2479,+33.946629,-096.086257
40,013,795700,3527,+34.067130,-096.215285
40,013,795900,1607,+33.800173,-096.376660
40,013,796002,5305,+33.937614,-096.391615
40,013,796003,4525,+34.051350,-096.454582
40,013,796004,1684,+33.981570,-096.538754
40,013,796101,5419,+34.024553,-096.387801
40,013,796102,4827,+34.004789,-096.420129
40,013,796200,4397,+34.006945,-096.381049
40,013,796300,1836,+33.996541,-096.382394
40,013,796400,2550,+33.987256,-096.390642
40,013,796500,2539,+33.997974,-096.352486
40,013,796600,5372,+33.872659,-096.515345
40,015,161601,5284,+35.456979,-098.362315
40,015,161602,2162,+35.352494,-098.323666
40,015,161700,1625,+35.456481,-098.560316
40,015,161800,2626,+35.126454,-098.575039
40,015,161900,1400,+35.117936,-098.431206
40,015,162000,2801,+35.107219,-098.241531
40,015,162101,3000,+35.069325,-098.262715
40,015,162102,3337,+35.071550,-098.236894
40,015,162200,2201,+34.903195,-098.369756
40,015,162300,2509,+34.916896,-098.175499
40,017,300100,2422,+35.523234,-098.206163
40,017,300201,6406,+35.671839,-097.750717
40,017,300202,4347,+35.573788,-097.944672
40,017,300300,3286,+35.530415,-097.945666
40,017,300400,1183,+35.537554,-097.960817
40,017,300500,2958,+35.527552,-097.963694
40,017,300600,3385,+35.514444,-097.961836
40,017,300701,1848,+35.526521,-097.981395
40,017,300702,5034,+35.470539,-097.940363
40,017,300802,3606,+35.586599,-097.726796
40,017,300803,3313,+35.595001,-097.777811
40,017,300804,3769,+35.572770,-097.723136
40,017,300805,7091,+35.621269,-097.711303
40,017,300806,4604,+35.559794,-097.682284
40,017,300901,6764,+35.517700,-097.721820
40,017,300902,2423,+35.499664,-097.728799
40,017,300904,5945,+35.492771,-097.690834
40,017,300905,5998,+35.501908,-097.714458
40,017,301001,1061,+35.475082,-097.716164
40,017,301003,7086,+35.463425,-097.744629
40,017,301006,3313,+35.453173,-097.698029
40,017,301010,3624,+35.428439,-097.719306
