STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
41,001,950100,2844,+44.804806,-118.020358
41,001,950200,3191,+44.775922,-117.843440
41,001,950300,2745,+44.674972,-117.707602
41,001,950400,3088,+44.782497,-117.821515
41,001,950500,2749,+44.804023,-117.831875
41,001,950600,2051,+44.856730,-117.166823
41,003,000101,4344,+44.544463,-123.263315
41,003,000102,3409,+44.533080,-123.258883
41,003,000202,5256,+44.544961,-123.306786
41,003,000401,2968,+44.589060,-123.290541
41,003,000402,5069,+44.596833,-123.283685
41,003,000500,3416,+44.626900,-123.256856
41,003,000600,5215,+44.600337,-123.238034
41,003,000900,5997,+44.581868,-123.297666
41,003,001001,4064,+44.589534,-123.259293
41,003,001002,3243,+44.581992,-123.272775
41,003,001101,3868,+44.573199,-123.278940
41,003,001102,4558,+44.570938,-123.269298
41,003,010101,4015,+44.650676,-123.117741
41,003,010102,7258,+44.667558,-123.135702
41,003,010200,4340,+44.646298,-123.327332
41,003,010300,3243,+44.466534,-123.471405
41,003,010400,3959,+44.351654,-123.315852
41,003,010601,3074,+44.561552,-123.266031
41,003,010602,3767,+44.562335,-123.272749
41,003,010702,4221,+44.564709,-123.283967
41,003,010800,3859,+44.541083,-123.360962
41,003,010900,6041,+44.560064,-123.330252
41,005,020101,2581,+45.429219,-122.693688
41,005,020102,2466,+45.424903,-122.668452
41,005,020201,4135,+45.414989,-122.675786
41,005,020202,2505,+45.415755,-122.706205
41,005,020302,3974,+45.410574,-122.733684
41,005,020303,5388,+45.426079,-122.716376
41,005,020304,5755,+45.426333,-122.732255
41,005,020401,5632,+45.394416,-122.729365
41,005,020403,3927,+45.392988,-122.710542
41,005,020404,3940,+45.403814,-122.691337
41,005,020503,2674,+45.404806,-122.667971
41,005,020504,6695,+45.382997,-122.650261
41,005,020505,3186,+45.394795,-122.644009
41,005,020506,3419,+45.360565,-122.663024
41,005,020507,4166,+45.359229,-122.645447
41,005,020601,3242,+45.370656,-122.621323
41,005,020602,5444,+45.361865,-122.630876
41,005,020700,4116,+45.346681,-122.660585
41,005,020800,4355,+45.443727,-122.636471
41,005,020900,3893,+45.455188,-122.627992
41,005,021000,4642,+45.453666,-122.611187
41,005,021100,5276,+45.442460,-122.610917
41,005,021200,3889,+45.429026,-122.641793
41,005,021300,6128,+45.414634,-122.641285
41,005,021400,5126,+45.422291,-122.624021
41,005,021500,5196,+45.424405,-122.601999
41,005,021601,5983,+45.452692,-122.588896
41,005,021602,5039,+45.439684,-122.589041
41,005,021700,6322,+45.390618,-122.620093
41,005,021801,5775,+45.408803,-122.604532
41,005,021802,4347,+45.400318,-122.613607
41,005,021900,3463,+45.383861,-122.602130
41,005,022000,6921,+45.390306,-122.591535
41,005,022101,6683,+45.406352,-122.580378
41,005,022105,6416,+45.418371,-122.539282
41,005,022107,4193,+45.426797,-122.553810
41,005,022108,3168,+45.404172,-122.552357
41,005,022109,3526,+45.421037,-122.519048
41,005,022110,4847,+45.419652,-122.505363
41,005,022201,5680,+45.444040,-122.573865
41,005,022205,4152,+45.438226,-122.549571
41,005,022206,6830,+45.450638,-122.555577
41,005,022207,6414,+45.435502,-122.524237
41,005,022208,9406,+45.443156,-122.510061
41,005,022301,4953,+45.375693,-122.561060
41,005,022302,6072,+45.349090,-122.559444
41,005,022400,4180,+45.355853,-122.596586
41,005,022501,3286,+45.343733,-122.611696
41,005,022502,4527,+45.343691,-122.594664
41,005,022602,4635,+45.328445,-122.631751
41,005,022603,4074,+45.317715,-122.564012
41,005,022605,7772,+45.324306,-122.590802
41,005,022606,6010,+45.328373,-122.613027
41,005,022702,7223,+45.358013,-122.718018
41,005,022707,8186,+45.311446,-122.794162
41,005,022708,4281,+45.298433,-122.802244
41,005,022710,2899,+45.302025,-122.758378
41,005,022800,4051,+45.280997,-122.755587
41,005,022901,4541,+45.264911,-122.668440
41,005,022904,3850,+45.267611,-122.692750
41,005,022905,4448,+45.274347,-122.695103
41,005,022906,3008,+45.253766,-122.693889
41,005,022907,4144,+45.259664,-122.683193
41,005,023001,3555,+45.309329,-122.535122
41,005,023002,3770,+45.281171,-122.563510
41,005,023100,6431,+45.344928,-122.471248
41,005,023201,4904,+45.436148,-122.453695
41,005,023202,8054,+45.406601,-122.480093
41,005,023300,5294,+45.434668,-122.381878
41,005,023401,4914,+45.426839,-122.306947
