STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
44,001,030100,4801,+41.748641,-071.340371
44,001,030200,3580,+41.746527,-071.320834
44,001,030300,4775,+41.752601,-071.301282
44,001,030400,3997,+41.727590,-071.306127
44,001,030500,3474,+41.731096,-071.280437
44,001,030601,3553,+41.729599,-071.255516
44,001,030602,4120,+41.719531,-071.272701
44,001,030700,3852,+41.672590,-071.272693
44,001,030800,5590,+41.659644,-071.263012
44,001,030901,6085,+41.695050,-071.255369
44,001,030902,6966,+41.692315,-071.278053
44,003,020101,6857,+41.676258,-071.517326
44,003,020102,5048,+41.689931,-071.514576
44,003,020200,5112,+41.701682,-071.521094
44,003,020300,6218,+41.707352,-071.527958
44,003,020400,3263,+41.724251,-071.525928
44,003,020500,4514,+41.722444,-071.499212
44,003,020601,6431,+41.716278,-071.548659
44,003,020602,3512,+41.691590,-071.571535
44,003,020603,6791,+41.673565,-071.558328
44,003,020604,5441,+41.694474,-071.544254
44,003,020701,1894,+41.698520,-071.730590
44,003,020702,4595,+41.692069,-071.650590
44,003,020703,7024,+41.693678,-071.598946
44,003,020800,6528,+41.638631,-071.649368
44,003,020901,3591,+41.656193,-071.456256
44,003,020903,6876,+41.636295,-071.516252
44,003,020904,3845,+41.647514,-071.475652
44,003,021001,2421,+41.759288,-071.412433
44,003,021002,4686,+41.756766,-071.394868
44,003,021100,5380,+41.745611,-071.428458
44,003,021200,3657,+41.746424,-071.413358
44,003,021300,4624,+41.741828,-071.394103
44,003,021401,4063,+41.722369,-071.408776
44,003,021402,3882,+41.725505,-071.396364
44,003,021501,3399,+41.718919,-071.378511
44,003,021502,4212,+41.701663,-071.374697
44,003,021600,1570,+41.684685,-071.382038
44,003,021700,4927,+41.695802,-071.401905
44,003,021800,4075,+41.710185,-071.396327
44,003,021901,3152,+41.706553,-071.441107
44,003,021902,2678,+41.708689,-071.423322
44,003,021903,3888,+41.696021,-071.424859
44,003,022000,3447,+41.688372,-071.445238
44,003,022100,5588,+41.713778,-071.458947
44,003,022201,6679,+41.681970,-071.463498
44,003,022202,3912,+41.686995,-071.487175
44,003,022300,4300,+41.719375,-071.483490
44,003,022400,2283,+41.650778,-071.441574
44,003,980000,0,+41.723531,-071.428922
44,005,040101,4974,+41.630450,-071.237618
44,005,040102,5968,+41.575376,-071.245703
44,005,040104,5056,+41.570768,-071.268804
44,005,040105,1873,+41.608238,-071.268446
44,005,040200,1612,+41.522564,-071.302618
44,005,040302,2615,+41.510621,-071.300374
44,005,040303,3348,+41.543206,-071.298936
44,005,040304,3340,+41.531815,-071.287588
44,005,040400,6160,+41.505348,-071.272601
44,005,040500,4409,+41.507804,-071.310882
44,005,040600,4750,+41.497929,-071.307692
44,005,040700,3210,+41.493739,-071.303721
44,005,040800,2656,+41.481687,-071.305671
44,005,040900,4896,+41.469851,-071.314870
44,005,041000,2029,+41.481064,-071.314008
44,005,041100,1479,+41.496075,-071.319713
44,005,041200,1734,+41.515398,-071.323261
44,005,041300,5559,+41.517728,-071.376295
44,005,041400,3616,+41.522720,-071.160044
44,005,041601,3155,+41.667292,-071.186510
44,005,041602,4654,+41.647088,-071.198951
44,005,041701,3346,+41.642788,-071.154785
44,005,041702,5204,+41.595301,-071.166662
44,005,990000,0,+41.403165,-071.404224
44,007,000101,4571,+41.789141,-071.396534
44,007,000102,5527,+41.786395,-071.410261
44,007,000200,6957,+41.795763,-071.418684
44,007,000301,2613,+41.803641,-071.427527
44,007,000302,4728,+41.803588,-071.422278
44,007,000400,4058,+41.805166,-071.416643
44,007,000500,3287,+41.799293,-071.410661
44,007,000600,2246,+41.808114,-071.409332
44,007,000700,2714,+41.813352,-071.417406
44,007,000800,4646,+41.823757,-071.413497
44,007,000900,2250,+41.823036,-071.427014
44,007,001000,2584,+41.819655,-071.433808
44,007,001100,2602,+41.819932,-071.426503
44,007,001200,3425,+41.813299,-071.426278
44,007,001300,4296,+41.812404,-071.436081
44,007,001400,6949,+41.807162,-071.433907
44,007,001500,2936,+41.790183,-071.428159
44,007,001601,3194,+41.813722,-071.449198
44,007,001602,5619,+41.809691,-071.448932
44,007,001700,4371,+41.808887,-071.457598
44,007,001800,7606,+41.817437,-071.459569
44,007,001900,6247,+41.822251,-071.445762
44,007,002000,6569,+41.831747,-071.461890
44,007,002101,2790,+41.835180,-071.448542
44,007,002102,6445,+41.828059,-071.449654
44,007,002200,5216,+41.829755,-071.439285
44,007,002300,5597,+41.837734,-071.436818
44,007,002400,8281,+41.845239,-071.442206
44,007,002500,4096,+41.831331,-071.425438
44,007,002600,3613,+41.836536,-071.423193
44,007,002700,4725,+41.843927,-071.425678
44,007,002801,3709,+41.851386,-071.439119
44,007,002802,2909,+41.853301,-071.433349
44,007,002900,7508,+41.853712,-071.418731
44,007,003100,4342,+41.837212,-071.406789
44,007,003200,3340,+41.844084,-071.399391
44,007,003300,4285,+41.851737,-071.397037
44,007,003400,4855,+41.840225,-071.390649
44,007,003500,4859,+41.829194,-071.388507
44,007,003601,3243,+41.826546,-071.396899
44,007,003602,7475,+41.827787,-071.404429
44,007,003700,3651,+41.820853,-071.396490
44,007,010101,3874,+41.846186,-071.360605
44,007,010102,3471,+41.841667,-071.349388
44,007,010200,6602,+41.822603,-071.371844
44,007,010300,4152,+41.821859,-071.359048
44,007,010400,6715,+41.811137,-071.375975
44,007,010501,4615,+41.804937,-071.356749
44,007,010502,4978,+41.792090,-071.362383
44,007,010600,6207,+41.766240,-071.360576
44,007,010701,2349,+41.772883,-071.342860
44,007,010702,4176,+41.763630,-071.346621
44,007,010800,5515,+41.886173,-071.389128
44,007,010900,5709,+41.893204,-071.389427
44,007,011000,6389,+41.889797,-071.396549
44,007,011100,4970,+41.886030,-071.400176
44,007,011200,5983,+41.909857,-071.392564
44,007,011301,4982,+41.927118,-071.412401
44,007,011302,4197,+41.931280,-071.392721
44,007,011402,4720,+41.991968,-071.430221
44,007,011403,7348,+41.973311,-071.463180
44,007,011404,4572,+41.962189,-071.391879
44,007,011405,4603,+41.956922,-071.421013
44,007,011500,6742,+41.959438,-071.469410
44,007,011600,6464,+41.908871,-071.456195
44,007,011701,4818,+41.906726,-071.412571
44,007,011702,4505,+41.888042,-071.418502
44,007,011800,7145,+41.868453,-071.427700
44,007,011901,3278,+41.861095,-071.446789
44,007,011902,5030,+41.868337,-071.456019
44,007,012000,6293,+41.853076,-071.461924
44,007,012102,4938,+41.846403,-071.475194
44,007,012103,2987,+41.862686,-071.471937
44,007,012104,4443,+41.862760,-071.483192
44,007,012200,7445,+41.828950,-071.536261
44,007,012300,6806,+41.850105,-071.493705
44,007,012401,7283,+41.827696,-071.481088
44,007,012402,2636,+41.812310,-071.474784
44,007,012500,5398,+41.798644,-071.489458
44,007,012601,4516,+41.913891,-071.534684
44,007,012602,7469,+41.886183,-071.500606
44,007,012701,5563,+41.892206,-071.557244
44,007,012702,4570,+41.868780,-071.554641
44,007,012801,5244,+42.004243,-071.567830
