STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
45,001,950100,3094,+34.408923,-082.330280
45,001,950200,4190,+34.335677,-082.402801
45,001,950300,3189,+34.268428,-082.579271
45,001,950401,3248,+34.186869,-082.397904
45,001,950402,2628,+34.227310,-082.346140
45,001,950500,5298,+34.161619,-082.370701
45,001,950600,2648,+34.106033,-082.578258
45,003,020100,4877,+33.769163,-081.568865
45,003,020200,5910,+33.653908,-081.656351
45,003,020301,2468,+33.664053,-081.796626
45,003,020303,1778,+33.607124,-081.715292
45,003,020304,4757,+33.598161,-081.767781
45,003,020401,7216,+33.566137,-081.839437
45,003,020402,1968,+33.563562,-081.810861
45,003,020500,9244,+33.567042,-081.951473
45,003,020601,3935,+33.549896,-081.900420
45,003,020603,3070,+33.523420,-081.937897
45,003,020604,2717,+33.542127,-081.942778
45,003,020701,5767,+33.522827,-081.966709
45,003,020702,4792,+33.504140,-081.951146
45,003,020801,3158,+33.515309,-081.987068
45,003,020802,5712,+33.494118,-081.971914
45,003,020901,2206,+33.403658,-081.865290
45,003,020903,3673,+33.466635,-081.812577
45,003,020904,3137,+33.452171,-081.879657
45,003,021001,4747,+33.514390,-081.867616
45,003,021003,3131,+33.511564,-081.911536
45,003,021004,1904,+33.497406,-081.908283
45,003,021101,2609,+33.513845,-081.831384
45,003,021102,3580,+33.532526,-081.805408
45,003,021201,6002,+33.519972,-081.754520
45,003,021202,3582,+33.532936,-081.740724
45,003,021204,3075,+33.509437,-081.723342
45,003,021205,6839,+33.487832,-081.726362
45,003,021300,4908,+33.567098,-081.753047
45,003,021401,2149,+33.564767,-081.719442
45,003,021402,3292,+33.574223,-081.721757
45,003,021500,5121,+33.537694,-081.708932
45,003,021601,5530,+33.573646,-081.674247
45,003,021603,2943,+33.527062,-081.679441
45,003,021604,5486,+33.499652,-081.693883
45,003,021700,4410,+33.653334,-081.403558
45,003,021800,2433,+33.599644,-081.319180
45,003,021901,2852,+33.515735,-081.528550
45,003,021902,2946,+33.460026,-081.525536
45,003,022001,4746,+33.441611,-081.656274
45,003,022003,4592,+33.450016,-081.752399
45,003,022004,2495,+33.408368,-081.712112
45,003,022100,3051,+33.342517,-081.799061
45,003,980100,0,+33.308767,-081.689735
45,005,970201,2378,+33.007313,-081.305732
45,005,970202,1620,+33.031460,-081.377201
45,005,970500,4041,+32.977219,-081.248448
45,007,000200,4739,+34.519811,-082.643761
45,007,000300,5415,+34.530269,-082.628311
45,007,000500,2831,+34.489841,-082.604904
45,007,000600,3255,+34.494392,-082.638145
45,007,000701,2600,+34.501770,-082.665071
45,007,000702,1687,+34.489139,-082.655063
45,007,000800,2586,+34.513716,-082.678950
45,007,000900,2883,+34.520226,-082.665332
45,007,001000,2683,+34.540563,-082.679690
45,007,001100,5625,+34.546660,-082.657564
45,007,010103,9518,+34.783947,-082.510556
45,007,010105,2774,+34.776708,-082.478445
45,007,010106,4944,+34.719609,-082.522620
45,007,010107,4092,+34.759645,-082.553166
45,007,010108,5548,+34.727244,-082.585525
45,007,010200,5828,+34.722266,-082.471757
45,007,010300,4240,+34.653663,-082.481544
45,007,010403,3304,+34.614879,-082.474531
45,007,010404,2732,+34.626784,-082.486815
45,007,010405,3728,+34.602758,-082.530285
45,007,010406,3211,+34.571704,-082.495044
45,007,010501,4013,+34.636015,-082.597699
45,007,010502,3733,+34.660870,-082.541506
45,007,010601,3862,+34.663084,-082.652817
45,007,010602,4014,+34.619788,-082.720546
45,007,010701,1952,+34.637219,-082.783949
45,007,010702,4320,+34.650319,-082.766679
45,007,010800,5171,+34.565087,-082.791633
45,007,010900,4504,+34.525756,-082.881160
45,007,011001,5163,+34.500184,-082.778465
45,007,011002,4425,+34.539399,-082.726845
45,007,011100,2658,+34.557941,-082.698131
45,007,011201,5143,+34.581242,-082.644939
