STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
46,003,973600,2747,+43.693726,-098.529708
46,005,956600,1962,+44.394507,-098.059945
46,005,956700,1997,+44.438996,-098.471237
46,005,956800,1867,+44.376769,-098.214988
46,005,956900,3165,+44.360466,-098.214508
46,005,957000,6314,+44.348586,-098.226415
46,005,957100,3844,+44.347965,-098.206073
46,007,941000,1520,+43.174094,-101.726069
46,007,941200,1861,+43.240366,-101.834782
46,009,967600,3432,+43.020167,-097.764426
46,009,967700,3571,+42.914230,-097.951501
46,011,958600,4500,+44.334293,-096.611451
46,011,958700,5366,+44.337753,-096.918781
46,011,958803,5677,+44.284233,-096.803735
46,011,958804,2709,+44.312754,-096.795994
46,011,958805,3849,+44.312003,-096.797529
46,011,958900,6471,+44.312775,-096.777359
46,011,959000,5803,+44.290387,-096.777860
46,013,951300,6006,+45.480909,-098.497865
46,013,951400,7414,+45.477924,-098.466469
46,013,951500,2270,+45.461541,-098.485656
46,013,951600,4587,+45.451910,-098.483768
46,013,951700,4425,+45.448328,-098.505272
46,013,951800,6143,+45.452896,-098.458005
46,013,951900,3380,+45.388123,-098.252788
46,013,952000,4076,+45.632080,-098.398869
46,015,973100,2491,+43.717693,-099.042221
46,015,973200,2756,+43.803331,-099.326355
46,017,940200,1948,+44.059088,-099.371007
46,019,967600,2890,+44.708211,-103.535348
46,019,967701,4379,+44.644421,-103.863073
46,019,967702,2974,+44.669458,-103.847896
46,021,964100,1377,+45.801272,-100.100553
46,023,940200,3366,+43.109656,-098.494411
46,023,940300,3222,+43.069606,-098.268655
46,023,970100,2785,+43.377040,-098.869710
46,025,955800,3837,+44.825614,-097.709207
46,027,965700,6316,+42.781530,-096.921090
46,027,965800,2850,+42.919844,-096.987934
46,027,965900,5801,+42.784335,-096.928766
46,029,954100,3620,+44.936855,-097.044759
46,029,954301,4495,+44.904081,-097.100413
46,029,954302,5403,+44.916522,-097.105994
46,029,954401,2780,+44.894953,-097.098962
46,029,954402,2403,+44.896609,-097.116186
46,029,954501,2298,+44.881541,-097.148165
46,029,954502,4949,+44.907642,-097.168366
46,029,954600,2377,+44.977523,-097.321613
46,031,941000,1662,+45.733546,-101.170146
46,031,941100,2240,+45.776258,-100.720968
46,033,965100,5857,+43.731161,-103.476520
46,033,965200,2461,+43.763474,-103.606158
46,035,962600,2865,+43.654594,-098.118725
46,035,962700,5845,+43.732346,-098.031126
46,035,962801,3063,+43.713042,-098.030426
46,035,962802,3131,+43.710841,-098.007534
46,035,962900,5052,+43.698912,-098.033206
46,037,952700,1575,+45.405001,-097.726550
46,037,952800,1981,+45.336269,-097.520270
46,037,952900,1893,+45.373479,-097.345700
46,039,953600,2931,+44.731797,-096.648589
46,039,953700,1364,+44.753450,-096.687521
46,041,941500,2519,+45.004016,-101.235209
46,041,941700,2720,+45.220792,-100.993809
46,043,969600,2835,+43.377636,-098.369735
46,045,962100,2505,+45.449857,-098.939908
46,045,962200,1481,+45.459449,-099.501969
46,047,964100,3044,+43.329996,-103.559129
46,047,964200,3929,+43.431804,-103.477330
46,049,961100,2125,+45.061037,-099.099318
46,051,953100,5457,+45.233716,-096.627133
46,051,953300,2099,+45.137337,-096.740704
46,053,971100,1929,+43.251586,-099.418498
46,053,971200,2065,+43.119906,-099.150032
46,055,960100,1872,+44.133291,-101.572693
46,057,955100,2798,+44.655751,-096.987187
46,057,955200,3366,+44.638191,-097.282085
46,059,975600,1440,+44.531385,-099.004056
46,059,975700,1705,+44.520477,-098.981071
46,061,964100,3461,+43.656069,-097.771709
46,063,968700,1311,+45.605864,-103.520304
46,065,977700,5783,+44.379081,-100.344865
46,065,977800,5719,+44.367155,-100.316800
46,065,977900,3056,+44.360286,-100.338015
46,065,978000,3207,+44.439028,-100.182140
46,067,968600,3162,+43.328540,-097.510779
46,067,968700,2345,+43.413280,-097.976283
46,067,968800,1920,+43.257685,-097.850270
46,069,976700,1262,+44.519687,-099.455271
46,071,941200,1794,+43.545928,-101.716350
46,071,961100,1012,+43.833597,-101.573709
46,073,974100,1663,+44.091010,-098.537954
46,075,091600,917,+43.895340,-100.695148
46,077,958100,3143,+44.368176,-097.266641
46,077,958200,2044,+44.390835,-097.627419
46,079,960100,2241,+44.051687,-097.152477
46,079,960201,2463,+44.002017,-097.114620
46,079,960202,3872,+44.012831,-097.111635
46,079,960300,2483,+43.937871,-096.998044
46,081,966101,4222,+44.482131,-103.729298
46,081,966102,2250,+44.381085,-103.686008
46,081,966200,3973,+44.492434,-103.856455
46,081,966301,5585,+44.515196,-103.886503
46,081,966303,2678,+44.488368,-103.883390
46,081,966304,2455,+44.467574,-103.808770
46,081,966601,1768,+44.285118,-103.714598
46,081,966602,2837,+44.351321,-103.767109
46,083,010103,6059,+43.495369,-096.807353
46,083,010107,7366,+43.432704,-096.703484
46,083,010109,6129,+43.480739,-096.758187
46,083,010110,6720,+43.479456,-096.774855
46,083,010111,3643,+43.494927,-096.722765
