STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
47,001,020100,3164,+36.001764,-084.268814
47,001,020201,4527,+36.016757,-084.208783
47,001,020202,4650,+36.022001,-084.229001
47,001,020300,4028,+36.042159,-084.226459
47,001,020400,4602,+36.026244,-084.255159
47,001,020500,3837,+36.014278,-084.283281
47,001,020600,2505,+36.001577,-084.307557
47,001,020700,1485,+36.186288,-084.208329
47,001,020800,4632,+36.209239,-084.141930
47,001,020901,6212,+36.202753,-084.030549
47,001,020902,6365,+36.151401,-084.082067
47,001,021001,2722,+36.074429,-084.274759
47,001,021002,3203,+36.029357,-084.308806
47,001,021100,4087,+36.076916,-084.182056
47,001,021201,4890,+36.125043,-084.150377
47,001,021202,5217,+36.104899,-084.130262
47,001,021301,3555,+36.070426,-084.144603
47,001,021303,3933,+36.044825,-084.118755
47,001,021304,3509,+36.019066,-084.120424
47,001,980100,0,+35.964838,-084.255010
47,003,950100,4130,+35.598359,-086.390733
47,003,950201,3368,+35.648295,-086.555817
47,003,950202,3991,+35.586041,-086.570033
47,003,950300,3933,+35.467215,-086.588518
47,003,950401,6422,+35.466433,-086.471760
47,003,950402,7909,+35.508623,-086.481718
47,003,950500,6660,+35.502522,-086.443025
47,003,950600,7814,+35.478091,-086.431631
47,003,950700,3045,+35.522113,-086.333425
47,003,950800,2965,+35.408554,-086.373790
47,005,963000,3194,+36.224325,-088.059317
47,005,963100,2941,+36.092805,-088.069787
47,005,963200,2064,+35.899728,-088.078876
47,005,963300,3822,+36.065946,-088.102257
47,005,963400,3843,+36.023474,-088.124873
47,007,953000,3755,+35.555666,-085.124902
47,007,953101,1687,+35.503120,-085.283742
47,007,953102,3813,+35.633594,-085.166738
47,007,953200,5658,+35.692367,-085.248159
47,009,010100,2888,+35.777063,-083.970195
47,009,010200,7589,+35.789935,-083.993228
47,009,010301,5713,+35.854712,-083.971570
47,009,010302,3588,+35.828381,-084.011222
47,009,010400,3213,+35.828090,-083.934528
47,009,010500,3055,+35.752625,-083.982886
47,009,010600,4485,+35.746503,-083.971691
47,009,010700,4996,+35.765094,-083.949120
47,009,010800,3237,+35.780259,-083.956035
47,009,010900,6481,+35.786060,-083.930579
47,009,011001,6705,+35.758549,-083.922058
47,009,011002,4371,+35.749443,-083.882013
47,009,011101,5341,+35.717358,-083.952551
47,009,011102,9154,+35.719276,-083.982884
47,009,011201,6103,+35.751344,-084.018467
47,009,011202,4181,+35.731327,-084.011122
47,009,011301,6102,+35.841042,-083.823514
47,009,011302,5733,+35.800084,-083.815452
47,009,011401,1815,+35.705567,-083.760869
47,009,011403,2310,+35.701229,-083.898597
47,009,011404,2488,+35.673349,-083.804514
47,009,011501,1730,+35.615650,-084.012119
47,009,011502,4331,+35.632564,-084.106912
47,009,011503,7169,+35.672317,-084.016391
47,009,011603,5005,+35.744816,-084.103843
47,009,011604,3925,+35.780167,-084.053950
47,009,011605,3521,+35.806518,-084.120251
47,009,011606,6045,+35.696092,-084.094043
47,009,011607,3978,+35.717271,-084.040929
47,009,980100,0,+35.809192,-083.996797
47,009,980200,28,+35.605963,-083.788060
47,011,010100,4564,+35.197827,-084.865357
47,011,010201,2813,+35.191893,-084.847610
47,011,010202,3900,+35.177279,-084.851430
47,011,010300,3577,+35.166662,-084.837494
47,011,010400,2847,+35.162888,-084.862702
47,011,010500,3686,+35.166631,-084.873404
47,011,010600,3509,+35.175857,-084.883091
47,011,010700,5105,+35.144139,-084.882568
47,011,010800,3394,+35.143847,-084.865127
47,011,010900,2969,+35.125330,-084.850946
47,011,011000,5914,+35.118660,-084.878535
47,011,011101,6059,+35.158248,-084.787815
47,011,011102,3649,+35.197269,-084.776962
47,011,011201,6643,+35.234072,-084.797316
47,011,011203,4639,+35.253787,-084.827310
47,011,011204,6563,+35.218031,-084.864618
47,011,011301,5061,+35.260037,-084.909598
47,011,011302,2539,+35.139541,-084.969120
47,011,011402,3189,+35.172874,-084.896873
47,011,011403,4303,+35.223348,-084.893161
47,011,011404,4412,+35.196779,-084.914686
47,011,011501,5570,+35.085759,-084.942682
47,011,011502,3738,+35.064801,-084.886580
47,011,011601,5034,+35.119676,-084.788429
47,011,011602,4943,+35.050070,-084.816625
47,013,950100,2972,+36.511140,-084.081108
47,013,950200,2388,+36.580539,-084.135128
47,013,950300,1732,+36.515266,-084.228747
47,013,950400,4644,+36.279224,-084.194645
47,013,950500,5336,+36.329727,-084.190247
47,013,950601,2096,+36.368588,-084.141373
47,013,950602,2373,+36.367593,-084.125343
47,013,950701,1791,+36.391775,-084.093509
47,013,950702,2860,+36.380526,-084.108491
47,013,950800,2367,+36.427505,-083.992290
47,013,950900,2906,+36.396621,-084.030036
47,013,951000,2396,+36.353500,-084.071171
47,013,951100,5411,+36.310736,-084.139664
47,015,960100,4070,+35.878951,-086.063713
47,015,960201,2426,+35.818742,-086.069746
47,015,960202,4532,+35.773667,-086.084035
47,015,960300,3478,+35.726152,-086.034143
47,017,962000,4260,+36.043756,-088.273969
47,017,962101,3373,+36.003533,-088.406234
47,017,962102,3831,+36.008643,-088.433488
47,017,962201,3210,+36.115370,-088.529546
47,017,962202,4583,+36.133512,-088.499728
47,017,962300,4395,+35.986977,-088.616998
47,017,962400,2612,+35.856495,-088.584088
47,017,962500,2176,+35.887537,-088.356917
47,017,980100,0,+35.873026,-088.683649
47,019,070100,2063,+36.351130,-082.216816
47,019,070200,4103,+36.330761,-082.251162
47,019,070300,5747,+36.339053,-082.221870
47,019,070400,2221,+36.344630,-082.197986
47,019,070500,4179,+36.333885,-082.171689
47,019,070600,2480,+36.304246,-082.210854
47,019,070700,3438,+36.279999,-082.275268
47,019,070800,2902,+36.289755,-082.318121
47,019,070900,3583,+36.304329,-082.295432
47,019,071000,2705,+36.326027,-082.298301
47,019,071100,1538,+36.376314,-082.267792
47,019,071200,3806,+36.370915,-082.225453
47,019,071301,3766,+36.395040,-082.088962
47,019,071302,3443,+36.407337,-082.122885
47,019,071400,3314,+36.275162,-082.183194
47,019,071500,2109,+36.215430,-082.193184
47,019,071600,1462,+36.281350,-082.015022
47,019,071700,3497,+36.170911,-082.065973
47,021,070102,4108,+36.238674,-087.067026
47,021,070103,3524,+36.339601,-086.947774
47,021,070104,5896,+36.279606,-086.999302
47,021,070201,4807,+36.388243,-087.039963
47,021,070202,5587,+36.353160,-087.096019
47,021,070203,3763,+36.393410,-087.156078
47,021,070300,3854,+36.280018,-087.057090
47,021,070401,2473,+36.142391,-087.081676
47,021,070402,7060,+36.085875,-087.110917
47,023,970101,2630,+35.505751,-088.590484
47,023,970102,3596,+35.440549,-088.497931
47,023,970200,5487,+35.444653,-088.640456
47,023,970301,1659,+35.345483,-088.676730
47,023,970302,3969,+35.421432,-088.709065
47,025,970100,2685,+36.569618,-083.570905
47,025,970200,2709,+36.585194,-083.642131
47,025,970300,4341,+36.540649,-083.688179
47,025,970400,783,+36.568630,-083.941877
47,025,970500,2721,+36.479953,-083.823820
47,025,970600,4584,+36.408579,-083.685003
47,025,970700,5788,+36.464657,-083.606540
47,025,970800,3880,+36.496887,-083.547192
47,025,970900,4552,+36.429761,-083.547062
47,027,955000,4910,+36.544098,-085.483573
47,027,955100,2671,+36.568875,-085.708773
47,029,920100,3974,+36.070120,-083.161249
47,029,920200,6063,+35.983854,-083.196138
47,029,920300,4043,+35.999694,-083.069362
47,029,920400,1803,+35.884104,-083.009232
47,029,920501,6227,+35.947357,-083.238874
47,029,920502,5215,+35.897502,-083.184685
47,029,920600,4369,+35.948449,-083.190772
47,029,920700,4294,+35.818738,-083.198276
47,029,980100,11,+35.748700,-083.246270
47,031,970100,3877,+35.547565,-085.985336
47,031,970201,3482,+35.614912,-086.104600
47,031,970202,3977,+35.536994,-086.114034
47,031,970300,2028,+35.606467,-086.195875
47,031,970401,1793,+35.499116,-086.187862
47,031,970402,5234,+35.470759,-086.102754
47,031,970501,1242,+35.473639,-086.076587
47,031,970502,5583,+35.458200,-086.073473
47,031,970600,4445,+35.496177,-086.058989
47,031,970700,4586,+35.394478,-085.975366
47,031,970801,4249,+35.377323,-086.202781
47,031,970803,2880,+35.412151,-086.172958
47,031,970804,3635,+35.395149,-086.221282
47,031,970900,4519,+35.361569,-086.194695
47,031,971001,1159,+35.376142,-086.236524
47,031,971002,5197,+35.355533,-086.231734
47,031,980100,3,+35.428461,-086.091469
47,033,961000,2174,+35.780544,-088.992729
47,033,961100,4078,+35.790228,-089.120766
47,033,961200,1652,+35.901443,-089.209819
47,033,961300,2154,+35.818336,-089.257400
47,033,961400,3853,+35.722599,-089.075867
47,035,970101,4659,+36.025409,-084.879732
47,035,970103,3106,+35.993118,-084.915153
47,035,970104,3213,+35.984625,-084.884981
47,035,970201,4412,+36.027092,-085.014035
47,035,970202,1948,+36.108646,-085.038663
47,035,970301,3426,+36.062644,-085.126874
47,035,970302,4526,+35.992337,-085.195275
47,035,970401,4568,+35.963045,-085.022948
47,035,970402,2170,+35.976066,-085.078712
47,035,970501,2624,+35.935723,-084.991984
47,035,970502,4178,+35.937812,-085.034368
47,035,970601,5249,+35.936217,-085.066604
47,035,970602,3983,+35.881615,-085.041891
47,035,970603,2085,+35.892873,-084.963746
47,035,970701,2267,+35.870160,-085.072394
47,035,970702,4744,+35.826845,-085.101163
47,035,970800,3987,+35.880464,-084.834879
47,037,010103,2459,+36.348512,-086.865301
47,037,010104,3213,+36.299950,-086.886192
47,037,010105,4478,+36.232586,-086.844133
47,037,010106,3042,+36.242131,-086.803067
47,037,010201,4200,+36.285539,-086.765911
47,037,010202,4158,+36.347176,-086.760932
47,037,010301,3895,+36.315303,-086.726234
47,037,010302,1817,+36.310046,-086.712862
47,037,010303,5746,+36.308215,-086.702254
47,037,010401,5293,+36.288203,-086.695493
47,037,010403,3613,+36.267313,-086.691406
47,037,010404,2410,+36.269486,-086.702010
47,037,010501,5593,+36.262254,-086.655513
47,037,010502,5279,+36.232402,-086.633686
47,037,010601,5366,+36.243006,-086.669662
47,037,010602,3544,+36.254153,-086.680898
47,037,010701,4281,+36.256321,-086.704359
47,037,010702,3391,+36.244517,-086.715824
47,037,010801,5703,+36.276187,-086.720662
47,037,010802,3330,+36.251237,-086.729237
47,037,010901,3305,+36.263980,-086.756753
47,037,010903,5858,+36.250041,-086.768689
47,037,010904,2931,+36.235790,-086.773176
47,037,011001,6579,+36.218245,-086.762913
47,037,011002,2632,+36.226887,-086.739634
47,037,011100,3961,+36.223614,-086.720624
47,037,011200,4337,+36.211211,-086.728988
47,037,011300,5113,+36.201259,-086.763224
47,037,011400,5032,+36.198008,-086.733599
47,037,011500,3819,+36.203566,-086.710369
47,037,011600,5257,+36.185405,-086.716269
47,037,011700,6055,+36.189529,-086.743073
47,037,011800,2577,+36.186104,-086.764620
47,037,011900,2982,+36.179538,-086.758277
47,037,012100,2649,+36.180443,-086.738967
47,037,012200,2187,+36.170763,-086.741264
47,037,012600,2005,+36.185707,-086.771108
47,037,012701,5963,+36.220562,-086.798773
47,037,012702,3323,+36.206846,-086.794867
47,037,012801,4944,+36.208305,-086.833426
47,037,012802,4148,+36.187374,-086.845903
47,037,013001,252,+36.167796,-086.856901
47,037,013002,1398,+36.185769,-086.904321
47,037,013100,2322,+36.222137,-086.901689
47,037,013201,3092,+36.150766,-086.883357
47,037,013202,3472,+36.156940,-086.870206
47,037,013300,5165,+36.160737,-086.852714
47,037,013400,4460,+36.145213,-086.840551
47,037,013500,2398,+36.149779,-086.829801
47,037,013600,6488,+36.164875,-086.827185
47,037,013701,3637,+36.184282,-086.812662
47,037,013702,3186,+36.190510,-086.806124
47,037,013800,1464,+36.175933,-086.814651
47,037,013900,1662,+36.176227,-086.806074
47,037,014200,2418,+36.166731,-086.803808
47,037,014300,1767,+36.161559,-086.815815
47,037,014400,2577,+36.157765,-086.805911
47,037,014800,1382,+36.151452,-086.764123
47,037,015100,4119,+36.158786,-086.677221
47,037,015200,2588,+36.172951,-086.691029
47,037,015300,5962,+36.214209,-086.687814
47,037,015401,5493,+36.225027,-086.600155
47,037,015402,4934,+36.197890,-086.635766
