STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
49,001,100100,4426,+38.280590,-112.633628
49,001,100200,2646,+38.327337,-112.978318
49,003,960100,3498,+41.807980,-112.425961
49,003,960200,8037,+41.734328,-112.123063
49,003,960301,4500,+41.709816,-112.155021
49,003,960302,5746,+41.710585,-112.181054
49,003,960400,5350,+41.621077,-112.167066
49,003,960500,5311,+41.521734,-112.023602
49,003,960601,3695,+41.516544,-112.008483
49,003,960602,2620,+41.521646,-112.003382
49,003,960701,5379,+41.495513,-112.024698
49,003,960702,2893,+41.497793,-112.009192
49,003,960801,5166,+41.414670,-112.015179
49,003,960802,5471,+41.466594,-112.031147
49,005,000101,5201,+41.940066,-111.821453
49,005,000102,1682,+41.940102,-111.989418
49,005,000201,4273,+41.839116,-111.842942
49,005,000202,10042,+41.833667,-111.819544
49,005,000301,2312,+41.855698,-111.953459
49,005,000302,5869,+41.714552,-111.876157
49,005,000401,4947,+41.768353,-111.822335
49,005,000402,4567,+41.782695,-111.794628
49,005,000403,6530,+41.792341,-111.818116
49,005,000501,5247,+41.742672,-111.842757
49,005,000502,6714,+41.758231,-111.843206
49,005,000601,4277,+41.747656,-111.818751
49,005,000602,4107,+41.753457,-111.820542
49,005,000701,4947,+41.752370,-111.797104
49,005,000702,3480,+41.746672,-111.809883
49,005,000800,4737,+41.739378,-111.824953
49,005,000900,3206,+41.731046,-111.822675
49,005,001001,2882,+41.721677,-111.854272
49,005,001002,4626,+41.724841,-111.842580
49,005,001101,5816,+41.709977,-111.820548
49,005,001102,5246,+41.727347,-111.809951
49,005,001201,6226,+41.688693,-111.815956
49,005,001202,7230,+41.678225,-111.852338
49,005,001300,7159,+41.661653,-111.948691
49,005,001401,5392,+41.630386,-111.831040
49,005,001402,4149,+41.635103,-111.866206
49,005,001500,2175,+41.571693,-111.834821
49,005,980100,115,+41.669812,-111.780287
49,007,000100,3236,+39.579214,-110.755602
49,007,000200,4211,+39.613086,-110.819381
49,007,000300,4202,+39.599469,-110.800851
49,007,000500,4010,+39.642510,-110.856117
49,007,000600,4753,+39.577667,-110.668717
49,009,960100,935,+40.967095,-109.647096
49,011,125102,4290,+41.046788,-111.905140
49,011,125103,7390,+41.122226,-111.944538
49,011,125104,6064,+41.118309,-111.919482
49,011,125201,3548,+41.109410,-112.001644
49,011,125301,5386,+41.140322,-112.031495
49,011,125304,5606,+41.146064,-112.046806
49,011,125305,6449,+41.132929,-112.045491
49,011,125306,4335,+41.145399,-112.073980
49,011,125307,8734,+41.136578,-112.086272
49,011,125407,8219,+41.110175,-112.078782
49,011,125408,6670,+41.103239,-112.104300
49,011,125409,5271,+41.084175,-112.059323
49,011,125410,4223,+41.075043,-112.056705
49,011,125411,6523,+41.070749,-112.063742
49,011,125412,2918,+41.081032,-112.030958
49,011,125413,6232,+41.072467,-112.037353
49,011,125414,5271,+41.081241,-112.013694
49,011,125415,5093,+41.076257,-112.020384
49,011,125501,6741,+41.117017,-112.054229
49,011,125502,5555,+41.118399,-112.034503
49,011,125503,5657,+41.096721,-112.054838
49,011,125600,239,+41.093148,-112.033448
49,011,125701,4972,+41.097492,-112.010258
49,011,125702,3943,+41.112229,-112.016916
49,011,125801,7086,+41.081887,-111.993790
49,011,125804,6480,+41.096188,-111.931480
49,011,125805,6377,+41.082159,-111.968683
49,011,125807,3675,+41.095162,-111.968334
49,011,125809,4513,+41.099645,-111.981719
49,011,125810,2875,+41.095744,-111.989566
49,011,125905,6701,+41.068263,-111.944960
49,011,125906,7987,+41.056129,-111.941272
49,011,125907,2596,+41.083909,-111.941215
49,011,125908,5201,+41.081537,-111.929727
49,011,126001,5835,+41.063783,-111.968600
49,011,126002,7994,+41.054503,-111.987143
49,011,126101,6670,+41.046136,-111.931138
49,011,126105,6436,+41.015090,-111.930032
49,011,126106,4590,+41.019595,-111.947590
49,011,126107,3889,+41.042290,-111.981298
49,011,126108,6625,+41.024307,-111.966650
49,011,126203,4517,+41.004626,-111.898477
49,011,126204,5304,+40.976161,-111.884464
49,011,126205,6615,+40.997252,-111.918759
49,011,126206,7040,+40.979235,-111.919316
49,011,126303,4723,+40.947095,-111.880264
49,011,126304,6955,+40.929521,-111.891352
49,011,126305,2556,+40.915806,-111.868916
49,011,126306,7585,+40.917952,-111.881104
49,011,126402,3606,+40.874379,-111.847278
49,011,126404,8413,+40.835373,-111.897019
49,011,126405,3779,+40.847279,-111.882872
49,011,126406,4770,+40.848982,-111.898566
49,011,126500,6551,+40.894304,-111.863983
49,011,126600,5502,+40.900031,-111.882317
49,011,126700,4218,+40.889559,-111.882661
49,011,126801,3534,+40.877164,-111.861770
49,011,126802,5052,+40.865278,-111.862851
49,011,126901,6123,+40.876949,-111.883824
49,011,126902,7142,+40.862897,-111.884545
49,011,127002,8272,+40.851811,-111.926241
49,011,127003,8446,+40.880040,-111.921231
49,011,127005,3899,+40.871186,-111.919332
49,011,127006,4130,+40.874213,-111.903409
49,011,127100,8538,+41.030577,-111.925846
49,011,980000,550,+41.114437,-111.985378
49,013,940300,3994,+40.216433,-110.525124
49,013,940501,2888,+40.300293,-109.985610
49,013,940502,5619,+40.300680,-110.011105
49,013,940600,7095,+40.317268,-110.149615
49,015,976200,3844,+39.347792,-110.913735
49,015,976300,2903,+39.225807,-111.036226
49,015,976500,3078,+39.047197,-110.850109
49,017,000300,2342,+37.802610,-112.441008
49,017,000400,2741,+37.733679,-111.809762
49,019,000200,4676,+38.574629,-109.550788
49,019,000301,2470,+38.533468,-109.494348
49,019,000302,2523,+38.593566,-109.521384
