STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
51,001,090101,1799,+37.932981,-075.360840
51,001,090102,1545,+37.922945,-075.382460
51,001,090201,3990,+37.974217,-075.453185
51,001,090202,3046,+37.926863,-075.533091
51,001,090300,2093,+37.872350,-075.623229
51,001,090401,2455,+37.822040,-075.581948
51,001,090402,3281,+37.741100,-075.639246
51,001,090500,2721,+37.775645,-075.666466
51,001,090600,3900,+37.728693,-075.781040
51,001,090700,5220,+37.639622,-075.782584
51,001,090800,3362,+37.589653,-075.766489
51,001,980100,1,+37.922038,-075.333544
51,001,980200,0,+37.900687,-075.452709
51,001,990100,0,+37.595224,-075.541242
51,001,990200,0,+37.731332,-076.047814
51,003,010100,5147,+38.166037,-078.595449
51,003,010201,5550,+38.166938,-078.428100
51,003,010202,3238,+38.120642,-078.508035
51,003,010301,1939,+38.132312,-078.445127
51,003,010302,1450,+38.103844,-078.440324
51,003,010303,5685,+38.121073,-078.432339
51,003,010401,4201,+38.076351,-078.343383
51,003,010402,3605,+37.991121,-078.382652
51,003,010501,3004,+38.046790,-078.432087
51,003,010502,3371,+38.031685,-078.444245
51,003,010602,4409,+38.062139,-078.459179
51,003,010603,2391,+38.072407,-078.473294
51,003,010604,4029,+38.083803,-078.461363
51,003,010701,2862,+38.071049,-078.493341
51,003,010702,3763,+38.079439,-078.487467
51,003,010801,3598,+38.063565,-078.504569
51,003,010802,2404,+38.073040,-078.508342
51,003,010901,1746,+38.049075,-078.514559
51,003,010904,6163,+38.035917,-078.513763
51,003,011000,6612,+38.060876,-078.586321
51,003,011101,2884,+38.071019,-078.683632
51,003,011102,3286,+38.061302,-078.688125
51,003,011103,4608,+38.063120,-078.713331
51,003,011201,4208,+38.010974,-078.732145
51,003,011202,4043,+37.991608,-078.572223
51,003,011301,5127,+37.933373,-078.491558
51,003,011302,5151,+38.006862,-078.521357
51,003,011303,3791,+38.002423,-078.496618
51,003,011400,4130,+37.824950,-078.593860
51,005,070100,3662,+37.819937,-079.821473
51,005,080100,3198,+37.815107,-079.799253
51,005,080201,2790,+37.838620,-079.952401
51,005,080202,2381,+37.721846,-080.025038
51,005,080301,1854,+37.849132,-080.048656
51,005,080302,1338,+37.727756,-080.157258
51,007,930101,2634,+37.346674,-078.118598
51,007,930102,4475,+37.406087,-077.963356
51,007,930200,6156,+37.292357,-077.919867
51,009,010100,5103,+37.640680,-079.122708
51,009,010201,4398,+37.579349,-079.074899
51,009,010202,2223,+37.550829,-079.000328
51,009,010300,3638,+37.506992,-079.176757
51,009,010401,3356,+37.497174,-079.100236
51,009,010402,3089,+37.475095,-079.110942
51,009,010504,4183,+37.444711,-079.105479
51,009,010505,1045,+37.417856,-079.127480
51,009,010506,1585,+37.446296,-079.130650
51,009,010600,2687,+37.453629,-079.067076
51,011,040101,3683,+37.330855,-078.859983
51,011,040102,3524,+37.371301,-078.836817
51,011,040200,4535,+37.427012,-078.893120
51,011,040300,4377,+37.306694,-078.759835
51,013,100100,5125,+38.895751,-077.156973
