STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
50,001,960100,3835,+44.230320,-073.081227
50,001,960200,2646,+44.214032,-073.248562
50,001,960300,2553,+44.164336,-073.251201
50,001,960400,4954,+44.092858,-073.246976
50,001,960500,3782,+44.132984,-073.082945
50,001,960600,2894,+44.023814,-072.962254
50,001,960700,4004,+44.007024,-073.128806
50,001,960800,5148,+44.008599,-073.172233
50,001,960900,5336,+43.908798,-073.282934
50,001,961000,2211,+43.898368,-073.102949
50,003,970401,2803,+43.167620,-073.060118
50,003,970402,1681,+43.188441,-073.033527
50,003,970500,1890,+43.195377,-072.906777
50,003,970601,2053,+42.804320,-073.032583
50,003,970800,3598,+42.962873,-073.213115
50,003,970900,2239,+42.904710,-073.191663
50,003,971000,3540,+42.906622,-073.238644
50,003,971100,4596,+42.870542,-073.183990
50,003,971200,4958,+42.881719,-073.193165
50,003,971300,3258,+42.790725,-073.219947
50,003,971400,2831,+43.254652,-073.088477
50,003,971600,3900,+43.085053,-073.158702
50,005,957000,4102,+44.591318,-072.107943
50,005,957100,2226,+44.589528,-071.942385
50,005,957200,2558,+44.534562,-071.985042
50,005,957300,2933,+44.545430,-072.021679
50,005,957400,3709,+44.428244,-072.025423
50,005,957500,3655,+44.439339,-072.000324
50,005,957600,2335,+44.425587,-072.133390
50,005,957700,2920,+44.512301,-072.349233
50,005,957800,2864,+44.244337,-072.165832
50,005,957900,2931,+44.346205,-072.023563
50,007,000100,4573,+44.514447,-073.248290
50,007,000200,6101,+44.509741,-073.257780
50,007,000300,5259,+44.487146,-073.214168
50,007,000600,4306,+44.483760,-073.194861
50,007,000800,2595,+44.462925,-073.209436
50,007,000900,2742,+44.471771,-073.208928
50,007,001000,2906,+44.472671,-073.215976
50,007,001100,2486,+44.451348,-073.217546
50,007,002101,2789,+44.660149,-073.151389
50,007,002103,4156,+44.626791,-073.105432
50,007,002104,3778,+44.622636,-073.139202
50,007,002201,3062,+44.501062,-073.161965
50,007,002202,4967,+44.538250,-073.157974
50,007,002301,1369,+44.591975,-073.191346
50,007,002303,5215,+44.544243,-073.257612
50,007,002304,2895,+44.530320,-073.205407
50,007,002400,3441,+44.496305,-073.191966
50,007,002501,2252,+44.495804,-073.179795
50,007,002502,2320,+44.490744,-073.184762
50,007,002601,6049,+44.493203,-073.120447
50,007,002602,4563,+44.490425,-073.099032
50,007,002701,6231,+44.509754,-073.094743
50,007,002702,5251,+44.506210,-073.046899
50,007,002800,5104,+44.493059,-072.975440
50,007,002900,6492,+44.538818,-072.934671
50,007,003000,4167,+44.400364,-072.994622
50,007,003101,8002,+44.454154,-073.093659
50,007,003102,2101,+44.416591,-073.096795
50,007,003301,4851,+44.430111,-073.172235
50,007,003304,5983,+44.439268,-073.205027
50,007,003401,5343,+44.388445,-073.208587
50,007,003402,2374,+44.389972,-073.234189
50,007,003501,3912,+44.308817,-073.226126
50,007,003502,5492,+44.339633,-073.095811
50,007,003503,1963,+44.310353,-072.974607
50,007,003600,4703,+44.459034,-073.176692
50,007,003900,7343,+44.472432,-073.197293
50,007,004002,4755,+44.467673,-073.162627
50,007,004100,2231,+44.478631,-073.206659
50,007,004200,4201,+44.482557,-073.212678
50,007,980000,0,+44.472179,-073.151558
50,009,950100,1693,+44.899725,-071.596334
50,009,950200,1157,+44.807722,-071.883589
50,009,950500,3070,+44.479225,-071.768127
50,011,010101,3472,+44.949011,-073.047448
50,011,010102,3499,+44.930286,-072.930386
50,011,010200,4357,+44.919223,-072.772237
50,011,010300,3530,+44.951652,-072.641315
50,011,010400,3317,+44.802637,-072.885468
50,011,010500,6701,+44.905455,-073.112224
50,011,010600,6988,+44.810334,-073.101151
50,011,010700,3523,+44.811816,-073.090799
50,011,010800,3354,+44.810636,-073.079351
50,011,010900,4845,+44.717378,-073.127341
50,011,011000,6360,+44.693261,-072.989334
50,013,020100,3533,+44.917196,-073.289161
50,013,020200,3760,+44.682604,-073.307674
50,015,953000,2382,+44.721850,-072.626032
50,015,953100,3839,+44.640915,-072.837345
