STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
53,001,950100,2579,+47.138192,-118.411457
53,001,950200,1804,+46.932325,-118.604435
53,001,950301,1759,+46.790508,-119.114125
53,001,950302,2599,+46.831127,-119.212166
53,001,950303,3067,+46.792182,-119.218219
53,001,950400,2859,+46.829041,-119.165256
53,001,950500,5946,+46.817544,-119.164031
53,003,960100,4392,+46.326993,-117.080903
53,003,960200,4781,+46.393516,-117.087248
53,003,960300,3614,+46.416772,-117.050372
53,003,960400,2272,+46.412245,-117.066565
53,003,960500,3476,+46.406578,-117.050053
53,003,960600,3750,+46.395185,-117.061919
53,005,010100,4684,+46.310220,-119.269140
53,005,010201,6203,+46.312125,-119.308926
53,005,010203,3975,+46.316298,-119.278228
53,005,010204,3236,+46.298959,-119.279478
53,005,010300,5643,+46.274837,-119.301685
53,005,010400,3731,+46.281708,-119.293811
53,005,010500,3154,+46.288203,-119.284640
53,005,010600,4551,+46.265457,-119.273780
53,005,010701,2184,+46.280501,-119.433394
53,005,010703,3697,+46.316119,-119.376748
53,005,010705,5535,+46.275517,-119.346472
53,005,010707,3687,+46.275506,-119.363051
53,005,010708,4532,+46.292912,-119.357978
53,005,010807,1558,+46.240050,-119.386179
53,005,010809,6792,+46.220629,-119.237427
53,005,010810,5430,+46.215049,-119.258224
53,005,010811,5530,+46.218956,-119.302790
53,005,010814,5129,+46.182823,-119.312576
53,005,010815,9675,+46.190579,-119.212854
53,005,010816,5525,+46.204762,-119.222067
53,005,010817,6613,+46.230405,-119.283226
53,005,010818,3358,+46.254104,-119.321020
53,005,010819,3431,+46.239519,-119.272728
53,005,010820,3916,+46.233381,-119.249347
53,005,010901,6025,+46.221605,-119.196031
53,005,010902,5620,+46.208191,-119.191726
53,005,011001,5482,+46.217225,-119.168493
53,005,011002,5038,+46.204980,-119.169321
53,005,011100,7838,+46.196395,-119.148284
53,005,011201,4564,+46.205530,-119.138845
53,005,011202,3168,+46.200743,-119.130582
53,005,011300,4925,+46.205386,-119.114568
53,005,011401,4317,+46.195051,-119.122578
53,005,011402,5492,+46.181834,-119.120656
53,005,011501,6971,+46.170230,-119.053613
53,005,011504,3367,+46.164026,-119.112598
53,005,011505,4534,+46.186527,-119.169499
53,005,011506,6575,+46.173152,-119.152525
53,005,011600,835,+45.981163,-119.475509
53,005,011701,2591,+46.212420,-119.782299
53,005,011702,4837,+46.201897,-119.767618
53,005,011801,3366,+46.238579,-119.697244
53,005,011802,3183,+46.244089,-119.826791
53,005,011900,6355,+46.279285,-119.503791
53,005,012000,21,+46.412448,-119.583117
53,007,960100,2661,+47.745065,-120.287959
53,007,960201,4148,+47.592611,-120.667564
53,007,960202,1825,+47.702932,-120.643753
53,007,960203,957,+47.814980,-120.756110
53,007,960301,2687,+47.843759,-120.079048
53,007,960302,2586,+47.865681,-119.989686
53,007,960303,1811,+47.851622,-120.038040
53,007,960400,4034,+47.897623,-120.149436
53,007,960501,2938,+47.543895,-120.507837
53,007,960502,4289,+47.513845,-120.544406
53,007,960600,4235,+47.516697,-120.470987
53,007,960700,4296,+47.486578,-120.344879
53,007,960801,2948,+47.442925,-120.356854
53,007,960803,3681,+47.433538,-120.329588
53,007,960804,4567,+47.444799,-120.337518
53,007,961001,2802,+47.419041,-120.321152
53,007,961002,3778,+47.422537,-120.315462
53,007,961101,4554,+47.410349,-120.309250
53,007,961102,5881,+47.400907,-120.309972
53,007,961200,4531,+47.354641,-120.257995
53,007,961301,1395,+47.407835,-120.339733
53,007,961303,4063,+47.416326,-120.335337
53,007,961304,4407,+47.425044,-120.343138
53,009,000300,4593,+47.951526,-124.380838
53,009,000600,3451,+48.119146,-123.669047
53,009,000700,4001,+48.125096,-123.481616
53,009,000800,4186,+48.117134,-123.463300
53,009,000900,2895,+48.114154,-123.444029
53,009,001000,2388,+48.111491,-123.429475
53,009,001100,3158,+48.099726,-123.440141
53,009,001200,4039,+48.103041,-123.414440
53,009,001300,3209,+48.105347,-123.374497
53,009,001400,5009,+48.077303,-123.340808
53,009,001500,2218,+48.105496,-123.509899
53,009,001600,3490,+48.105056,-123.234640
53,009,001701,2113,+48.090591,-123.171168
53,009,001702,2913,+48.131207,-123.171727
53,009,001800,3304,+48.059767,-123.200791
53,009,001901,3188,+48.108061,-123.127810
53,009,001902,3172,+48.109416,-123.088556
53,009,002001,3003,+48.088282,-123.115768
53,009,002002,3410,+48.066971,-123.097523
53,009,002100,3774,+48.078967,-123.101360
53,009,002301,1974,+48.073463,-122.954553
53,009,002302,2496,+48.047131,-123.099622
53,009,002400,3463,+48.106083,-124.367184
53,009,940000,1708,+48.357196,-124.618696
53,009,990100,0,+48.237194,-123.919819
53,011,040101,5606,+45.897822,-122.421874
53,011,040102,3903,+45.865084,-122.456257
53,011,040201,6560,+45.887354,-122.678437
53,011,040202,4345,+45.901660,-122.578942
53,011,040203,5642,+45.845418,-122.575753
53,011,040301,2025,+45.838636,-122.702874
53,011,040303,5527,+45.810346,-122.704462
53,011,040304,3054,+45.797175,-122.727815
53,011,040305,3063,+45.820415,-122.737701
53,011,040403,4209,+45.788104,-122.632863
53,011,040407,5930,+45.773984,-122.533780
53,011,040408,3915,+45.753580,-122.562445
53,011,040409,2180,+45.740722,-122.629515
53,011,040411,2238,+45.720987,-122.643853
53,011,040412,5915,+45.737467,-122.649889
53,011,040413,3272,+45.773955,-122.563135
53,011,040414,6705,+45.788944,-122.561991
