STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
55,001,950100,3242,+44.205662,-089.797431
55,001,950201,1386,+44.003513,-089.871705
55,001,950203,935,+44.097447,-089.774503
55,001,950204,1646,+44.079817,-089.836220
55,001,950400,4491,+43.956805,-089.798867
55,001,950501,1418,+43.901071,-089.910671
55,001,950502,3775,+43.834623,-089.725819
55,001,950700,3761,+43.721655,-089.708153
55,003,940000,2066,+46.537299,-090.692966
55,003,950300,2735,+46.581228,-090.882680
55,003,950400,2267,+46.579055,-090.898443
55,003,950500,2212,+46.445453,-090.845070
55,003,950600,1356,+46.302964,-090.660459
55,003,950700,2043,+46.071928,-090.536969
55,003,950800,3348,+46.618878,-090.850961
55,003,990000,0,+47.129128,-090.184655
55,005,000100,3931,+45.592037,-091.754515
55,005,000200,4079,+45.547973,-092.045323
55,005,000300,4182,+45.430117,-092.055658
55,005,000400,5669,+45.423610,-091.847556
55,005,000500,4677,+45.501388,-091.748340
55,005,000601,2466,+45.478449,-091.723051
55,005,000602,3689,+45.503585,-091.727230
55,005,000800,5527,+45.438539,-091.709686
55,005,000900,4961,+45.289615,-091.955458
55,005,001001,1935,+45.298971,-091.714518
55,005,001003,1607,+45.329762,-091.657170
55,005,001004,3988,+45.325607,-091.642016
55,007,960100,3241,+46.846890,-090.849120
55,007,960200,1902,+46.698286,-091.385711
55,007,960300,3671,+46.670412,-090.922165
55,007,960401,2080,+46.519979,-091.421186
55,007,960402,3094,+46.474031,-091.063376
55,007,960600,2232,+46.248300,-091.293863
55,007,990000,0,+46.967866,-091.195010
55,009,000100,2596,+44.525900,-088.021363
55,009,000200,6093,+44.532836,-088.036974
55,009,000302,4722,+44.520709,-088.073939
55,009,000303,2806,+44.534428,-088.064777
55,009,000401,4880,+44.526840,-088.051711
55,009,000402,2206,+44.512993,-088.063593
55,009,000500,2949,+44.519842,-088.032829
55,009,000600,3822,+44.508906,-088.052486
55,009,000700,4896,+44.508288,-088.040325
55,009,000800,1653,+44.511518,-088.026677
55,009,000900,4008,+44.518921,-087.990919
55,009,001000,1504,+44.511101,-088.014553
55,009,001100,2113,+44.510863,-087.989971
55,009,001200,2196,+44.509637,-088.002724
55,009,001300,2943,+44.502864,-088.010272
55,009,001400,3925,+44.498498,-087.999853
55,009,001600,6696,+44.490507,-087.982912
55,009,001701,3719,+44.515875,-087.970248
55,009,001702,3519,+44.511565,-087.958488
55,009,001801,5835,+44.515840,-087.924369
55,009,001802,6515,+44.540478,-087.912390
55,009,002001,8553,+44.497569,-087.961329
55,009,002002,5166,+44.479950,-087.956991
55,009,002003,3858,+44.492737,-087.920929
55,009,010100,6506,+44.448099,-088.040377
55,009,010201,4601,+44.440955,-088.075106
55,009,010202,5453,+44.438318,-088.088885
55,009,010300,7289,+44.432223,-088.052773
55,009,020100,5817,+44.568221,-087.824183
55,009,020203,7028,+44.627820,-088.049319
55,009,020204,5792,+44.623204,-088.104005
55,009,020502,5425,+44.550740,-088.066507
55,009,020504,6270,+44.571666,-088.117618
55,009,020505,5400,+44.566161,-088.089338
55,009,020506,2855,+44.583507,-088.089823
55,009,020600,5632,+44.383291,-087.827191
55,009,020702,7600,+44.422752,-087.988722
55,009,020703,7598,+44.459274,-087.935117
