STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
54,001,965500,3663,+39.107678,-080.090591
54,001,965600,3408,+39.151980,-080.045354
54,001,965700,4902,+39.148823,-079.958738
54,001,965800,3492,+39.017305,-079.938150
54,003,971101,6962,+39.556531,-077.883481
54,003,971103,1973,+39.594764,-077.853733
54,003,971104,3865,+39.587935,-077.905641
54,003,971105,4221,+39.546163,-077.929823
54,003,971203,3468,+39.555782,-078.046750
54,003,971204,3098,+39.556263,-078.095624
54,003,971205,4519,+39.557559,-077.984428
54,003,971206,7768,+39.505805,-077.990252
54,003,971301,5884,+39.493961,-077.957559
54,003,971302,4503,+39.494350,-077.929222
54,003,971401,3888,+39.467674,-077.877744
54,003,971402,6094,+39.467781,-077.939642
54,003,971500,3808,+39.458350,-077.957271
54,003,971600,4835,+39.464632,-077.971981
54,003,971700,5500,+39.452398,-077.975780
54,003,971801,4220,+39.376479,-078.116831
54,003,971802,4420,+39.429904,-078.117031
54,003,971901,6158,+39.396981,-077.997831
54,003,971902,4676,+39.432240,-078.016275
54,003,972001,5939,+39.422559,-077.917995
54,003,972002,3814,+39.441579,-077.951638
54,003,972003,4154,+39.401070,-077.971912
54,003,972101,6141,+39.317314,-078.059396
54,003,972103,4178,+39.342340,-078.039585
54,003,972104,4228,+39.344913,-078.005386
54,003,972105,3762,+39.360248,-078.040014
54,005,958200,3687,+38.148848,-081.743610
54,005,958300,3781,+38.031165,-081.882944
54,005,958400,2046,+38.057229,-081.837327
54,005,958501,2666,+38.071895,-081.620996
54,005,958502,3346,+38.060110,-081.786287
54,005,958600,1861,+38.097286,-081.590781
54,005,958700,1546,+37.902991,-081.665208
54,005,958800,2876,+38.008100,-081.804098
54,007,967900,4828,+38.761540,-080.639040
54,007,968000,3788,+38.678333,-080.825677
54,007,968100,3831,+38.617568,-080.729082
54,009,031102,4288,+40.337097,-080.575621
54,009,031103,2578,+40.393480,-080.603294
54,009,031104,2399,+40.382026,-080.554854
54,009,031200,3216,+40.321606,-080.589672
54,009,031401,1988,+40.279956,-080.610397
54,009,031402,2263,+40.281840,-080.590060
54,009,031600,3503,+40.249533,-080.554245
54,009,031700,2324,+40.215936,-080.635303
54,011,000101,1617,+38.415197,-082.363566
54,011,000102,1975,+38.406083,-082.376089
54,011,000200,2709,+38.426993,-082.376948
54,011,000300,2485,+38.431310,-082.406047
54,011,000400,2308,+38.425328,-082.407723
54,011,000500,2936,+38.422065,-082.426105
54,011,000600,1234,+38.421621,-082.434582
54,011,000900,1509,+38.415215,-082.468079
54,011,001000,2083,+38.407805,-082.490121
54,011,001100,1888,+38.410969,-082.469964
54,011,001200,2606,+38.410025,-082.454901
54,011,001300,2713,+38.411135,-082.441670
54,011,001400,2352,+38.412599,-082.430889
54,011,001500,2084,+38.410185,-082.423155
54,011,001600,1084,+38.416397,-082.416676
54,011,001800,3444,+38.413364,-082.404652
54,011,001900,2153,+38.406428,-082.393293
54,011,002000,3273,+38.402488,-082.410800
54,011,002100,3252,+38.398282,-082.449559
54,011,010103,2884,+38.361622,-082.330508
54,011,010104,2934,+38.380911,-082.399231
54,011,010202,4267,+38.404318,-082.329938
54,011,010203,4113,+38.420103,-082.309594
54,011,010204,1620,+38.415595,-082.328225
54,011,010300,3044,+38.450606,-082.291600
54,011,010401,3372,+38.414379,-082.273407
54,011,010402,3169,+38.402187,-082.296682
54,011,010500,5628,+38.344325,-082.249518
54,011,010600,4223,+38.411288,-082.166003
54,011,010701,3127,+38.522873,-082.215038
54,011,010702,4087,+38.445828,-082.194810
54,011,010801,2156,+38.428027,-082.069876
54,011,010802,4221,+38.430609,-082.123985
54,011,010900,1800,+38.418394,-082.448417
54,013,962600,3009,+38.944602,-081.105161
54,013,962700,3220,+38.766641,-081.103683
54,015,957900,3195,+38.547743,-081.058024
54,015,958000,2908,+38.469979,-081.105468
54,015,958100,1948,+38.350544,-081.157702
54,017,965000,4038,+39.287065,-080.638098
54,017,965100,3770,+39.283329,-080.810423
54,019,020101,4145,+38.034149,-081.092017
54,019,020102,1627,+38.073873,-081.124854
54,019,020201,3813,+37.987107,-081.122573
54,019,020202,3652,+38.000586,-081.145668
54,019,020300,2733,+37.978964,-081.151992
54,019,020400,3873,+37.951948,-081.158576
54,019,020500,1606,+37.893609,-081.167072
54,019,020600,1782,+37.964725,-081.256402
54,019,020700,3167,+38.118340,-081.289944
54,019,020800,4429,+38.186271,-081.250888
54,019,020900,4068,+38.141898,-081.072335
54,019,021000,2827,+38.035647,-080.944168
54,019,021100,2766,+37.892273,-080.899439
54,021,967701,4092,+38.918426,-080.839278
54,021,967800,1876,+38.939204,-080.830974
54,021,980000,1440,+38.915515,-080.784445
54,023,969400,2986,+39.201017,-079.197808
54,023,969500,3671,+39.042218,-079.169398
54,023,969600,4319,+38.974410,-079.128578
54,025,950101,1706,+37.797768,-080.297750
54,025,950102,2932,+37.858569,-080.247813
54,025,950200,3479,+38.006841,-080.612918
54,025,950300,3575,+37.966972,-080.752730
54,025,950401,3127,+37.928364,-080.508816
54,025,950402,4351,+37.849494,-080.397586
54,025,950500,3132,+37.799379,-080.619356
54,025,950600,4806,+37.797914,-080.444236
54,025,950701,3961,+37.755445,-080.488419
54,025,950702,1908,+37.739059,-080.420597
54,027,968201,2392,+39.431801,-078.480097
54,027,968202,2885,+39.315530,-078.478822
54,027,968301,2777,+39.339048,-078.644623
54,027,968302,2539,+39.442466,-078.634847
54,027,968401,2366,+39.318267,-078.811473
54,027,968402,1572,+39.407047,-078.718581
54,027,968500,3379,+39.286483,-078.712482
54,027,968601,1924,+39.235643,-078.612546
54,027,968602,3259,+39.240774,-078.470039
54,029,020600,4261,+40.419666,-080.543592
54,029,020700,4339,+40.409866,-080.551985
54,029,020900,2677,+40.591553,-080.598910
54,029,021100,3759,+40.485104,-080.550137
54,029,021200,3256,+40.504312,-080.592854
54,029,021300,3233,+40.401929,-080.596206
54,029,021400,3439,+40.423810,-080.582078
54,029,021500,4131,+40.607735,-080.558960
54,031,970101,2708,+39.064779,-078.637888
54,031,970102,2119,+39.148937,-078.910585
54,031,970201,2670,+39.058997,-078.957406
54,031,970202,2535,+38.993879,-078.858385
54,031,970300,4267,+38.982954,-078.987368
54,033,030100,3162,+39.279212,-080.347177
54,033,030200,2702,+39.295904,-080.347922
54,033,030300,2035,+39.283829,-080.323977
54,033,030400,2983,+39.273369,-080.331340
54,033,030501,1293,+39.212468,-080.376793
54,033,030502,3341,+39.251506,-080.327576
54,033,030601,2334,+39.294310,-080.370507
54,033,030603,2001,+39.255947,-080.382089
54,033,030604,3545,+39.276552,-080.363761
54,033,030700,2158,+39.291507,-080.442290
54,033,030801,2112,+39.325431,-080.314058
54,033,030802,2282,+39.367113,-080.366215
54,033,031000,3224,+39.258887,-080.310851
54,033,031100,2321,+39.258860,-080.255635
