STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
56,001,962700,3371,+41.295491,-105.596441
56,001,962800,3169,+41.311668,-105.623742
56,001,962900,1705,+41.318707,-105.605221
56,001,963000,2219,+41.327023,-105.587525
56,001,963101,3599,+41.325983,-105.558555
56,001,963102,3790,+41.323770,-105.574827
56,001,963400,3100,+41.314719,-105.586676
56,001,963500,2515,+41.310993,-105.571475
56,001,963600,4319,+41.306451,-105.578269
56,001,963700,7122,+41.300193,-105.562274
56,001,963900,2157,+41.345666,-105.845913
56,003,962600,2487,+44.363764,-107.999411
56,003,962700,3372,+44.486409,-108.134391
56,003,962800,5662,+44.843235,-108.432240
56,005,000101,1779,+44.139976,-105.359003
56,005,000102,5829,+44.239632,-105.566960
56,005,000103,2126,+43.748042,-105.511444
56,005,000200,7786,+44.247649,-105.465748
56,005,000300,5089,+44.278210,-105.474455
56,005,000400,3901,+44.286375,-105.494136
56,005,000500,6961,+44.273738,-105.534749
56,005,000600,5219,+44.299479,-105.526236
56,005,000701,1723,+44.455919,-105.645538
56,005,000702,6613,+44.342132,-105.411658
56,007,967600,2076,+41.471780,-107.369551
56,007,967700,3939,+41.797364,-107.225380
56,007,967800,3888,+41.791617,-107.245886
56,007,968000,3229,+41.375292,-106.785775
56,007,968100,1405,+41.841747,-106.444066
56,009,956400,4769,+42.754279,-105.373885
56,009,956500,3277,+42.754888,-105.409616
56,009,956600,3102,+42.817988,-105.576848
56,009,956700,2603,+42.858521,-105.863460
56,011,950200,4628,+44.437125,-104.770569
56,011,950300,2553,+44.430929,-104.346362
56,013,000100,3976,+42.842693,-108.731118
56,013,000200,3620,+42.830347,-108.745431
56,013,000301,2653,+42.778368,-108.734477
56,013,000302,1621,+42.999248,-108.360861
56,013,000400,1783,+43.554545,-109.658240
56,013,940100,3529,+43.032146,-108.880105
56,013,940201,4079,+43.156705,-108.500166
56,013,940202,4648,+43.015182,-108.527454
56,013,940301,1859,+43.020082,-108.371413
56,013,940302,3322,+43.044100,-108.369086
56,013,940400,5783,+43.032686,-108.414029
56,013,940500,2361,+43.026977,-108.389116
56,015,957700,1715,+42.198698,-104.366726
56,015,957800,3415,+42.075832,-104.201071
56,015,957900,4580,+42.067466,-104.166490
56,015,958000,2788,+41.898834,-104.241730
56,017,967800,2695,+43.643345,-108.218396
56,017,967900,1926,+43.686960,-108.252589
56,019,955100,2578,+44.148947,-106.660010
56,019,955201,2263,+44.340596,-106.700775
56,019,955202,3606,+44.355056,-106.718140
56,021,000200,4584,+41.123130,-104.812655
56,021,000300,4012,+41.110842,-104.820357
56,021,000401,4959,+41.084243,-104.807657
56,021,000403,3530,+41.112744,-104.791161
56,021,000404,2650,+41.103787,-104.805429
56,021,000502,3111,+41.137210,-104.745899
56,021,000503,4875,+41.136652,-104.759094
56,021,000601,2594,+41.139185,-104.790234
56,021,000602,3382,+41.140466,-104.779258
56,021,000701,2894,+41.140757,-104.806619
56,021,000702,1274,+41.134073,-104.821644
56,021,000800,1738,+41.149100,-104.799415
56,021,000900,2757,+41.149456,-104.828477
56,021,001000,2842,+41.141989,-104.828898
56,021,001100,2863,+41.151228,-104.859831
56,021,001200,5142,+41.181311,-104.839200
